Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,35500,2.68817,32800,2.48688,2700,0.20129
2026-07-09,80100,6.19597,65000,5.0365,15100,1.15947
2026-07-08,119300,8.96922,56800,4.26828,62500,4.70094
2026-07-07,58000,4.30389,42600,3.17565,15400,1.12824
2026-07-06,40300,2.96583,154400,11.3901,-114100,-8.42427
2026-07-03,0,2.49657,6100,0.46212,-6100,2.03445
2026-07-02,105900,8.22087,31800,2.47111,74100,5.74976
2026-07-01,130900,10.28607,28500,2.23133,102400,8.05474
2026-06-30,62100,4.82832,800,0.06212,61300,4.7662
2026-06-29,21000,1.62889,8300,0.64054,12700,0.98835
2026-06-26,21000,1.62823,900,0.06999,20100,1.55824
2026-06-25,11600,0.90823,0,0.0,11600,0.90823
2026-06-24,170900,13.22155,56300,4.42284,114600,8.79871
2026-06-23,91100,7.24513,27900,2.22343,63200,5.0217
2026-06-22,0,0.48177,5400,0.44134,-5400,0.04043
2026-06-19,0,4.32208,36600,3.09886,-36600,1.22322
2026-06-18,0,4.34674,64700,5.29542,-64700,-0.94868
2026-06-17,24600,2.00279,5100,0.41745,19500,1.58534
2026-06-16,140400,11.45438,42400,3.42434,98000,8.03004
2026-06-15,24800,2.05413,5387,0.446061,19413,1.608069
2026-06-12,50400,4.23675,67200,5.69016,-16800,-1.45341
2026-06-11,17800,1.48004,17400,1.44595,400,0.03409
2026-06-10,17800,1.46878,10700,0.88214,7100,0.58664
2026-06-09,40400,3.34421,13700,1.1369,26700,2.20731
2026-06-08,0,5.89954,62800,5.29865,-62800,0.60089
2026-06-05,16400,1.412,48400,4.14055,-32000,-2.72855
2026-06-04,34200,2.96046,39100,3.38956,-4900,-0.4291
2026-06-03,68900,5.80055,36200,3.06987,32700,2.73068
2026-06-02,58400,4.90326,7800,0.65495,50600,4.24831
2026-06-01,57800,4.89946,11400,0.96979,46400,3.92967
2026-05-29,28800,2.42404,92000,7.74661,-63200,-5.32257
2026-05-28,51700,4.2148,49700,4.05861,2000,0.15619
2026-05-27,39600,3.25348,40200,3.28696,-600,-0.03348
2026-05-26,7300,0.60676,6700,0.55733,600,0.04943
2026-05-25,13600,1.1058,6800,0.55601,6800,0.54979
2026-05-22,23700,2.02631,31400,2.66916,-7700,-0.64285
2026-05-21,48300,4.20173,10500,0.91632,37800,3.28541
2026-05-20,171600,14.86061,164600,14.26296,7000,0.59765
2026-05-19,6700,0.59975,5600,0.52028,1100,0.07947
2026-05-18,6000,0.56109,9300,0.87067,-3300,-0.30958
2026-05-15,162400,14.22301,246400,21.60224,-84000,-7.37923
2026-05-14,281000,23.75139,192800,16.35036,88200,7.40103
2026-05-13,190800,15.24944,313700,25.01023,-122900,-9.76079
2026-05-12,36200,2.75526,262600,19.62578,-226400,-16.87052
2026-05-11,40000,2.96213,102100,7.59253,-62100,-4.6304
2026-05-08,20800,1.57968,27900,2.11108,-7100,-0.5314
2026-05-07,236500,18.34226,8700,0.67049,227800,17.67177
2026-05-06,162900,12.89389,22900,1.81745,140000,11.07644
2026-05-05,102500,7.98457,3000,0.2298,99500,7.75477
2026-05-04,2100,0.16266,2400,0.1854,-300,-0.02274
2026-04-29,56900,4.21127,0,0.0,56900,4.21127
2026-04-28,48400,3.68483,2400,0.18459,46000,3.50024
2026-04-24,5700,0.44817,10900,0.86768,-5200,-0.41951
2026-04-23,100,0.00793,8527,0.663449,-8427,-0.655519
2026-04-22,54000,4.24033,1800,0.14133,52200,4.099
2026-04-21,10500,0.83154,600,0.04755,9900,0.78399
2026-04-20,7100,0.57309,1100,0.08742,6000,0.48567
2026-04-17,300,0.02412,13100,1.04698,-12800,-1.02286
2026-04-16,1000,0.07862,18900,1.48704,-17900,-1.40842
2026-04-15,57500,4.57728,23500,1.86704,34000,2.71024
2026-04-14,12200,0.98815,32100,2.56889,-19900,-1.58074
2026-04-13,16600,1.34735,48300,3.92171,-31700,-2.57436
2026-04-10,119000,9.42521,10900,0.88278,108100,8.54243
2026-04-09,3200,0.25235,10000,0.78966,-6800,-0.53731
2026-04-08,27500,2.18496,9100,0.72347,18400,1.46149
2026-04-07,72200,5.61333,103100,7.96325,-30900,-2.34992
2026-04-06,29400,2.32318,3000,0.23566,26400,2.08752
2026-04-03,26500,2.12738,18900,1.51356,7600,0.61382
2026-04-02,86900,6.91189,61000,4.86458,25900,2.04731
2026-04-01,175400,14.1292,16800,1.34513,158600,12.78407
2026-03-31,10700,0.8593,27100,2.15653,-16400,-1.29723
2026-03-30,70600,5.8351,14600,1.19455,56000,4.64055
2026-03-27,33600,2.69826,1100,0.08858,32500,2.60968
2026-03-26,3200,0.2598,15400,1.24812,-12200,-0.98832
2026-03-25,6400,0.52353,12800,1.04497,-6400,-0.52144
2026-03-24,82900,6.70709,65300,5.34499,17600,1.3621
2026-03-23,32800,2.69073,6700,0.56892,26100,2.12181
2026-03-20,20900,1.7274,54200,4.560774,-33300,-2.833374
2026-03-19,9500,0.83611,147000,12.96224,-137500,-12.12613
2026-03-18,58400,5.14435,81000,7.25808,-22600,-2.11373
2026-03-17,73600,6.51319,13400,1.16633,60200,5.34686
2026-03-16,292600,25.16369,3000,0.26372,289600,24.89997
2026-03-13,132100,12.28345,78700,7.23584,53400,5.04761
2026-03-12,2500,0.24817,15700,1.57159,-13200,-1.32342
2026-03-11,124600,11.93624,24200,2.32601,100400,9.61023
2026-03-10,159900,15.94445,52400,5.31878,107500,10.62567
2026-03-09,25800,2.78242,600,0.0639,25200,2.71852
2026-03-06,105600,12.21538,45700,5.20569,59900,7.00969
2026-03-05,104100,12.65749,46600,5.77055,57500,6.88694
2026-03-04,41500,5.19891,21300,2.73229,20200,2.46662
2026-03-03,79900,9.04986,49900,5.78919,30000,3.26067
2026-03-02,172800,19.71346,25700,2.96578,147100,16.74768
2026-02-27,7800,0.83745,23000,2.4914,-15200,-1.65395
2026-02-26,77100,8.25228,33600,3.58498,43500,4.6673
2026-02-25,1200,0.13599,303900,34.59675,-302700,-34.46076
2026-02-24,3800,0.41869,55200,6.1402,-51400,-5.72151
2026-02-23,8200,0.88172,29200,3.17041,-21000,-2.28869
2026-02-13,38600,3.89913,85800,8.72822,-47200,-4.82909
2026-02-12,100600,10.36855,54800,5.63349,45800,4.73506
2026-02-11,27700,2.91143,8200,0.85442,19500,2.05701
2026-02-10,133200,14.53399,41800,4.59062,91400,9.94337
2026-02-09,24900,2.88233,10800,1.24947,14100,1.63286
2026-02-06,159700,17.88186,102600,11.54214,57100,6.33972
2026-02-05,4700,0.53424,63000,7.11632,-58300,-6.58208
2026-02-04,46200,5.41315,900,0.10443,45300,5.30872
2026-02-03,31200,3.67869,33100,3.96821,-1900,-0.28952
2026-02-02,28700,3.24052,181600,20.48352,-152900,-17.243
2026-01-30,12500,1.4878,112100,13.37813,-99600,-11.89033
2026-01-29,5000,0.57257,3400,0.39234,1600,0.18023
2026-01-28,14700,1.76284,113800,13.63881,-99100,-11.87597
2026-01-27,42500,4.83973,16300,1.87294,26200,2.96679
2026-01-26,67500,7.26438,21100,2.25522,46400,5.00916
2026-01-23,45500,4.72662,16500,1.70421,29000,3.02241
2026-01-22,37300,3.99835,20600,2.18075,16700,1.8176
2026-01-21,17800,1.88412,192200,20.40642,-174400,-18.5223
2026-01-20,132700,14.34304,50475,5.41007,82225,8.93297
2026-01-19,5700,0.59289,41500,4.28883,-35800,-3.69594
2026-01-16,344400,35.81376,37200,3.86953,307200,31.94423
2026-01-15,118500,12.39941,48700,5.06714,69800,7.33227
2026-01-14,12900,1.39376,103100,11.14431,-90200,-9.75055
2026-01-13,15500,1.59946,113300,11.26009,-97800,-9.66063
2026-01-12,65700,6.49472,83000,8.1886,-17300,-1.69388
2026-01-09,54800,5.25406,57200,5.40186,-2400,-0.1478
2026-01-08,39800,3.68737,67200,6.25881,-27400,-2.57144
2026-01-07,47000,4.07344,94800,8.2141,-47800,-4.14066
2026-01-06,184300,14.83462,246600,19.92703,-62300,-5.09241
2026-01-05,104400,7.8167,225700,17.29247,-121300,-9.47577
2025-12-31,33600,2.49134,10200,0.75563,23400,1.73571
2025-12-30,6000,0.44786,0,0.0,6000,0.44786
2025-12-29,34300,2.57246,331200,24.61305,-296900,-22.04059
2025-12-26,13900,0.97422,2700,0.18735,11200,0.78687
2025-12-25,8000,0.53191,2600,0.17627,5400,0.35564
2025-12-24,14500,0.95311,12900,0.84587,1600,0.10724
2025-12-23,12200,0.79868,15600,1.01733,-3400,-0.21865
2025-12-22,3900,0.25341,12100,0.78863,-8200,-0.53522
2025-12-19,15600,0.99507,2000,0.12749,13600,0.86758
2025-12-18,10800,0.682,51600,3.24221,-40800,-2.56021
2025-12-17,900,0.05763,71784,4.554724,-70884,-4.497094
2025-12-16,46800,2.96166,11700,0.74442,35100,2.21724
2025-12-15,3400,0.21059,15334,0.950594,-11934,-0.740004
2025-12-12,16800,1.05231,20400,1.26426,-3600,-0.21195
2025-12-11,29600,1.88479,17700,1.11634,11900,0.76845
2025-12-10,36600,2.33141,14400,0.91585,22200,1.41556
2025-12-09,74800,4.77847,25500,1.64878,49300,3.12969
2025-12-08,12000,0.77547,15200,0.97872,-3200,-0.20325
2025-12-05,59600,3.81615,35800,2.30471,23800,1.51144
2025-12-04,122400,7.92513,6600,0.42417,115800,7.50096
2025-12-03,32200,2.08769,18900,1.23184,13300,0.85585
2025-12-02,6900,0.45297,12600,0.82827,-5700,-0.3753
2025-12-01,167700,10.88858,16100,1.03189,151600,9.85669
2025-11-28,6900,0.43665,28400,1.79341,-21500,-1.35676
2025-11-27,104200,6.56318,10800,0.67331,93400,5.88987
2025-11-26,32700,1.99421,4800,0.29724,27900,1.69697
2025-11-25,14700,0.89622,14400,0.87838,300,0.01784
2025-11-24,47200,2.89661,7200,0.44169,40000,2.45492
2025-11-21,78600,4.81266,15900,0.97627,62700,3.83639
