Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,9600,0.29899,6200,0.191775,3400,0.107215
2026-07-09,90100,2.86493,10000,0.317,80100,2.54793
2026-07-08,4000,0.126125,236000,7.456015,-232000,-7.32989
2026-07-07,172300,5.31406,210300,6.594895,-38000,-1.280835
2026-07-06,68200,2.11903,27100,0.864055,41100,1.254975
2026-07-03,0,1.21987,0,0.0,0,1.21987
2026-07-02,50000,1.66575,41000,1.360175,9000,0.305575
2026-07-01,1500,0.049475,27445,0.904995,-25945,-0.85552
2026-06-30,16600,0.54754,1000,0.03275,15600,0.51479
2026-06-29,43100,1.393175,45500,1.477275,-2400,-0.0841
2026-06-26,47200,1.53501,101300,3.27853,-54100,-1.74352
2026-06-25,24800,0.821045,0,0.0,24800,0.821045
2026-06-24,13000,0.4269,11000,0.3683,2000,0.0586
2026-06-23,0,0.0,4000,0.137275,-4000,-0.137275
2026-06-22,0,0.1973,13700,0.4738,-13700,-0.2765
2026-06-19,0,0.5654,41200,1.504445,-41200,-0.939045
2026-06-18,151000,5.387745,179700,6.43835,-28700,-1.050605
2026-06-17,16600,0.587045,6200,0.21929,10400,0.367755
2026-06-16,258800,9.137055,58000,2.05932,200800,7.077735
2026-06-15,31100,1.09609,5200,0.18422,25900,0.91187
2026-06-12,100400,3.54358,60400,2.113245,40000,1.430335
2026-06-11,245500,8.55773,147000,5.106985,98500,3.450745
2026-06-10,22600,0.76596,106500,3.611655,-83900,-2.845695
2026-06-09,345700,11.538335,23900,0.8061,321800,10.732235
2026-06-08,73400,2.50726,36400,1.22193,37000,1.28533
2026-06-05,500,0.017425,30500,1.07362,-30000,-1.056195
2026-06-04,506600,17.99267,8300,0.29178,498300,17.70089
2026-06-03,21600,0.74903,16800,0.58325,4800,0.16578
2026-06-02,10500,0.36426,9500,0.32947,1000,0.03479
2026-06-01,6300,0.22213,5200,0.182575,1100,0.039555
2026-05-29,19400,0.666725,46600,1.619135,-27200,-0.95241
2026-05-28,6600,0.22949,10600,0.36617,-4000,-0.13668
2026-05-27,35900,1.249135,43100,1.498345,-7200,-0.24921
2026-05-26,6800,0.236445,102300,3.5786,-95500,-3.342155
2026-05-25,4500,0.156,11600,0.399105,-7100,-0.243105
2026-05-22,173400,6.159675,4300,0.15305,169100,6.006625
2026-05-21,7300,0.2677,9700,0.354775,-2400,-0.087075
2026-05-20,14800,0.509325,18400,0.662505,-3600,-0.15318
2026-05-19,12300,0.456095,7000,0.270025,5300,0.18607
2026-05-18,7500,0.29375,4400,0.16733,3100,0.12642
2026-05-15,4000,0.147725,18500,0.69435,-14500,-0.546625
2026-05-14,3500,0.12795,30500,1.11053,-27000,-0.98258
2026-05-13,1600,0.0593,12800,0.473805,-11200,-0.414505
2026-05-12,36900,1.33479,9500,0.334145,27400,1.000645
2026-05-11,4900,0.173285,14900,0.523565,-10000,-0.35028
2026-05-08,1200,0.043355,55200,2.002505,-54000,-1.95915
2026-05-07,1800,0.06586,58700,2.142595,-56900,-2.076735
2026-05-06,10900,0.386135,0,0.0,10900,0.386135
2026-05-05,3900,0.137745,4900,0.175015,-1000,-0.03727
2026-05-04,7500,0.26495,254000,8.77015,-246500,-8.5052
2026-04-29,21600,0.72336,250000,8.40879,-228400,-7.68543
2026-04-28,800,0.02664,9900,0.32243,-9100,-0.29579
2026-04-24,8100,0.26716,21600,0.708705,-13500,-0.441545
2026-04-23,200,0.006575,9300,0.303565,-9100,-0.29699
2026-04-22,6500,0.211445,2000,0.06449,4500,0.146955
2026-04-21,100600,3.271075,800,0.02628,99800,3.244795
2026-04-20,6900,0.231235,1600,0.05329,5300,0.177945
2026-04-17,300400,10.13095,302000,10.106895,-1600,0.024055
2026-04-16,2500,0.08135,12000,0.388245,-9500,-0.306895
2026-04-15,1200,0.03926,11500,0.37478,-10300,-0.33552
2026-04-14,1200,0.03956,14400,0.46882,-13200,-0.42926
2026-04-13,195600,6.515345,8400,0.27757,187200,6.237775
2026-04-10,144000,4.7627,142800,4.81495,1200,-0.05225
