Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,196200,5.353785,552500,14.793275,-356300,-9.43949
2026-07-09,403800,11.033365,194600,5.319065,209200,5.7143
2026-07-08,72500,1.999445,530500,14.584735,-458000,-12.58529
2026-07-07,729200,20.052615,781650,21.457673,-52450,-1.405058
2026-07-06,1136800,30.713985,1124011,30.468466,12789,0.245519
2026-07-03,0,11.886652,942801,25.21909,-942801,-13.332438
2026-07-02,197300,5.23623,967200,25.667055,-769900,-20.430825
2026-07-01,483410,12.86808,1596002,42.350798,-1112592,-29.482718
2026-06-30,269200,6.976185,215100,5.57156,54100,1.404625
2026-06-29,507600,13.028675,91200,2.340145,416400,10.68853
2026-06-26,590600,14.98191,355600,9.035395,235000,5.946515
2026-06-25,593700,15.328255,523800,13.475485,69900,1.85277
2026-06-24,304200,7.763645,184200,4.70661,120000,3.057035
2026-06-23,653400,16.88685,307201,7.918159,346199,8.968691
2026-06-22,95900,2.409165,147402,3.698682,-51502,-1.289517
2026-06-19,0,3.706585,649960,16.73746,-649960,-13.030875
2026-06-18,123900,3.123585,432400,10.89462,-308500,-7.771035
2026-06-17,346700,8.71282,364700,9.18352,-18000,-0.4707
2026-06-16,50900,1.28207,173200,4.364878,-122300,-3.082808
2026-06-15,383300,9.665215,184200,4.66173,199100,5.003485
2026-06-12,221500,5.592105,644000,16.16056,-422500,-10.568455
2026-06-11,209000,5.26184,123400,3.097615,85600,2.164225
2026-06-10,451100,11.415005,541500,13.72691,-90400,-2.311905
2026-06-09,616900,15.560785,151901,3.826633,464999,11.734152
2026-06-08,308100,7.73285,314600,7.88923,-6500,-0.15638
2026-06-05,48230,1.226634,448000,11.36825,-399770,-10.141616
2026-06-04,332200,8.410885,272400,6.868205,59800,1.54268
2026-06-03,600230,15.035069,703500,17.747565,-103270,-2.712496
2026-06-02,327800,8.26343,631600,15.901395,-303800,-7.637965
2026-06-01,94500,2.428775,128900,3.31531,-34400,-0.886535
2026-05-29,529800,13.6745,955400,24.6976,-425600,-11.0231
2026-05-28,1420700,37.23385,594400,15.552065,826300,21.681785
2026-05-27,2148300,55.62771,245000,6.49799,1903300,49.12972
2026-05-26,166500,4.40866,170277,4.504273,-3777,-0.095613
2026-05-25,464200,12.23592,2489100,64.633095,-2024900,-52.397175
2026-05-22,198700,5.109015,568600,14.66108,-369900,-9.552065
2026-05-21,1114800,28.93885,895500,23.337315,219300,5.601535
2026-05-20,1219200,31.572775,2600100,67.62493,-1380900,-36.052155
2026-05-19,568800,15.28341,811800,21.788815,-243000,-6.505405
2026-05-18,339300,9.278865,296100,8.07276,43200,1.206105
2026-05-15,385600,10.721465,873200,24.16093,-487600,-13.439465
2026-05-14,1271700,35.50752,828500,22.98151,443200,12.52601
2026-05-13,1293600,35.657635,1085489,29.913428,208111,5.744207
2026-05-12,1160500,31.122215,482500,13.13421,678000,17.988005
2026-05-11,149900,4.096815,372600,10.14345,-222700,-6.046635
2026-05-08,665000,18.275675,222200,6.092665,442800,12.18301
2026-05-07,1861600,50.24669,511432,13.986509,1350168,36.260181
2026-05-06,408100,10.881735,46100,1.22668,362000,9.655055
2026-05-05,108700,2.86043,202100,5.300835,-93400,-2.440405
2026-05-04,71300,1.89597,260600,6.907165,-189300,-5.011195
2026-04-29,151300,3.99633,51900,1.365195,99400,2.631135
2026-04-28,58100,1.551555,42900,1.1493,15200,0.402255
2026-04-24,116600,3.112355,47800,1.272805,68800,1.83955
2026-04-23,112400,2.997695,179300,4.75666,-66900,-1.758965
2026-04-22,80300,2.118445,1518400,39.942075,-1438100,-37.82363
2026-04-21,602900,16.202445,49500,1.32484,553400,14.877605
2026-04-20,3723100,99.584649,293600,7.884925,3429500,91.699724
2026-04-17,77500,2.033905,56600,1.480145,20900,0.55376
2026-04-16,40300,1.05775,414300,10.869435,-374000,-9.811685
2026-04-15,392200,10.31769,669900,17.6266,-277700,-7.30891
2026-04-14,187000,4.92506,685214,17.946759,-498214,-13.021699
2026-04-13,322400,8.35369,878600,22.780285,-556200,-14.426595
2026-04-10,1241200,32.823555,349200,9.157225,892000,23.66633
2026-04-09,313601,8.16379,254625,6.63648,58976,1.52731
2026-04-08,629200,16.27018,557800,14.52667,71400,1.74351
2026-04-07,357000,9.033225,141100,3.580475,215900,5.45275
2026-04-06,508800,12.977825,50900,1.29106,457900,11.686765
2026-04-03,580400,14.71225,453600,11.50213,126800,3.21012
2026-04-02,487800,12.43148,1666500,42.26935,-1178700,-29.83787
2026-04-01,563400,14.50893,442300,11.377085,121100,3.131845
2026-03-31,351200,8.88355,429800,10.87742,-78600,-1.99387
2026-03-30,778700,19.387955,597500,14.940195,181200,4.44776
2026-03-27,607200,15.03876,885600,21.93492,-278400,-6.89616
2026-03-26,450400,11.107825,1872743,46.116283,-1422343,-35.008458
2026-03-25,194200,4.792675,250200,6.17719,-56000,-1.384515
2026-03-24,1560500,38.381755,635100,15.61624,925400,22.765515
2026-03-23,841500,20.292875,351000,8.486705,490500,11.80617
2026-03-20,75000,5.731095,1318500,33.10843,-1243500,-27.377335
2026-03-19,959500,24.35984,2590300,65.8624,-1630800,-41.50256
2026-03-18,1330200,34.075625,228200,5.85261,1102000,28.223015
2026-03-17,2604000,67.682565,861800,22.150876,1742200,45.531689
2026-03-16,771500,19.634565,384170,9.721436,387330,9.913129
