Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,827200,19.13918,1905700,43.809165,-1078500,-24.669985
2026-07-09,2131700,49.40674,1128900,26.175715,1002800,23.231025
2026-07-08,1613200,37.437565,3125800,72.49761,-1512600,-35.060045
2026-07-07,1686200,38.911185,1369500,31.61431,316700,7.296875
2026-07-06,1117600,26.07735,4153300,96.92989,-3035700,-70.85254
2026-07-03,1440300,33.641745,1523700,35.499945,-83400,-1.8582
2026-07-02,519000,13.682935,1552100,36.421745,-1033100,-22.73881
2026-07-01,1458800,34.250975,2517600,59.134665,-1058800,-24.88369
2026-06-30,1662000,39.110805,1760500,41.277415,-98500,-2.16661
2026-06-29,3314000,78.03414,2281200,53.77304,1032800,24.2611
2026-06-26,2447700,57.16507,1977300,46.28988,470400,10.87519
2026-06-25,2996700,70.407935,887300,20.788455,2109400,49.61948
2026-06-24,2304400,54.0282,972100,22.808985,1332300,31.219215
2026-06-23,430800,10.112395,5241700,122.62231,-4810900,-112.509915
2026-06-22,368000,8.707165,2199600,52.040385,-1831600,-43.33322
2026-06-19,0,27.84306,4857100,116.23708,-4857100,-88.39402
2026-06-18,1300000,31.062815,5116400,121.686595,-3816400,-90.62378
2026-06-17,1245000,30.11053,5292000,127.560055,-4047000,-97.449525
2026-06-16,366600,8.880975,1052600,25.50021,-686000,-16.619235
2026-06-15,6387900,153.85029,2098572,50.13575,4289328,103.71454
2026-06-12,1197900,28.1182,2759100,64.230775,-1561200,-36.112575
2026-06-11,564400,13.21267,2168500,50.641175,-1604100,-37.428505
2026-06-10,828400,19.560395,664700,15.663705,163700,3.89669
2026-06-09,2254600,52.90268,1540700,36.07808,713900,16.8246
2026-06-08,1895400,44.68009,3663300,85.934415,-1767900,-41.254325
2026-06-05,2130500,50.858865,3092900,73.74084,-962400,-22.881975
2026-06-04,1625000,38.959335,1579700,37.89351,45300,1.065825
2026-06-03,5695000,136.228575,2314900,55.384785,3380100,80.84379
2026-06-02,3112700,74.088025,2297500,54.606675,815200,19.48135
2026-06-01,1065500,25.64478,792800,19.070625,272700,6.574155
2026-05-29,1153700,27.808975,1632600,39.23029,-478900,-11.421315
2026-05-28,1378400,33.25946,1619400,38.983275,-241000,-5.723815
2026-05-27,1643500,39.979095,1328200,32.19196,315300,7.787135
2026-05-26,1915300,46.228955,1062800,25.675255,852500,20.5537
2026-05-25,1484300,35.94511,2377320,57.605285,-893020,-21.660175
2026-05-22,1770700,46.8306,1258400,33.23807,512300,13.59253
2026-05-21,3186400,84.601855,2258400,59.90712,928000,24.694735
2026-05-20,4212300,109.76236,5749700,150.452095,-1537400,-40.689735
2026-05-19,2488300,65.792785,4082200,107.861765,-1593900,-42.06898
2026-05-18,1598900,42.311015,3545300,93.847165,-1946400,-51.53615
2026-05-15,3505200,93.406295,6295900,167.633885,-2790700,-74.22759
2026-05-14,3877200,106.073845,1849800,50.230215,2027400,55.84363
2026-05-13,3250400,87.78516,2348400,63.41839,902000,24.36677
2026-05-12,2506600,66.64002,3625200,99.177885,-1118600,-32.537865
2026-05-11,1263600,34.492855,2502500,67.95923,-1238900,-33.466375
2026-05-08,2312500,64.23068,2176000,60.40872,136500,3.82196
2026-05-07,2622800,71.70128,2185900,60.650865,436900,11.050415
2026-05-06,2339400,64.52764,1377300,37.89687,962100,26.63077
2026-05-05,3051700,83.545525,1904100,52.21628,1147600,31.329245
2026-05-04,3314600,91.493985,1701900,47.049645,1612700,44.44434
2026-04-29,2486900,69.035095,1112400,30.88664,1374500,38.148455
2026-04-28,1948400,54.262405,1259900,35.024255,688500,19.23815
2026-04-24,2694500,74.69586,880200,24.433665,1814300,50.262195
2026-04-23,2250600,62.92461,2161100,60.28767,89500,2.63694
2026-04-22,1756400,49.660335,1437100,40.636065,319300,9.02427
2026-04-21,4670800,135.88692,7169300,207.95862,-2498500,-72.0717
2026-04-20,3021500,85.341205,1643600,46.397495,1377900,38.94371
2026-04-17,1689100,47.40574,1747200,49.048985,-58100,-1.643245
2026-04-16,1719700,48.041715,2045400,57.21107,-325700,-9.169355
2026-04-15,1998900,56.67308,2066700,58.411105,-67800,-1.738025
2026-04-14,3775500,107.23737,5620700,159.63934,-1845200,-52.40197
2026-04-13,2608000,72.8678,2663400,74.474985,-55400,-1.607185
2026-04-10,5761900,163.27382,3064500,86.543415,2697400,76.730405
2026-04-09,5528400,156.265765,4123900,116.33226,1404500,39.933505
2026-04-08,2936100,81.73411,5259800,146.63403,-2323700,-64.89992
2026-04-07,1950100,52.468845,1662500,44.69607,287600,7.772775
2026-04-06,1622500,43.49164,1323000,35.526945,299500,7.964695
2026-04-03,2847100,76.747535,3166800,85.185695,-319700,-8.43816
2026-04-02,4490300,122.36867,5358800,145.31632,-868500,-22.94765
2026-04-01,2871013,78.263835,2705400,73.831125,165613,4.43271
2026-03-31,1890000,51.100825,2739757,73.922158,-849757,-22.821333
2026-03-30,3491800,92.80114,3795300,100.882505,-303500,-8.081365
2026-03-27,3057500,80.338565,2223428,58.28836,834072,22.050205
2026-03-26,1047500,27.34346,4222500,109.874165,-3175000,-82.530705
2026-03-25,3039405,79.797275,2451600,64.372085,587805,15.42519
2026-03-24,3485400,90.7457,2951700,76.814955,533700,13.930745
2026-03-23,5621000,144.09219,1389300,35.677285,4231700,108.414905
2026-03-20,174018,68.98108,5297200,138.79814,-5123182,-69.81706
2026-03-19,1846718,49.044535,8107882,215.846815,-6261164,-166.80228
2026-03-18,4402441,118.459385,1195003,32.07967,3207438,86.379715
2026-03-17,5487400,148.641305,2753642,74.575899,2733758,74.065406
2026-03-16,2088437,55.743635,713992,19.039475,1374445,36.70416
2026-03-13,2814428,75.67058,3170667,85.260625,-356239,-9.590045
2026-03-12,6079242,163.87958,4166238,112.03736,1913004,51.84222
2026-03-11,2927700,79.7184,4087233,111.587065,-1159533,-31.868665
2026-03-10,5196973,139.686805,6110651,163.90185,-913678,-24.215045
2026-03-09,3248700,82.813283,1421119,36.307554,1827581,46.505729
2026-03-06,5060600,137.04846,3753000,101.83945,1307600,35.20901
2026-03-05,3969316,109.268075,4232313,116.66508,-262997,-7.397005
2026-03-04,8326700,228.01546,5500700,150.803745,2826000,77.211715
2026-03-03,3896500,110.173355,4016500,112.796295,-120000,-2.62294
2026-03-02,6652117,189.82738,3125000,89.762335,3527117,100.065045
2026-02-27,6201420,101.7944,82661986,97.772415,-76460566,4.021985
2026-02-26,4304924,96.226185,32924079,140.477205,-28619155,-44.25102
2026-02-25,5549200,162.489345,12669648,369.503064,-7120448,-207.013719
2026-02-24,4038100,101.935595,16018236,153.84869,-11980136,-51.913095
2026-02-23,2797330,68.280625,9983007,47.817835,-7185677,20.46279
2026-02-13,2058800,55.417475,5166200,139.169735,-3107400,-83.75226
2026-02-12,753576,20.283715,1385730,37.2651,-632154,-16.981385
2026-02-11,2665500,71.629365,1261746,33.848486,1403754,37.780879
2026-02-10,3389200,90.492025,2220025,59.024501,1169175,31.467524
2026-02-09,2613574,70.347325,869480,23.301905,1744094,47.04542
2026-02-06,5000400,137.689335,8283600,226.645935,-3283200,-88.9566
2026-02-05,1522103,42.39142,3214179,89.025605,-1692076,-46.634185
2026-02-04,8378200,234.12195,8629100,241.59339,-250900,-7.47144
2026-02-03,3281500,88.15744,2913809,78.236017,367691,9.921423
2026-02-02,3286800,87.0671,4408100,116.853655,-1121300,-29.786555
2026-01-30,2675100,72.47408,18800511,503.827013,-16125411,-431.352933
2026-01-29,1619900,43.740195,987400,26.66813,632500,17.072065
2026-01-28,17631600,471.627775,2458200,65.77442,15173400,405.853355
2026-01-27,2656903,70.082205,1084474,28.589565,1572429,41.49264
2026-01-26,2343033,62.076425,2192622,57.76114,150411,4.315285
2026-01-23,3215600,86.605725,9870706,265.61925,-6655106,-179.013525
2026-01-22,3989300,107.8627,8379303,226.22509,-4390003,-118.36239
2026-01-21,3506800,94.531925,3019900,81.39697,486900,13.134955
2026-01-20,4763300,131.946535,3075906,84.24839,1687394,47.698145
2026-01-19,3240343,90.558295,3386205,94.71637,-145862,-4.158075
2026-01-16,5171500,125.974885,25332400,172.85376,-20160900,-46.878875
2026-01-15,4735300,130.69561,4998000,137.656785,-262700,-6.961175
2026-01-14,2997900,81.544695,2215800,60.43086,782100,21.113835
2026-01-13,4065700,111.49713,4335600,118.642645,-269900,-7.145515
2026-01-12,6024107,163.248955,5592871,151.184055,431236,12.0649
2026-01-09,3582100,94.69118,4073500,107.321315,-491400,-12.630135
2026-01-08,4833610,128.731255,3036548,80.78803,1797062,47.943225
2026-01-07,2608200,69.137195,3519906,92.596085,-911706,-23.45889
2026-01-06,4216400,108.764875,12319328,328.63465,-8102928,-219.869775
2026-01-05,2287900,5985820051.76233,1985500,12.940011,302400,5985820038.822319
2025-12-31,2464000,65.141295,497520,13.146244,1966480,51.995051
2025-12-30,1813600,48.3898,1977822,52.613858,-164222,-4.224058
2025-12-29,3151300,84.436085,1779821,47.842466,1371479,36.593619
2025-12-26,3733700,100.954845,1566321,42.280793,2167379,58.674052
2025-12-25,9675900,256.892155,2825321,75.174192,6850579,181.717963
2025-12-24,15594900,416.97211,1740121,46.36862,13854779,370.60349
2025-12-23,2066800,55.71113,2498226,67.172756,-431426,-11.461626
2025-12-22,6216100,161.91156,2285324,61.225724,3930776,100.685836
2025-12-19,2202500,58.43305,1254222,33.247674,948278,25.185376
2025-12-18,1374400,36.252685,2784021,73.411186,-1409621,-37.158501
2025-12-17,1999724,53.052215,2217626,58.80653,-217902,-5.754315
2025-12-16,4269900,113.38866,2136117,56.588452,2133783,56.800208
2025-12-15,1537400,40.391675,2805821,73.684143,-1268421,-33.292468
2025-12-12,1951200,51.65633,4861621,127.76368,-2910421,-76.10735
2025-12-11,2263722,60.517155,2779379,74.100385,-515657,-13.58323
2025-12-10,2844200,76.182855,3177224,84.949601,-333024,-8.766746
2025-12-09,4590024,122.05078,4869142,129.42587,-279118,-7.37509
2025-12-08,1370332,36.903785,2857150,76.709645,-1486818,-39.80586
2025-12-05,2565324,69.59524,1960839,53.18757,604485,16.40767
2025-12-04,6452224,174.857905,2742531,74.560665,3709693,100.29724
2025-12-03,2295833,61.239395,2329708,61.998052,-33875,-0.758657
2025-12-02,1624927,42.868145,3826305,100.802,-2201378,-57.933855
2025-12-01,3100500,83.39406,1561508,41.608374,1538992,41.785686
2025-11-28,784200,21.028423,2455221,65.619824,-1671021,-44.591401
2025-11-27,885000,23.938725,1202459,32.473959,-317459,-8.535234
