Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,88000,4.67925,42800,2.27429,45200,2.40496
2026-07-09,296000,15.6608,12800,0.67315,283200,14.98765
2026-07-08,35100,1.86962,288800,15.30798,-253700,-13.43836
2026-07-07,213600,11.28315,32500,1.71383,181100,9.56932
2026-07-06,82600,4.2854,287400,14.94782,-204800,-10.66242
2026-07-03,323600,16.6512,10000,0.51258,313600,16.13862
2026-07-02,77500,4.10495,281000,14.84221,-203500,-10.73726
2026-07-01,29000,1.55343,149700,7.9934,-120700,-6.43997
2026-06-30,135500,7.35987,22200,1.1915,113300,6.16837
2026-06-29,246300,13.37272,16700,0.90541,229600,12.46731
2026-06-26,258500,13.83158,58000,3.13544,200500,10.69614
2026-06-25,120400,6.81116,78400,4.47953,42000,2.33163
2026-06-24,168800,9.45753,3000,0.16749,165800,9.29004
2026-06-23,14100,0.72502,52400,2.67852,-38300,-1.9535
2026-06-22,39000,1.918985,80000,3.940255,-41000,-2.02127
2026-06-19,18227500,802.16384,337400,16.56292,17890100,785.60092
2026-06-18,61900,2.841285,234300,10.853065,-172400,-8.01178
2026-06-17,120600,5.60533,62200,2.897285,58400,2.708045
2026-06-16,34500,1.602525,59900,2.767875,-25400,-1.16535
2026-06-15,254100,11.747805,53400,2.440055,200700,9.30775
2026-06-12,174900,8.158387,299900,13.713795,-125000,-5.555408
2026-06-11,42200,1.95451,32300,1.495025,9900,0.459485
2026-06-10,41300,1.92134,92900,4.297915,-51600,-2.376575
2026-06-09,196700,9.17425,47000,2.177885,149700,6.996365
2026-06-08,212600,9.921645,119500,5.540015,93100,4.38163
2026-06-05,33000,1.518295,341600,15.78633,-308600,-14.268035
2026-06-04,95500,4.42503,135500,6.38485,-40000,-1.95982
2026-06-03,210200,10.75924,235000,11.517,-24800,-0.75776
2026-06-02,76800,3.95334,148600,7.60299,-71800,-3.64965
2026-06-01,45900,2.3965,64900,3.37042,-19000,-0.97392
2026-05-29,222200,11.88307,169300,8.92072,52900,2.96235
2026-05-28,177700,9.62924,157800,8.44065,19900,1.18859
2026-05-27,114000,6.24008,183400,9.94648,-69400,-3.7064
2026-05-26,49500,2.68385,46100,2.49497,3400,0.18888
2026-05-25,44000,2.38132,122600,6.60916,-78600,-4.22784
2026-05-22,129000,6.94359,95700,5.10729,33300,1.8363
2026-05-21,446400,23.85688,170800,9.1103,275600,14.74658
2026-05-20,181300,9.49207,181800,9.44013,-500,0.05194
2026-05-19,28800,1.50949,72100,3.75911,-43300,-2.24962
2026-05-18,55000,2.85102,80500,4.15,-25500,-1.29898
2026-05-15,115800,6.10944,202800,10.48021,-87000,-4.37077
2026-05-14,49600,2.56554,272600,14.3483,-223000,-11.78276
2026-05-13,53600,2.97905,118100,6.54022,-64500,-3.56117
2026-05-12,393200,20.47595,114100,6.15037,279100,14.32558
2026-05-11,56800,2.99671,206900,10.72877,-150100,-7.73206
2026-05-08,36500,1.89429,195400,10.14742,-158900,-8.25313
2026-05-07,216800,10.269455,111500,5.683585,105300,4.58587
2026-05-06,181800,8.95626,131900,6.482835,49900,2.473425
2026-05-05,72200,3.453295,56300,2.684515,15900,0.76878
2026-05-04,115300,5.452715,79500,3.75012,35800,1.702595
2026-04-29,97000,4.509015,7100,0.32986,89900,4.179155
2026-04-28,17700,0.812605,107600,4.88859,-89900,-4.075985
2026-04-24,82800,3.83427,15400,0.711405,67400,3.122865
2026-04-23,11300,0.530885,188600,8.81978,-177300,-8.288895
2026-04-22,55500,2.60182,179700,8.353655,-124200,-5.751835
2026-04-21,48000,2.299045,54300,2.542995,-6300,-0.24395
2026-04-20,252400,11.870225,18300,0.852045,234100,11.01818
2026-04-17,31500,1.479765,74900,3.51392,-43400,-2.034155
2026-04-16,51800,2.4607,236000,11.18376,-184200,-8.72306
2026-04-15,61400,2.94753,289400,13.879545,-228000,-10.932015
2026-04-14,124600,6.110295,399900,19.37249,-275300,-13.262195
2026-04-13,221500,10.87042,532600,26.109645,-311100,-15.239225
2026-04-10,353900,17.479045,145300,7.18511,208600,10.293935
2026-04-09,96800,4.667375,135200,6.479645,-38400,-1.81227
2026-04-08,223300,11.004665,150200,7.2567,73100,3.747965
2026-04-07,274300,13.10775,125100,5.9044,149200,7.20335
2026-04-06,382400,17.123125,138500,6.24396,243900,10.879165
2026-04-03,296200,12.577195,298900,12.765975,-2700,-0.18878
2026-04-02,34300,1.441075,673500,28.202535,-639200,-26.76146
2026-04-01,334900,14.201545,29600,1.251615,305300,12.94993
2026-03-31,142000,5.98,256100,10.70191,-114100,-4.72191
2026-03-30,256400,10.750075,188000,7.826755,68400,2.92332
2026-03-27,410900,17.280035,118200,4.956745,292700,12.32329
2026-03-26,34000,1.42087,171900,7.15858,-137900,-5.73771
2026-03-25,67400,2.83614,156800,6.521555,-89400,-3.685415
2026-03-24,361500,15.009745,139700,5.757975,221800,9.25177
2026-03-23,386400,16.112625,81900,3.387735,304500,12.72489
2026-03-20,204300,6.37091,674800,28.298455,-470500,-21.927545
