Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,1093300,27.02744,850700,20.98404,242600,6.0434
2026-07-09,482100,11.937075,561130,13.883588,-79030,-1.946513
2026-07-08,1242700,32.30906,1393700,36.178625,-151000,-3.869565
2026-07-07,665200,16.979195,991900,25.291455,-326700,-8.31226
2026-07-06,309000,7.894895,766400,19.563765,-457400,-11.66887
2026-07-03,1284100,32.773895,558000,14.289555,726100,18.48434
2026-07-02,190500,4.91922,674300,17.362705,-483800,-12.443485
2026-07-01,2834400,71.412445,858700,22.02631,1975700,49.386135
2026-06-30,1289800,32.49604,291200,7.333105,998600,25.162935
2026-06-29,986300,24.7185,1623564,40.6622,-637264,-15.9437
2026-06-26,336500,8.325785,1232200,30.445025,-895700,-22.11924
2026-06-25,436500,10.83353,933500,23.077655,-497000,-12.244125
2026-06-24,391400,9.710685,3008400,74.555985,-2617000,-64.8453
2026-06-23,762900,19.138385,2651400,66.07018,-1888500,-46.931795
2026-06-22,158700,3.96432,1227700,30.49381,-1069000,-26.52949
2026-06-19,80400,2.02129,1810600,45.926785,-1730200,-43.905495
2026-06-18,243100,6.117045,583110,14.691133,-340010,-8.574088
2026-06-17,641700,16.197715,1619700,40.8383,-978000,-24.640585
2026-06-16,167910,4.239942,507700,12.77651,-339790,-8.536568
2026-06-15,1132000,28.49383,2302958,57.930632,-1170958,-29.436802
2026-06-12,1104100,27.696815,3602901,90.134313,-2498801,-62.437498
2026-06-11,51500,1.270375,261200,6.44325,-209700,-5.172875
2026-06-10,370400,9.174405,266300,6.581085,104100,2.59332
2026-06-09,1768200,43.673195,210900,5.197745,1557300,38.47545
2026-06-08,658300,16.275635,1414800,34.87351,-756500,-18.597875
2026-06-05,184700,4.632275,999900,25.05234,-815200,-20.420065
2026-06-04,579500,14.534325,2540900,63.570725,-1961400,-49.0364
2026-06-03,1490000,37.331615,604500,15.06695,885500,22.264665
2026-06-02,711100,17.669135,1177200,29.1382,-466100,-11.469065
2026-06-01,444900,11.14264,155700,3.90053,289200,7.24211
2026-05-29,1533300,38.37758,381500,9.53447,1151800,28.84311
2026-05-28,839200,21.22889,1629700,41.020025,-790500,-19.791135
2026-05-27,3062700,75.76697,753400,19.23139,2309300,56.53558
2026-05-26,1647200,41.559115,2281200,57.328945,-634000,-15.76983
2026-05-25,660800,16.45703,3089900,76.34839,-2429100,-59.89136
2026-05-22,1910500,47.07492,2306000,57.05764,-395500,-9.98272
2026-05-21,5920500,146.57418,1007300,24.95756,4913200,121.61662
2026-05-20,8443900,209.441585,2743800,68.10349,5700100,141.338095
2026-05-19,422300,10.694475,4179676,105.684783,-3757376,-94.990308
2026-05-18,811200,20.693705,6546500,166.91885,-5735300,-146.225145
2026-05-15,893900,23.029785,7199000,185.305775,-6305100,-162.27599
2026-05-14,778000,20.15695,1433900,37.200635,-655900,-17.043685
2026-05-13,1223300,31.62032,745900,19.30545,477400,12.31487
2026-05-12,1049300,26.876765,555800,14.44776,493500,12.429005
2026-05-11,657400,17.21057,848800,22.190095,-191400,-4.979525
2026-05-08,1506200,39.55648,1386000,36.44135,120200,3.11513
2026-05-07,854100,21.914875,984100,25.72741,-130000,-3.812535
2026-05-06,1031700,26.815245,834200,21.699765,197500,5.11548
2026-05-05,518600,13.440805,464600,12.038705,54000,1.4021
2026-05-04,2755800,72.209155,1220101,31.955869,1535699,40.253286
2026-04-29,800100,20.801875,419800,10.900555,380300,9.90132
2026-04-28,525600,13.754225,742700,19.417105,-217100,-5.66288
2026-04-24,537100,14.141165,1173800,30.817685,-636700,-16.67652
2026-04-23,840300,22.287225,1531300,40.52365,-691000,-18.236425
2026-04-22,796400,20.92214,311700,8.183765,484700,12.738375
2026-04-21,1773600,46.933585,719700,19.050485,1053900,27.8831
2026-04-20,2467600,65.3934,1075201,28.389755,1392399,37.003645
2026-04-17,785400,20.73761,618600,16.35538,166800,4.38223
2026-04-16,1044400,27.628585,447300,11.774565,597100,15.85402
2026-04-15,307700,8.20413,542900,14.473225,-235200,-6.269095
2026-04-14,793300,21.131755,834100,22.19138,-40800,-1.059625
2026-04-13,1217400,32.123715,1299600,34.33954,-82200,-2.215825
2026-04-10,4337800,116.65786,1664200,44.726555,2673600,71.931305
2026-04-09,808900,21.437385,1515400,40.18418,-706500,-18.746795
2026-04-08,1686700,44.452725,1807600,47.64381,-120900,-3.191085
2026-04-07,1151800,29.47604,761300,19.4889,390500,9.98714
2026-04-06,962100,24.8454,511700,13.212735,450400,11.632665
2026-04-03,872000,22.76786,597500,15.52723,274500,7.24063
2026-04-02,1539100,40.337185,1726900,45.369115,-187800,-5.03193
2026-04-01,1092200,29.26075,1608300,43.056905,-516100,-13.796155
2026-03-31,2279300,60.21695,1088800,28.737705,1190500,31.479245
2026-03-30,1455300,37.63466,1145100,29.552065,310200,8.082595
2026-03-27,743200,19.197545,2031900,52.584325,-1288700,-33.38678
2026-03-26,805100,20.9203,3826300,99.21031,-3021200,-78.29001
2026-03-25,1539500,40.155485,1065800,27.7727,473700,12.382785
2026-03-24,2169501,55.553125,2339923,59.94756,-170422,-4.394435
2026-03-23,0,0.0,1061300,0.0,-1061300,0.0
2026-03-20,1229700,32.127945,1632000,42.54782,-402300,-10.419875
2026-03-19,1240300,32.39085,3729000,97.462305,-2488700,-65.071455
2026-03-18,1922700,50.93877,1008900,26.70503,913800,24.23374
2026-03-17,3024700,80.38269,1392000,36.937785,1632700,43.444905
2026-03-16,1025100,26.842715,364500,9.53519,660600,17.307525
2026-03-13,2008600,52.56773,1774100,46.467105,234500,6.100625
2026-03-12,2033601,53.863715,3906225,103.29603,-1872624,-49.432315
2026-03-11,2286600,61.014905,1728405,46.270013,558195,14.744892
2026-03-10,4239000,110.952555,2688600,70.373095,1550400,40.57946
2026-03-09,1298000,32.430455,3551400,88.417685,-2253400,-55.98723
2026-03-06,1873701,50.505095,3302125,88.604145,-1428424,-38.09905
2026-03-05,771900,20.95626,2839400,77.28741,-2067500,-56.33115
2026-03-04,4171500,112.195665,3980700,106.86673,190800,5.328935
2026-03-03,1647000,45.198305,1616800,44.156035,30200,1.04227
2026-03-02,3522000,98.253355,2161000,60.34524,1361000,37.908115
