Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,80200,5.49657,162900,11.14628,-82700,-5.64971
2026-07-09,198500,13.66081,70800,4.87721,127700,8.7836
2026-07-08,385900,26.3511,367100,24.91009,18800,1.44101
2026-07-07,412300,28.46158,1892300,129.87266,-1480000,-101.41108
2026-07-06,184100,13.03739,507100,35.85703,-323000,-22.81964
2026-07-03,334100,23.98591,110300,7.92202,223800,16.06389
2026-07-02,243400,17.60714,404400,29.27739,-161000,-11.67025
2026-07-01,170800,12.35591,366900,26.53892,-196100,-14.18301
2026-06-30,286800,20.66661,81300,5.84741,205500,14.8192
2026-06-29,221500,15.92007,83900,6.0251,137600,9.89497
2026-06-26,125400,8.91547,124200,8.85154,1200,0.06393
2026-06-25,155300,11.08479,2500,0.17875,152800,10.90604
2026-06-24,123300,8.7397,53200,3.97884,70100,4.76086
2026-06-23,66200,4.71229,100300,7.17738,-34100,-2.46509
2026-06-22,46900,3.37751,331700,23.73467,-284800,-20.35716
2026-06-19,186200,13.42631,742500,54.26081,-556300,-40.8345
2026-06-18,128200,9.32464,463500,33.62136,-335300,-24.29672
2026-06-17,226800,16.54866,449600,32.6701,-222800,-16.12144
2026-06-16,155200,11.29885,190800,13.87154,-35600,-2.57269
2026-06-15,563900,40.8648,165758,11.978903,398142,28.885897
2026-06-12,164700,11.8356,378900,27.04962,-214200,-15.21402
2026-06-11,40400,2.88784,405200,28.82256,-364800,-25.93472
2026-06-10,70600,5.08461,194200,13.96489,-123600,-8.88028
2026-06-09,784700,56.44904,127800,9.18806,656900,47.26098
2026-06-08,347700,24.96527,1211600,86.28554,-863900,-61.32027
2026-06-05,144200,10.58445,629000,46.19185,-484800,-35.6074
2026-06-04,129600,9.62028,238600,17.71353,-109000,-8.09325
2026-06-03,571000,42.67597,435900,32.24771,135100,10.42826
2026-06-02,63700,4.73745,483300,35.5231,-419600,-30.78565
2026-06-01,132500,9.90246,284400,21.24258,-151900,-11.34012
2026-05-29,236600,17.83884,432900,32.45206,-196300,-14.61322
2026-05-28,481900,36.82428,524700,39.88216,-42800,-3.05788
2026-05-27,2873500,219.15974,315000,24.19484,2558500,194.9649
2026-05-26,147300,11.33198,442400,34.02684,-295100,-22.69486
