Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,349500,27.21103,601800,46.52182,-252300,-19.31079
2026-07-09,317300,24.77494,170120,13.32024,147180,11.4547
2026-07-08,2264500,176.63262,697900,54.68283,1566600,121.94979
2026-07-07,438400,34.08982,735300,57.10956,-296900,-23.01974
2026-07-06,1313300,102.06494,4523500,361.85633,-3210200,-259.79139
2026-07-03,779900,61.42552,700400,55.15342,79500,6.2721
2026-07-02,1567100,126.18274,2718400,211.72933,-1151300,-85.54659
2026-07-01,2895500,231.18699,789100,62.61639,2106400,168.5706
2026-06-30,473500,36.97343,531368,41.496595,-57868,-4.523165
2026-06-29,2906600,228.34319,556200,43.88027,2350400,184.46292
2026-06-26,3093650,239.19082,659000,51.20177,2434650,187.98905
2026-06-25,875900,67.41494,888600,68.45884,-12700,-1.0439
2026-06-24,603000,46.09946,809700,61.45841,-206700,-15.35895
2026-06-23,720600,55.0543,1029500,78.6884,-308900,-23.6341
2026-06-22,249200,19.3296,530700,41.04153,-281500,-21.71193
2026-06-19,69500,5.42953,927600,73.31416,-858100,-67.88463
2026-06-18,156300,12.23969,1082300,84.88807,-926000,-72.64838
2026-06-17,598800,47.59989,914100,72.54132,-315300,-24.94143
2026-06-16,290500,23.03898,1011500,80.30153,-721000,-57.26255
2026-06-15,1207300,95.02805,1129500,88.69871,77800,6.32934
2026-06-12,444600,34.18128,657300,50.4255,-212700,-16.24422
2026-06-11,732300,57.10698,516900,40.13631,215400,16.97067
2026-06-10,382900,29.79925,314300,24.41776,68600,5.38149
2026-06-09,461200,35.54913,988100,71.68843,-526900,-36.1393
2026-06-08,588500,45.13239,949600,72.89379,-361100,-27.7614
2026-06-05,383400,29.98842,748000,58.41033,-364600,-28.42191
2026-06-04,1058000,82.12541,780200,60.68281,277800,21.4426
2026-06-03,503300,39.03655,693000,53.93191,-189700,-14.89536
2026-06-02,384900,30.13913,536300,41.83967,-151400,-11.70054
2026-06-01,681200,53.40529,485800,37.74979,195400,15.6555
2026-05-29,1648900,126.71392,1373900,105.58886,275000,21.12506
2026-05-28,915600,72.87368,807600,63.69116,108000,9.18252
2026-05-27,2182700,173.16771,1055900,84.23811,1126800,88.9296
2026-05-26,310900,24.48621,275900,21.73351,35000,2.7527
2026-05-25,276200,21.79889,1971200,156.23989,-1695000,-134.441
2026-05-22,988600,78.94096,1353200,107.93677,-364600,-28.99581
2026-05-21,1806500,142.51844,1453100,114.42928,353400,28.08916
2026-05-20,1751300,134.76284,2317811,178.930079,-566511,-44.167239
2026-05-19,1944900,153.07587,1728800,136.14478,216100,16.93109
2026-05-18,1777911,141.852619,2865100,228.77063,-1087189,-86.918011
2026-05-15,773800,64.25734,2987000,247.6971,-2213200,-183.43976
2026-05-14,815200,68.42123,1049300,88.1156,-234100,-19.69437
2026-05-13,581600,48.42122,914000,76.10948,-332400,-27.68826
2026-05-12,1011100,83.33921,1385500,115.207,-374400,-31.86779
2026-05-11,831100,70.07698,1192900,100.35512,-361800,-30.27814
2026-05-08,873600,74.44479,747500,63.525,126100,10.91979
2026-05-07,1247400,107.01203,1088200,94.24835,159200,12.76368
2026-05-06,1421500,121.65985,1584500,135.50404,-163000,-13.84419
2026-05-05,1229900,104.0904,1342500,113.68483,-112600,-9.59443
