Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,7700,0.279205,4900,0.176985,2800,0.10222
2026-07-09,10300,0.37542,0,0.0,10300,0.37542
2026-07-08,3300,0.11667,76000,2.6792,-72700,-2.56253
2026-07-07,14000,0.48786,700,0.024885,13300,0.462975
2026-07-06,7200,0.253625,21400,0.762185,-14200,-0.50856
2026-07-03,15400,0.571245,0,0.0,15400,0.571245
2026-07-02,0,0.0,33300,1.239435,-33300,-1.239435
2026-07-01,1200,0.0451,18800,0.70457,-17600,-0.65947
2026-06-30,14100,0.52533,800,0.0296,13300,0.49573
2026-06-29,21300,0.78973,400,0.01482,20900,0.77491
2026-06-26,21000,0.782065,1120,0.041942,19880,0.740123
2026-06-25,11900,0.445845,0,0.0,11900,0.445845
2026-06-24,10400,0.387655,4800,0.180945,5600,0.20671
2026-06-23,0,0.0,3200,0.12098,-3200,-0.12098
2026-06-22,4500,0.174285,4500,0.17531,0,-0.001025
2026-06-19,12600,0.48732,38200,1.54321,-25600,-1.05589
2026-06-18,900,0.03515,15400,0.59757,-14500,-0.56242
2026-06-17,13300,0.517505,5000,0.1949,8300,0.322605
2026-06-16,4300,0.166225,3600,0.13909,700,0.027135
2026-06-15,25100,0.97692,4900,0.191085,20200,0.785835
2026-06-12,18300,0.73081,37700,1.51118,-19400,-0.78037
2026-06-11,2800,0.11278,2400,0.0971,400,0.01568
2026-06-10,0,0.36984,0,0.0,0,0.36984
2026-06-09,31800,1.29806,2300,0.094385,29500,1.203675
2026-06-08,20200,0.84844,2800,0.1187,17400,0.72974
2026-06-05,400,0.01708,25500,1.07141,-25100,-1.05433
2026-06-04,0,0.0,5800,0.239175,-5800,-0.239175
2026-06-03,16600,0.65197,13700,0.542295,2900,0.109675
2026-06-02,8400,0.33502,7600,0.30172,800,0.0333
2026-06-01,5600,0.227955,4100,0.16593,1500,0.062025
2026-05-29,15700,0.624945,10000,0.39272,5700,0.232225
2026-05-28,5200,0.20605,8500,0.33477,-3300,-0.12872
2026-05-27,5800,0.23267,4800,0.19006,1000,0.04261
2026-05-26,5500,0.221455,12500,0.501815,-7000,-0.28036
2026-05-25,3600,0.14454,2000,0.0802,1600,0.06434
2026-05-22,7700,0.32547,3500,0.1477,4200,0.17777
2026-05-21,5800,0.248965,6600,0.28514,-800,-0.036175
2026-05-20,13700,0.55924,15200,0.65387,-1500,-0.09463
2026-05-19,2800,0.12218,2000,0.09124,800,0.03094
2026-05-18,800,0.03456,3100,0.13453,-2300,-0.09997
2026-05-15,3200,0.12912,12200,0.506935,-9000,-0.377815
2026-05-14,2800,0.11358,8400,0.33753,-5600,-0.22395
2026-05-13,9800,0.387355,10200,0.39559,-400,-0.008235
2026-05-12,6200,0.23272,3500,0.130945,2700,0.101775
2026-05-11,4100,0.15132,13600,0.50553,-9500,-0.35421
