Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,7800,0.36804,5100,0.239385,2700,0.128655
2026-07-09,17500,0.829085,0,0.0,17500,0.829085
2026-07-08,10500,0.496425,31700,1.49789,-21200,-1.001465
2026-07-07,18800,0.88676,800,0.03782,18000,0.84894
2026-07-06,7200,0.34142,22600,1.07483,-15400,-0.73341
2026-07-03,33800,1.637065,0,0.0,33800,1.637065
2026-07-02,0,0.0,35000,1.695545,-35000,-1.695545
2026-07-01,6200,0.300285,24600,1.188275,-18400,-0.88799
2026-06-30,14100,0.683275,800,0.03872,13300,0.644555
2026-06-29,63500,3.062385,400,0.01938,63100,3.043005
2026-06-26,24300,1.18134,1100,0.053575,23200,1.127765
2026-06-25,12400,0.60191,5900,0.284675,6500,0.317235
2026-06-24,10400,0.497535,6600,0.31564,3800,0.181895
2026-06-23,0,0.0,3200,0.15382,-3200,-0.15382
2026-06-22,4700,0.2266,4400,0.211835,300,0.014765
2026-06-19,13500,0.65091,40700,2.04081,-27200,-1.3899
2026-06-18,900,0.043565,27000,1.307675,-26100,-1.26411
2026-06-17,14000,0.685805,5300,0.258705,8700,0.4271
2026-06-16,4400,0.215,4600,0.224855,-200,-0.009855
2026-06-15,25400,1.235725,5500,0.26764,19900,0.968085
2026-06-12,16700,0.81863,39600,1.926545,-22900,-1.107915
2026-06-11,8600,0.41774,2400,0.11562,6200,0.30212
2026-06-10,20300,0.964615,10100,0.478155,10200,0.48646
2026-06-09,34500,1.628165,3900,0.18379,30600,1.444375
2026-06-08,20500,0.963305,19700,0.9282,800,0.035105
2026-06-05,14500,0.69322,39700,1.89507,-25200,-1.20185
2026-06-04,5400,0.2579,11900,0.56621,-6500,-0.30831
2026-06-03,26300,1.251885,18600,0.88629,7700,0.365595
2026-06-02,8400,0.395095,7900,0.37131,500,0.023785
2026-06-01,35200,1.65776,19600,0.920905,15600,0.736855
2026-05-29,26500,1.253125,31300,1.474805,-4800,-0.22168
2026-05-28,21200,1.00652,14800,0.700775,6400,0.305745
2026-05-27,12800,0.606225,34000,1.609865,-21200,-1.00364
2026-05-26,4800,0.2276,3200,0.1515,1600,0.0761
2026-05-25,3600,0.1735,9200,0.441715,-5600,-0.268215
2026-05-22,13300,0.643915,29700,1.43302,-16400,-0.789105
2026-05-21,47700,2.29996,8200,0.39671,39500,1.90325
2026-05-20,22900,1.091025,16000,0.767715,6900,0.32331
2026-05-19,3200,0.15334,5600,0.27056,-2400,-0.11722
2026-05-18,6000,0.290485,3500,0.168665,2500,0.12182
2026-05-15,62700,3.047985,17500,0.845945,45200,2.20204
2026-05-14,23300,1.09532,8600,0.40564,14700,0.68968
2026-05-13,41600,1.93518,18800,0.875335,22800,1.059845
2026-05-12,26700,1.247185,2800,0.13072,23900,1.116465
2026-05-11,0,1.131965,0,0.0,0,1.131965
2026-05-08,1200,0.055655,11200,0.518565,-10000,-0.46291
2026-05-07,11800,0.553205,8600,0.40424,3200,0.148965
2026-05-06,36900,1.726305,0,0.0,36900,1.726305
2026-05-05,3100,0.143825,16600,0.768955,-13500,-0.62513
2026-05-04,7500,0.35514,3200,0.15101,4300,0.20413
2026-04-29,21900,1.049175,0,0.0,21900,1.049175
2026-04-28,8400,0.4065,3200,0.15428,5200,0.25222
2026-04-24,7600,0.35586,1200,0.0561,6400,0.29976
2026-04-23,200,0.009055,30800,1.39202,-30600,-1.382965
2026-04-22,5400,0.24303,1800,0.080755,3600,0.162275
2026-04-21,600,0.02722,800,0.03634,-200,-0.00912
2026-04-20,8300,0.37929,1400,0.063925,6900,0.315365
