Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,925300,12.259675,334800,4.408835,590500,7.85084
2026-07-09,624200,8.290155,652025,8.703331,-27825,-0.413176
2026-07-08,1173200,15.64222,1609200,21.522625,-436000,-5.880405
2026-07-07,715800,9.50591,755300,10.070155,-39500,-0.564245
2026-07-06,745300,10.010825,951305,12.799362,-206005,-2.788537
2026-07-03,862600,11.783485,207500,2.832235,655100,8.95125
2026-07-02,818830,11.266211,1268800,17.50095,-449970,-6.234739
2026-07-01,64300,0.875815,1081800,14.748645,-1017500,-13.87283
2026-06-30,1326900,17.967905,421600,5.74296,905300,12.224945
2026-06-29,909500,12.39623,270105,3.685753,639395,8.710477
2026-06-26,691400,9.38555,618100,8.42607,73300,0.95948
2026-06-25,395700,5.38481,248200,3.3869,147500,1.99791
2026-06-24,532100,7.24979,246000,3.3558,286100,3.89399
2026-06-23,985300,13.51713,625687,8.601373,359613,4.915757
2026-06-22,306500,4.18847,269000,3.681885,37500,0.506585
2026-06-19,129800,1.795345,882900,12.442545,-753100,-10.6472
2026-06-18,492200,6.86341,864300,12.07465,-372100,-5.21124
2026-06-17,196700,2.728525,101400,1.41005,95300,1.318475
2026-06-16,345400,4.81492,263200,3.67924,82200,1.13568
2026-06-15,739220,10.243775,288751,4.015794,450469,6.227981
2026-06-12,465710,6.400818,1225000,16.865805,-759290,-10.464987
2026-06-11,841700,11.51007,658800,9.05286,182900,2.45721
2026-06-10,361200,4.97285,426400,5.88247,-65200,-0.90962
2026-06-09,450700,6.173475,49100,0.67161,401600,5.501865
2026-06-08,553500,7.580975,210500,2.88085,343000,4.700125
2026-06-05,263200,3.68458,1236900,17.28006,-973700,-13.59548
2026-06-04,672600,9.22807,766200,10.539325,-93600,-1.311255
2026-06-03,3345038,45.584397,1272700,17.4884,2072338,28.095997
2026-06-02,119900,1.63359,153900,2.094055,-34000,-0.460465
2026-06-01,62900,0.86199,2150400,29.362675,-2087500,-28.500685
2026-05-29,297000,4.07228,535500,7.37977,-238500,-3.30749
2026-05-28,2042200,28.399645,238600,3.293865,1803600,25.10578
2026-05-27,957100,13.20619,1083200,15.06078,-126100,-1.85459
2026-05-26,808700,11.08832,693400,9.54951,115300,1.53881
2026-05-25,973500,13.2489,1285700,17.55392,-312200,-4.30502
2026-05-22,570100,7.65815,640000,8.63667,-69900,-0.97852
2026-05-21,937200,12.616995,406700,5.508295,530500,7.1087
2026-05-20,2129700,28.22775,3325400,44.61526,-1195700,-16.38751
2026-05-19,851700,11.77464,684200,9.37817,167500,2.39647
2026-05-18,83500,1.15029,284800,3.926085,-201300,-2.775795
2026-05-15,48400,0.6766,405300,5.642695,-356900,-4.966095
2026-05-14,963600,13.50118,993600,13.925485,-30000,-0.424305
2026-05-13,433600,6.064105,911800,12.767795,-478200,-6.70369
2026-05-12,833500,11.52943,917000,12.91535,-83500,-1.38592
2026-05-11,59100,0.83361,517400,73015702.90450498,-458300,-73015702.07089499
2026-05-08,779300,11.029615,838500,11.90231,-59200,-0.872695
2026-05-07,641400,8.911675,208100,2.94155,433300,5.970125
2026-05-06,626800,8.846295,328600,4.6353,298200,4.210995
2026-05-05,118100,1.673095,327800,4.64502,-209700,-2.971925
2026-05-04,227800,3.30083,295200,4.263265,-67400,-0.962435
2026-04-29,573600,8.32719,1251500,18.190615,-677900,-9.863425
