Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,72900,1.16532,49200,0.78292,23700,0.3824
2026-07-09,173350,2.789945,122000,1.949915,51350,0.84003
2026-07-08,67500,1.10175,127000,2.071755,-59500,-0.970005
2026-07-07,112250,1.832363,33300,0.54234,78950,1.290023
2026-07-06,167710,2.752811,161800,2.652655,5910,0.100156
2026-07-03,96000,1.57773,10600,0.17384,85400,1.40389
2026-07-02,40460,0.662909,226100,3.704935,-185640,-3.042026
2026-07-01,38910,0.625526,121172,1.962949,-82262,-1.337423
2026-06-30,109330,1.745315,28900,0.465035,80430,1.28028
2026-06-29,160540,2.588722,2300,0.03692,158240,2.551802
2026-06-26,233630,3.738879,43100,0.684045,190530,3.054834
2026-06-25,66100,0.9974,7600,0.11552,58500,0.88188
2026-06-24,56600,0.848685,30400,0.458015,26200,0.39067
2026-06-23,14800,0.223305,18035,0.269747,-3235,-0.046442
2026-06-22,50800,0.75323,34500,0.51047,16300,0.24276
2026-06-19,20800,0.307925,189000,2.890385,-168200,-2.58246
2026-06-18,3320,0.049301,115600,1.709425,-112280,-1.660124
2026-06-17,76200,1.129195,26800,0.397505,49400,0.73169
2026-06-16,21040,0.310338,21800,0.321595,-760,-0.011257
2026-06-15,153620,2.247862,21600,0.313985,132020,1.933877
2026-06-12,81100,1.18153,209900,3.04338,-128800,-1.86185
2026-06-11,16600,0.240245,13200,0.19008,3400,0.050165
2026-06-10,129700,1.86968,32700,0.47071,97000,1.39897
2026-06-09,190640,2.72555,16300,0.23213,174340,2.49342
2026-06-08,126300,1.79324,39900,0.565265,86400,1.227975
2026-06-05,2200,0.03113,127100,1.79834,-124900,-1.76721
2026-06-04,28800,0.41069,50900,0.727235,-22100,-0.316545
2026-06-03,100700,1.451145,70700,1.012385,30000,0.43876
2026-06-02,53000,0.759895,32800,0.467235,20200,0.29266
2026-06-01,33400,0.47212,22400,0.315765,11000,0.156355
2026-05-29,82200,1.162325,67100,0.94696,15100,0.215365
2026-05-28,25800,0.381525,65200,0.946705,-39400,-0.56518
2026-05-27,47300,0.83252,38700,0.67683,8600,0.15569
2026-05-26,169300,2.92195,14400,0.24777,154900,2.67418
2026-05-25,53500,0.91732,9000,0.15345,44500,0.76387
2026-05-22,34700,0.575075,15700,0.26058,19000,0.314495
2026-05-21,26400,0.43425,38200,0.62825,-11800,-0.194
2026-05-20,62700,1.029765,71800,1.177,-9100,-0.147235
2026-05-19,14400,0.23769,29200,0.48077,-14800,-0.24308
2026-05-18,27000,0.44461,39100,0.6413,-12100,-0.19669
2026-05-15,14400,0.240375,74500,1.23143,-60100,-0.991055
2026-05-14,12600,0.21006,37400,0.62155,-24800,-0.41149
2026-05-13,6000,0.099405,57100,0.94542,-51100,-0.846015
2026-05-12,26500,0.441545,15800,0.26221,10700,0.179335
2026-05-11,179001029300,29883029.329775,1740001234000,35.23767,-1561000204700,29882994.092105
2026-05-08,5300,0.0889,26200,0.438115,-20900,-0.349215
2026-05-07,6100,0.102785,38700,0.64928,-32600,-0.546495
2026-05-06,48500,0.81163,0,0.0,48500,0.81163
2026-05-05,13200,0.220365,41000,0.683045,-27800,-0.46268
2026-05-04,106200,1.775985,13600,0.226055,92600,1.54993
2026-04-29,55400,0.91931,0,0.0,55400,0.91931
2026-04-28,13000,0.21598,16600,0.275015,-3600,-0.059035
2026-04-24,45100,0.74891,12100,0.20094,33000,0.54797
2026-04-23,17800,0.296935,109600,1.82517,-91800,-1.528235
2026-04-22,23400,39099514.778225,13400,22420514.43701,10000,16679000.341215
2026-04-21,6800,0.113895,11600,0.19479,-4800,-0.080895
2026-04-20,30800,0.51907,6800,0.113955,24000,0.405115
2026-04-17,1800,0.03006,31300,0.523775,-29500,-0.493715
2026-04-16,29300,0.491335,71900,1.20547,-42600,-0.714135
2026-04-15,5900,0.10011,60000,1.013935,-54100,-0.913825
2026-04-14,13600,0.23188,56100,0.954295,-42500,-0.722415
2026-04-13,54900,0.93488,37400,0.6366,17500,0.29828
2026-04-10,48100,0.0,0,0.0,48100,0.0
2026-04-09,49100,0.84037,10800,0.18446,38300,0.65591
2026-04-08,22500,0.381125,1800,0.03042,20700,0.350705
2026-04-06,79100,1.32577,11600,0.19412,67500,1.13165
2026-04-03,34400,0.57999,57000,0.955475,-22600,-0.375485
2026-04-02,18100,0.304895,113300,1.90483,-95200,-1.599935
2026-04-01,36700,0.62352,0,0.0,36700,0.62352
2026-03-31,30200,0.50963,70600,1.18724,-40400,-0.67761
2026-03-30,34200,0.576125,68600,1.149765,-34400,-0.57364
2026-03-27,118700,1.99646,54100,0.909265,64600,1.087195
2026-03-26,17900,0.299465,44900,0.749235,-27000,-0.44977
2026-03-25,4700,0.078905,19900,0.33261,-15200,-0.253705
2026-03-24,31000,0.516675,46200,0.767995,-15200,-0.25132
2026-03-23,98400,1.645995,29000,0.485515,69400,1.16048
2026-03-20,106300,1.33647,166800,2.79994,-60500,-1.46347
2026-03-19,37500,0.628225,396800,6.66297,-359300,-6.034745
2026-03-18,220900,3.69412,5200,0.08712,215700,3.607
2026-03-17,82400,1.37002,18000,0.29811,64400,1.07191
2026-03-16,109800,1.81231,35400,0.582905,74400,1.229405
2026-03-13,125300,2.067985,48700,0.799675,76600,1.26831
2026-03-12,16200,0.26663,93200,1.520145,-77000,-1.253515
2026-03-11,250000,4.12582,72500,1.19661,177500,2.92921
2026-03-10,156400,2.55364,274300,4.46264,-117900,-1.909
2026-03-09,72800,1.17997,5600,0.08979,67200,1.09018
2026-03-06,184700,3.106455,60400,1.010065,124300,2.09639
2026-03-05,25400,0.42426,302600,5.031935,-277200,-4.607675
2026-03-04,1911002888300,316060081.48361,615012544617,101435543.810475,1295990343683,214624537.67313498
2026-03-03,129000,2.15488,118900,1.970615,10100,0.184265
2026-03-02,91900,1.5313,86200,1.439035,5700,0.092265
2026-02-27,47000,0.795655,220800,3.72496,-173800,-2.929305
2026-02-26,128400,2.174955,161500,2.72877,-33100,-0.553815
2026-02-25,12400,0.20965,203700,3.44151,-191300,-3.23186
2026-02-24,172100,1.850805,1190700,1.92428,-1018600,-0.073475
2026-02-13,102900,1.740175,95500,1.615705,7400,0.12447
2026-02-12,17200,0.290715,11600,0.195485,5600,0.09523
2026-02-11,54400,0.9104,4600,0.076935,49800,0.833465
2026-02-10,75000,1.25313,82200,1.365355,-7200,-0.112225
2026-02-09,28200,0.471535,20000,0.335,8200,0.136535
2026-02-06,188000,3.131065,201200,3.34861,-13200,-0.217545
2026-02-05,28000,0.4738,123300,2.07443,-95300,-1.60063
2026-02-04,41400,0.70182,21800,0.36942,19600,0.3324
