Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,220000,5.86465,521200,13.76493,-301200,-7.90028
2026-07-09,396800,10.69574,400000,10.7975,-3200,-0.10176
2026-07-08,288200,7.90502,404800,11.137755,-116600,-3.232735
2026-07-07,368000,9.78538,800000,21.52,-432000,-11.73462
2026-07-06,360300,9.85014,401603,10.993486,-41303,-1.143346
2026-07-03,353400,9.62561,450007,12.286117,-96607,-2.660507
2026-07-02,589900,16.069865,884503,24.162061,-294603,-8.092196
2026-07-01,106600,2.89809,980203,26.658175,-873603,-23.760085
2026-06-30,1470100,39.59612,252200,6.78157,1217900,32.81455
2026-06-29,179600,4.770555,151200,4.02192,28400,0.748635
2026-06-26,61600,1.62641,206901,5.473145,-145301,-3.846735
2026-06-25,203100,5.402575,3,7.5e-05,203097,5.4025
2026-06-24,139400,3.72665,205400,5.65716,-66000,-1.93051
2026-06-23,0,0.0,575306,15.683687,-575306,-15.683687
2026-06-22,127600,3.46889,262100,7.164325,-134500,-3.695435
2026-06-19,310800,8.50224,322801,8.860976,-12001,-0.358736
2026-06-18,356900,9.90268,478201,13.265186,-121301,-3.362506
2026-06-17,99100,2.737315,354401,9.808556,-255301,-7.071241
2026-06-16,523800,14.3603,1168900,32.189415,-645100,-17.829115
2026-06-15,468100,12.569145,867745,23.471787,-399645,-10.902642
2026-06-12,607100,16.121485,924402,24.375364,-317302,-8.253879
2026-06-11,21402,0.56536,13249,0.34881,8153,0.21655
2026-06-10,404600,10.73466,489400,12.99863,-84800,-2.26397
2026-06-09,348900,9.24058,411101,10.9342,-62201,-1.69362
2026-06-08,291100,7.73497,166401,4.436215,124699,3.298755
2026-06-05,102200,2.76429,360400,9.77236,-258200,-7.00807
2026-06-04,129900,3.51921,2386702,64.716001,-2256802,-61.196791
2026-06-03,193700,5.27961,784000,21.45145,-590300,-16.17184
2026-06-02,441800,12.05834,247200,6.74186,194600,5.31648
2026-06-01,33800,0.933475,248401,6.824211,-214601,-5.890736
2026-05-29,1022600,28.39981,380900,10.494065,641700,17.905745
2026-05-28,703100,19.71056,646000,17.943175,57100,1.767385
2026-05-27,3118800,86.08192,70000,1.95506,3048800,84.12686
2026-05-26,719000,19.947165,768901,21.460711,-49901,-1.513546
2026-05-25,191500,5.27834,2153200,59.31933,-1961700,-54.04099
2026-05-22,757600,20.754045,1512800,41.367925,-755200,-20.61388
2026-05-21,1817200,49.618255,342300,9.35753,1474900,40.260725
2026-05-20,596800,16.160905,575900,15.60433,20900,0.556575
2026-05-19,1479200,42.04764,1330400,37.373295,148800,4.674345
2026-05-18,545800,15.258155,788200,22.04835,-242400,-6.790195
2026-05-15,331500,9.32171,807800,22.73484,-476300,-13.41313
2026-05-14,413200,11.54938,813400,22.774025,-400200,-11.224645
2026-05-13,561202,15.747885,891752,25.002315,-330550,-9.25443
2026-05-12,519200,14.63701,414700,11.699835,104500,2.937175
2026-05-08,456600,12.939515,791700,22.47958,-335100,-9.540065
2026-05-07,564000,16.08608,1221300,34.72834,-657300,-18.64226
2026-05-06,1540802,43.098745,1810051,50.686005,-269249,-7.58726
2026-05-05,847000,23.27139,1384000,37.971815,-537000,-14.700425
2026-05-04,142700,3.97273,1105602,30.853967,-962902,-26.881237
2026-04-29,1277400,35.41106,700000,19.43039,577400,15.98067
2026-04-28,404401,11.227535,419926,11.68325,-15525,-0.455715
2026-04-24,18900,0.526155,6300,0.174825,12600,0.35133
2026-04-23,221301,6.246275,657766,18.625527,-436465,-12.379252
2026-04-22,524400,32.27928,511100,157.88091,13300,-125.60163
2026-04-21,223400,6.44412,4401,0.125867,218999,6.318253
2026-04-20,1035700,29.92277,1008200,29.1928,27500,0.72997
2026-04-17,717200,20.72608,475800,13.70964,241400,7.01644
2026-04-16,910400,26.23393,1151400,33.198695,-241000,-6.964765
2026-04-15,1043600,30.08015,660500,19.062635,383100,11.017515
2026-04-14,798600,22.925225,626100,17.978135,172500,4.94709
2026-04-13,1107000,31.372985,1299500,36.97751,-192500,-5.604525
2026-04-10,939100,27.11435,672600,19.4181,266500,7.69625
2026-04-09,364802,10.576225,316855,9.20497,47947,1.371255
2026-04-08,1131000,32.517115,2687000,78.036025,-1556000,-45.51891
2026-04-06,1181500,32.158955,818301,22.261455,363199,9.8975
2026-04-03,698902,19.104525,586651,16.008025,112251,3.0965
2026-04-02,812200,22.41433,1349500,37.33201,-537300,-14.91768
2026-04-01,1435200,40.294505,1703200,47.7358,-268000,-7.441295
2026-03-31,1221900,33.01635,987400,26.751385,234500,6.264965
2026-03-30,1316000,34.86444,1269700,33.7568,46300,1.10764
2026-03-27,840200,22.34738,1018400,27.28983,-178200,-4.94245
2026-03-26,1323601,35.232945,1004005,26.569491,319596,8.663454
2026-03-25,1722503,46.11523,1916500,51.498895,-193997,-5.383665
2026-03-24,1920100,50.203115,1696000,44.298005,224100,5.90511
2026-03-23,2173500,55.805555,1453700,37.20704,719800,18.598515
2026-03-20,1176401,30.83823,958400,25.851255,218001,4.986975
2026-03-19,4227602,114.497935,2317852,62.898835,1909750,51.5991
2026-03-18,1245100,35.05445,304400,8.5932,940700,26.46125
2026-03-17,1520600,44.220025,1097200,31.92587,423400,12.294155
2026-03-16,1858600,53.14708,1026700,29.454795,831900,23.692285
2026-03-13,1247100,35.80298,874300,25.16204,372800,10.64094
2026-03-12,617100,18.31241,880900,25.8256,-263800,-7.51319
2026-03-11,3151500,94.075265,1233502,37.50343,1917998,56.571835
2026-03-10,2855800,84.896405,2837902,84.66639,17898,0.230015
2026-03-09,581100,17.02623,150000,4.395,431100,12.63123
2026-03-06,1673700,54.234375,818100,26.2128,855600,28.021575
2026-03-05,848100,16.39866,13209266,36.72447,-12361166,-20.32581
2026-03-03,1964800,64.531695,1513700,49.60206,451100,14.929635
2026-03-02,1871402,60.070785,2196560,70.95423,-325158,-10.883445
2026-02-27,1393000,45.36475,986500,32.146005,406500,13.218745
2026-02-26,2645201,85.471255,529330,17.146045,2115871,68.32521
2026-02-25,2513800,81.0304,903101,29.021565,1610699,52.008835
2026-02-24,315902,7.763005,3204059,24.88424,-2888157,-17.121235
2026-02-13,738301,23.042035,1205429,37.618235,-467128,-14.5762
2026-02-12,77801,2.434165,223929,6.999045,-146128,-4.56488
2026-02-11,408900,12.68054,627200,19.308755,-218300,-6.628215
2026-02-10,574600,17.074275,724905,21.528498,-150305,-4.454223
2026-02-09,379901,11.374725,185128,5.53152,194773,5.843205
2026-02-06,741800,22.56281,1238000,37.75489,-496200,-15.19208
2026-02-05,209800,6.58922,435600,13.624965,-225800,-7.035745
2026-02-04,1338600,42.651985,856800,27.29071,481800,15.361275
2026-02-03,977900,30.55497,585505,18.282818,392395,12.272152
2026-02-02,386100,11.91189,488301,15.069739,-102201,-3.157849
2026-01-30,381100,11.902915,307515,9.63941,73585,2.263505
2026-01-29,303800,9.505353,371302,11.62017,-67502,-2.114817
2026-01-28,497300,15.37341,475200,14.69558,22100,0.67783
2026-01-27,720701,22.431995,454829,14.155495,265872,8.2765
2026-01-26,777908,24.5376,1969038,62.22442,-1191130,-37.68682
2026-01-23,692700,22.33185,4084219,131.614935,-3391519,-109.283085
2026-01-22,1115923,35.750475,3838279,123.34008,-2722356,-87.589605
2026-01-21,1308200,41.79953,457100,14.64624,851100,27.15329
2026-01-20,3140900,103.49093,684703,22.349436,2456197,81.141494
2026-01-16,1247400,40.82873,855000,28.02765,392400,12.80108
2026-01-15,1414300,46.73297,584000,19.144555,830300,27.588415
2026-01-14,944709,31.131365,336800,11.153305,607909,19.97806
2026-01-13,874001,29.083935,1154830,38.280555,-280829,-9.19662
2026-01-12,428410,13.569295,2773283,89.1611,-2344873,-75.591805
2026-01-09,1455100,44.495175,1900700,58.024065,-445600,-13.52889
2026-01-08,363206,11.144095,1107768,34.053385,-744562,-22.90929
2026-01-07,2722003183000,8200145171.25134,4022004158100,12.11621,-1300000975100,8200145159.135131
2026-01-06,1370700,39.88835,940103,27.699391,430597,12.188959
2026-01-05,564900,15.03948,50770016711705,0.0,-50770016146805,15.03948
2025-12-31,468000,14.21778,75101,2.284884,392899,11.932896
2025-12-30,538700,16.5165,850005,25.866852,-311305,-9.350352
2025-12-29,517000,15.91392,703101,21.547209,-186101,-5.633289
2025-12-26,695400,21.30986,535113,16.393554,160287,4.916306
2025-12-25,322700,10.07484,751600,23.354735,-428900,-13.279895
2025-12-24,596500,18.442825,311001,9.652524,285499,8.790301
2025-12-23,1698900,52.842735,512403,16.031208,1186497,36.811527
2025-12-22,1248402,38.83642,511457,16.064,736945,22.77242
2025-12-19,1117400,34.23161,373202,11.424611,744198,22.806999
2025-12-18,168400,5.02016,506404,15.08818,-338004,-10.06802
2025-12-17,573007,17.069565,206797,6.164155,366210,10.90541
2025-12-16,307800,8.843455,474103,14.228159,-166303,-5.384704
2025-12-12,408600,11.868535,123300,3.570405,285300,8.29813
2025-12-11,1129502,33.121485,151755,4.41932,977747,28.702165
2025-12-10,452800,13.16274,280800,8.160195,172000,5.002545
2025-12-09,1201800,34.727495,106300,3.093145,1095500,31.63435
2025-12-08,640216,18.89837,1891338,56.79382,-1251122,-37.89545
2025-12-05,2223804,72.10935,44322,1.44075,2179482,70.6686
2025-12-04,2537401,83.53012,88430,2.89034,2448971,80.63978
2025-12-03,1062908,34.486135,117540,3.790305,945368,30.69583
2025-12-02,1039104,33.558,71519,2.291855,967585,31.266145
2025-12-01,64100,2.080565,98613,3.223032,-34513,-1.142467
2025-11-28,40100,1.3229,115600,3.814525,-75500,-2.491625
2025-11-27,23800,0.800275,61902,2.078528,-38102,-1.278253
2025-11-26,185700,6.23421,20449,0.694844,165251,5.539366
2025-11-25,125300,4.14327,81610,2.72136,43690,1.42191
2025-11-24,220819,7.601445,41460,1.410233,179359,6.191212
2025-11-21,105400,3.60944,114510,3.925279,-9110,-0.315839
2025-11-20,60100,2.082605,125900,4.358525,-65800,-2.27592
2025-11-19,93300,3.26442,140004,4.917372,-46704,-1.652952
2025-11-18,57800,2.05289,203210,7.21094,-145410,-5.15805
2025-11-17,83234,2.91558,182707,6.39414,-99473,-3.47856
2025-11-14,70700,2.472955,53201,1.859858,17499,0.613097
