Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,61100,0.987495,108300,1.738355,-47200,-0.75086
2026-07-09,95000,1.54834,167301,2.723155,-72301,-1.174815
2026-07-08,87900,1.443055,192600,3.145625,-104700,-1.70257
2026-07-07,105700,1.71075,155800,2.49067,-50100,-0.77992
2026-07-06,97900,1.591715,254340,4.149254,-156440,-2.557539
2026-07-03,291800,4.809575,60980,1.001362,230820,3.808213
2026-07-02,27100,0.45081,232070,3.841628,-204970,-3.390818
2026-07-01,97000,1.614445,212712,3.54077,-115712,-1.926325
2026-06-30,220650,3.63081,60101,0.9891,160549,2.64171
2026-06-29,145300,2.37083,129851,2.119352,15449,0.251478
2026-06-26,114200,1.84318,53005,0.85285,61195,0.99033
2026-06-25,152300,2.44731,239902,3.849995,-87602,-1.402685
2026-06-24,49700,0.797525,94912,1.520608,-45212,-0.723083
2026-06-23,312450,5.088175,183224,2.998503,129226,2.089672
2026-06-22,24300,0.392665,80742,1.304937,-56442,-0.912272
2026-06-19,23200,0.3749,311202,5.14999,-288002,-4.77509
2026-06-18,149600,2.43792,254363,4.150973,-104763,-1.713053
2026-06-17,86600,1.421455,172302,2.841711,-85702,-1.420256
2026-06-16,40700,0.67096,191115,3.140277,-150415,-2.469317
2026-06-15,412100,6.79474,78878,1.296986,333222,5.497754
2026-06-12,663200,10.86815,348903,5.702634,314297,5.165516
2026-06-11,103365,1.63916,38739,0.598935,64626,1.040225
2026-06-10,246928,3.955615,66648,1.059165,180280,2.89645
2026-06-09,334501,5.32125,128015,2.033,206486,3.28825
2026-06-08,265500,4.223405,183258,2.910703,82242,1.312702
2026-06-05,362700,5.894325,298602,4.83817,64098,1.056155
2026-06-04,188300,2.98424,67948,1.072673,120352,1.911567
2026-06-03,163000,2.56378,177800,2.80226,-14800,-0.23848
2026-06-02,133200,2.07893,178034,2.783673,-44834,-0.704743
2026-06-01,198300,3.13899,592351,9.399966,-394051,-6.260976
2026-05-29,245800,3.939645,1089800,17.38706,-844000,-13.447415
2026-05-28,311800,5.032165,220876,3.52044,90924,1.511725
2026-05-27,462800,7.47588,223100,3.58004,239700,3.89584
2026-05-26,161500,2.544005,129482,2.04377,32018,0.500235
2026-05-25,224600,3.506975,47776,0.745031,176824,2.761944
2026-05-22,102600,1.591475,64700,1.004535,37900,0.58694
2026-05-21,264900,4.12286,254900,3.972485,10000,0.150375
2026-05-20,361800,5.5709,1628624,25.135523,-1266824,-19.564623
2026-05-19,15200,0.235125,942030,14.567556,-926830,-14.332431
2026-05-18,37200,0.579695,417879,6.501989,-380679,-5.922294
2026-05-15,15254,0.24111,270552,4.24965,-255298,-4.00854
2026-05-14,298300,4.737705,488601,7.74764,-190301,-3.009935
2026-05-13,213300,3.3338,502200,7.84648,-288900,-4.51268
2026-05-12,238900,3.75102,475012,7.408821,-236112,-3.657801
2026-05-11,130900,2.08234,271300,4.304405,-140400,-2.222065
2026-05-08,43800,0.7038,88318,1.413518,-44518,-0.709718
2026-05-07,64800,1.04606,895417,14.426326,-830617,-13.380266
2026-05-06,131417,2.13071,471574,7.61429,-340157,-5.48358
2026-05-05,138200,2.23799,2083700,33.639815,-1945500,-31.401825
2026-05-04,330600,5.40546,494501,8.08395,-163901,-2.67849
2026-04-29,192024,3.120095,38921,0.600785,153103,2.51931
2026-04-28,107401,1.75297,110215,1.79663,-2814,-0.04366
2026-04-24,90932,1.486445,217520,3.540535,-126588,-2.05409
2026-04-23,137784,2.264925,378765,6.174545,-240981,-3.90962
2026-04-22,58155,0.945685,108494,1.74662,-50339,-0.800935
2026-04-21,391700,6.41788,794801,13.03851,-403101,-6.62063
2026-04-20,302900,4.975665,1072036,17.544625,-769136,-12.56896
2026-04-17,222401,3.630565,31115,0.506865,191286,3.1237
2026-04-16,16907,0.27572,259814,4.22254,-242907,-3.94682
2026-04-15,95301,1.570525,213315,3.50507,-118014,-1.934545
2026-04-14,148400,2.458055,194302,3.202276,-45902,-0.744221
2026-04-13,604900,9.85225,319100,5.19624,285800,4.65601
2026-04-09,62800,1.02441,119100,1.9427,-56300,-0.91829
2026-04-08,1814300,29.702385,764800,12.54121,1049500,17.161175
2026-04-06,210301,3.36684,24615,0.392235,185686,2.974605
2026-04-03,434003,6.96876,338145,5.40831,95858,1.56045
2026-04-02,455603,7.351985,658246,10.59586,-202643,-3.243875
2026-04-01,271002,4.481535,786630,12.93224,-515628,-8.450705
2026-03-31,846800,13.807775,247400,4.00497,599400,9.802805
2026-03-30,1134800,18.14451,349500,5.584,785300,12.56051
2026-03-27,1026000,16.50828,390400,6.25268,635600,10.2556
2026-03-26,1701800,27.15318,858600,13.704865,843200,13.448315
2026-03-25,1667600,26.79585,172300,2.765635,1495300,24.030215
2026-03-24,1789714,27.99531,825400,12.82873,964314,15.16658
2026-03-23,530503,8.183895,382944,5.83165,147559,2.352245
2026-03-20,238900,3.809585,701000,11.111575,-462100,-7.30199
2026-03-19,774600,12.34641,1537600,24.43679,-763000,-12.09038
2026-03-18,542002,8.763055,446030,7.1778,95972,1.585255
2026-03-17,627000,10.18674,748803,12.02971,-121803,-1.84297
2026-03-16,481401,7.735215,252315,4.03999,229086,3.695225
2026-03-13,1466900,23.57114,897500,14.37384,569400,9.1973
2026-03-12,881300,14.393615,930100,14.97589,-48800,-0.582275
2026-03-11,1059300,17.340595,1284500,21.125095,-225200,-3.7845
2026-03-10,722900,11.61941,1695201,27.064645,-972301,-15.445235
2026-03-09,767502,12.187135,102531,1.618925,664971,10.56821
2026-03-06,834900,14.238855,898300,15.192445,-63400,-0.95359
2026-03-05,203700,3.56472,1542200,26.78514,-1338500,-23.22042
2026-03-03,1627200,23.86018,6300300,13.41404,-4673100,10.44614
2026-03-02,1317200,23.804335,1512700,27.31083,-195500,-3.506495
2026-02-27,1706900,16.745275,15145900,5.89118,-13439000,10.854095
2026-02-26,1852400,33.95453,528500,9.67186,1323900,24.28267
2026-02-25,2123300,39.155785,760537,14.006016,1362763,25.149769
2026-02-24,1206702,20.506995,2400234,21.581475,-1193532,-1.07448
2026-02-13,195501,3.375165,582416,10.036905,-386915,-6.66174
2026-02-12,939100,16.352875,968600,16.686895,-29500,-0.33402
2026-02-11,1017100,17.32152,956801,16.336631,60299,0.984889
2026-02-10,604902,10.18632,963831,16.169395,-358929,-5.983075
2026-02-09,747700,12.634145,755300,12.679865,-7600,-0.04572
2026-02-06,393902,6.63723,582332,9.859505,-188430,-3.222275
2026-02-05,149700,2.599886,770501,13.221575,-620801,-10.621689
2026-02-04,821265,14.190452,602102,10.4084,219163,3.782052
2026-02-03,720900,12.397165,236200,4.059985,484700,8.33718
2026-02-02,592600,10.18163,958701,16.412561,-366101,-6.230931
2026-01-30,2146101,36.67388,131816,2.23581,2014285,34.43807
2026-01-29,827200,14.046396,551101,9.27912,276099,4.767276
2026-01-28,1704001,29.00993,233916,3.98046,1470085,25.02947
2026-01-27,4142003,71.06441,282448,4.84368,3859555,66.22073
2026-01-26,2173201,36.91584,189216,3.22014,1983985,33.6957
2026-01-23,321600,5.58992,253800,4.40805,67800,1.18187
2026-01-22,821500,14.33225,345200,6.002265,476300,8.329985
2026-01-21,154302,2.670215,364933,6.303115,-210631,-3.6329
2026-01-20,2946100,51.95331,532300,9.350915,2413800,42.602395
2026-01-16,293500,5.145955,288500,5.03268,5000,0.113275
2026-01-15,323602,5.646045,336633,5.88928,-13031,-0.243235
2026-01-14,330102,5.812618,391800,6.935675,-61698,-1.123057
2026-01-13,208501,3.766715,231417,4.166415,-22916,-0.3997
2026-01-12,642702,11.54198,414533,7.437775,228169,4.104205
2026-01-09,431600,7.64134,1348580,23.820624,-916980,-16.179284
2026-01-08,736489,13.1237,240271,4.22807,496218,8.89563
2026-01-07,318300,5.557555,266100,4.6189,52200,0.938655
2026-01-06,493100,8.320965,373803,6.362356,119297,1.958609
2026-01-05,344300,577732016.572212,987375,0.063002,-643075,577732016.50921
2025-12-31,76700,1.316875,86000,1.4753,-9300,-0.158425
2025-12-30,121900,0.0,30180020000,1.55,-30179898100,-1.55
2025-12-29,64600,1.10056,95401,1.621236,-30801,-0.520676
2025-12-26,276200,4.67705,206101,3.465761,70099,1.211289
2025-12-25,171500,2.95956,107900,1.84665,63600,1.11291
2025-12-24,300900,5.22596,140601,2.436106,160299,2.789854
