Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,194700,11.85415,181300,11.01593,13400,0.83822
2026-07-09,275900,16.89459,400,0.02452,275500,16.87007
2026-07-08,39300,2.42076,146600,9.02316,-107300,-6.6024
2026-07-07,291000,17.79678,93500,5.72189,197500,12.07489
2026-07-06,289000,17.75467,182301,11.242818,106699,6.511852
2026-07-03,95200,5.9232,3800,0.23606,91400,5.68714
2026-07-02,124800,7.81142,206800,12.92071,-82000,-5.10929
2026-07-01,203900,12.81628,93400,5.85675,110500,6.95953
2026-06-30,69900,4.34743,277400,17.29202,-207500,-12.94459
2026-06-29,474300,29.40388,261202,16.194394,213098,13.209486
2026-06-26,190000,11.61535,179100,10.95899,10900,0.65636
2026-06-25,185400,11.31012,124701,7.600887,60699,3.709233
2026-06-24,290300,17.78154,131400,8.03364,158900,9.7479
2026-06-23,372300,23.05345,331600,20.57493,40700,2.47852
2026-06-22,449100,27.61773,537600,33.02232,-88500,-5.40459
2026-06-19,752200,46.23789,625600,38.80506,126600,7.43283
2026-06-18,357400,22.10806,226701,14.024038,130699,8.084022
2026-06-17,370400,22.94304,393400,24.42666,-23000,-1.48362
2026-06-16,109300,6.76435,14401,0.890797,94899,5.873553
2026-06-15,376400,23.32253,187100,11.54086,189300,11.78167
2026-06-12,55500,3.43202,205400,12.68962,-149900,-9.2576
2026-06-11,218400,13.45428,7200,0.44244,211200,13.01184
2026-06-10,79900,4.93231,162500,10.03725,-82600,-5.10494
2026-06-09,518400,31.82725,31400,1.93219,487000,29.89506
2026-06-08,608300,37.24433,141900,8.75943,466400,28.4849
2026-06-05,413000,25.53946,134500,8.33998,278500,17.19948
2026-06-04,105500,6.53991,90700,5.64331,14800,0.8966
2026-06-03,1251900,77.20452,153700,9.54337,1098200,67.66115
2026-06-02,431400,26.64412,92800,5.7884,338600,20.85572
2026-06-01,34000,2.10424,175801,10.872668,-141801,-8.768428
2026-05-29,972100,60.55363,275200,17.13298,696900,43.42065
2026-05-28,741100,46.91411,165700,10.4891,575400,36.42501
2026-05-27,560300,35.90286,400900,25.65205,159400,10.25081
2026-05-26,412900,26.28803,269600,17.27682,143300,9.01121
