Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,55000,0.88713,294200,4.70415,-239200,-3.81702
2026-07-09,130700,2.121065,150000,2.4225,-19300,-0.301435
2026-07-08,2319000,37.886355,217600,3.54105,2101400,34.345305
2026-07-07,630500,10.16679,98902,1.56667,531598,8.60012
2026-07-06,136000,2.213585,669337,10.853334,-533337,-8.639749
2026-07-03,574200,9.46319,641583,10.63284,-67383,-1.16965
2026-07-02,100000,1.66,332929,5.526746,-232929,-3.866746
2026-07-01,78400,1.29864,1361703,22.792681,-1283303,-21.494041
2026-06-30,706200,11.68801,255601,4.218415,450599,7.469595
2026-06-29,303500,5.008065,2110954,34.897462,-1807454,-29.889397
2026-06-26,145400,2.33994,22804,0.367,122596,1.97294
2026-06-25,146000,2.34307,26402,0.42273,119598,1.92034
2026-06-24,230500,3.684935,335612,5.622512,-105112,-1.937577
2026-06-23,18900,0.30429,2384004,38.53205,-2365104,-38.22776
2026-06-22,16800,0.26992,1111322,17.845366,-1094522,-17.575446
2026-06-19,185000,2.99844,645502,10.432075,-460502,-7.433635
2026-06-18,54200,0.88596,716669,11.701786,-662469,-10.815826
2026-06-17,316900,5.194505,2373300,38.95913,-2056400,-33.764625
2026-06-16,104600,1.69762,438811,7.114323,-334211,-5.416703
2026-06-15,773400,12.60721,778024,12.726313,-4624,-0.119103
2026-06-12,503800,8.15529,3317901,53.96042,-2814101,-45.80513
2026-06-11,205344,3.293345,521990,8.368625,-316646,-5.07528
2026-06-10,472340,7.53615,194145,3.09276,278195,4.44339
2026-06-09,763100,12.1139,261000,4.13982,502100,7.97408
2026-06-08,541500,8.61111,1868888,29.615854,-1327388,-21.004744
2026-06-05,401200,6.51494,1215603,19.864325,-814403,-13.349385
2026-06-04,1137600,18.3844,3243133,52.42624,-2105533,-34.04184
2026-06-03,852701,13.61255,585915,9.367075,266786,4.245475
2026-06-02,381700,6.07898,649222,10.327823,-267522,-4.248843
2026-06-01,498600,8.03761,390766,6.311944,107834,1.725666
2026-05-29,988900,16.04373,465900,7.519005,523000,8.524725
2026-05-28,1742100,28.99408,5881863,98.370804,-4139763,-69.376724
2026-05-27,2272500,37.597985,11780400,193.535665,-9507900,-155.93768
2026-05-26,604200,9.78343,3183479,51.392585,-2579279,-41.609155
2026-05-25,247700,3.932335,134770,2.131788,112930,1.800547
2026-05-22,284600,4.477465,233301,3.66942,51299,0.808045
2026-05-21,550400,8.725315,455000,7.20483,95400,1.520485
2026-05-20,502100,7.72448,3109413,48.089834,-2607313,-40.365354
2026-05-19,195900,3.11343,3331539,52.971028,-3135639,-49.857598
2026-05-18,62100,0.99402,585079,9.353955,-522979,-8.359935
2026-05-15,267442,4.28458,813072,13.0404,-545630,-8.75582
2026-05-14,93700,1.506045,864702,13.91402,-771002,-12.407975
2026-05-13,176700,2.82767,217800,3.48558,-41100,-0.65791
2026-05-12,297600,4.63101,136896,2.188373,160704,2.442637
2026-05-11,336900,5.41675,338000,5.41726,-1100,-0.00051
2026-05-08,21718,0.34934,362287,5.820365,-340569,-5.471025
2026-05-07,262500,4.116165,297702,4.815949,-35202,-0.699784
2026-05-06,234915,3.797255,242539,3.90482,-7624,-0.107565
2026-05-05,25500,0.40779,1479500,23.581685,-1454000,-23.173895
2026-05-04,142300,2.30854,474900,7.722,-332600,-5.41346
2026-04-29,169571,2.774475,18448,0.254715,151123,2.51976
2026-04-28,242200,4.22266,37800,0.657145,204400,3.565515
2026-04-24,52341,0.90163,59304,1.007955,-6963,-0.106325
2026-04-23,223111,3.863355,455409,7.87892,-232298,-4.015565
2026-04-22,147746,2.54956,94397,1.61422,53349,0.93534
2026-04-21,124500,2.154305,394601,6.836601,-270101,-4.682296
2026-04-20,378800,6.601568,22916,0.398125,355884,6.203443
2026-04-17,329900,5.71427,204600,3.54762,125300,2.16665
2026-04-16,458018,7.890975,298717,5.13466,159301,2.756315
2026-04-15,331400,5.804335,571900,9.967265,-240500,-4.16293
2026-04-14,440700,7.803545,602600,10.690405,-161900,-2.88686
2026-04-13,1263000,22.438405,4330500,77.05201,-3067500,-54.613605
2026-04-10,704200,12.282415,1107500,19.35279,-403300,-7.070375
2026-04-09,37000,0.635995,198101,3.402986,-161101,-2.766991
2026-04-08,2216202,38.31334,761831,13.19603,1454371,25.11731
2026-04-06,389000,6.48963,324100,5.39517,64900,1.09446
2026-04-03,461500,7.78495,299600,5.00722,161900,2.77773
2026-04-02,218400,361510903.707915,2207001730500,29.300545,-2207001512100,361510874.40737
2026-04-01,366901,6.32019,101916,1.755765,264985,4.564425
2026-03-31,151900,2.584985,280900,4.761765,-129000,-2.17678
2026-03-30,518000,8.770375,236600,3.996735,281400,4.77364
2026-03-27,481000,8.18315,284400,4.867775,196600,3.315375
2026-03-26,42600,0.0,0,0.0,42600,0.0
2026-03-25,320500,5.476145,1649200,27.91507,-1328700,-22.438925
2026-03-24,1404400,23.42835,267700,4.42714,1136700,19.00121
2026-03-23,1337000,21.8325,322500,5.26931,1014500,16.56319
2026-03-20,98600,1.660445,600200,10.077585,-501600,-8.41714
2026-03-19,111300,1.880325,1252500,20.979175,-1141200,-19.09885
2026-03-18,552300,9.43765,324800,5.55724,227500,3.88041
2026-03-17,1592500,27.26941,3282300,56.28392,-1689800,-29.01451
2026-03-16,1396801,23.58645,254316,4.30004,1142485,19.28641
2026-03-13,5543301,9.14609,84564116,14.089635,-79020815,-4.943545
2026-03-12,198101,3.31175,294616,4.9168,-96515,-1.60505
2026-03-11,5900500,98.76082,465100,7.719415,5435400,91.041405
2026-03-10,1704400,27.579904,1189103,19.21728,515297,8.362624
2026-03-09,1631601,25.44705,594116,9.269635,1037485,16.177415
2026-03-06,398201,6.693345,348516,5.84801,49685,0.845335
2026-03-05,142100,2.415365,534400,9.033805,-392300,-6.61844
2026-03-04,540200431400,9.03184,1629200174900,58.57951,-1088999743500,-49.54767
2026-03-03,308201,5.215495,764716,12.85853,-456515,-7.643035
2026-03-02,376101,6.38003,572016,9.722715,-195915,-3.342685
2026-02-27,441901,7.6705,439316,7.618155,2585,0.052345
2026-02-26,434401,7.57318,216716,3.7756,217685,3.79758
2026-02-25,51300,0.89388,621403,10.809613,-570103,-9.915733
2026-02-24,133900,0.624765,2456200,13.04764,-2322300,-12.422875
