Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,48604,10.78944,819000,181.7807,-770396,-170.99126
2026-07-09,76700,16.94249,147500,32.58418,-70800,-15.64169
2026-07-08,52900,11.67027,123400,27.17669,-70500,-15.50642
2026-07-07,122700,26.62354,3900,0.85625,118800,25.76729
2026-07-06,27900,6.13376,96700,21.27794,-68800,-15.14418
2026-07-03,157200,34.6561,3500,0.77052,153700,33.88558
2026-07-02,15600,3.42367,153000,33.40617,-137400,-29.9825
2026-07-01,36700,8.02887,95400,20.79672,-58700,-12.76785
2026-06-30,77300,16.85618,5000,1.09866,72300,15.75752
2026-06-29,140700,31.11513,8500,1.84829,132200,29.26684
2026-06-26,90400,20.35189,7300,1.64582,83100,18.70607
2026-06-25,95300,21.31845,12300,2.76732,83000,18.55113
2026-06-24,54200,12.60435,14100,3.32119,40100,9.28316
2026-06-23,27900,6.35044,48216,10.981413,-20316,-4.630973
2026-06-22,52700,11.35808,28800,6.21799,23900,5.14009
2026-06-19,59600,12.23143,98400,20.61792,-38800,-8.38649
2026-06-18,48600,9.92475,231600,47.0045,-183000,-37.07975
2026-06-17,63900,12.01148,26000,4.96772,37900,7.04376
2026-06-16,17100,3.30576,673900,130.29368,-656800,-126.98792
2026-06-15,102600,19.44426,578798,111.465497,-476198,-92.021237
2026-06-12,60700,11.8906,155300,30.1915,-94600,-18.3009
2026-06-11,14700,2.85936,13500,2.6027,1200,0.25666
2026-06-10,16200,3.16624,43700,8.44542,-27500,-5.27918
2026-06-09,135300,26.39849,19700,3.84174,115600,22.55675
2026-06-08,181600,36.12335,63400,12.55831,118200,23.56504
2026-06-05,206600,42.75,159200,32.92675,47400,9.82325
2026-06-04,23000,4.57776,64900,12.78608,-41900,-8.20832
2026-06-03,79500,15.64546,195400,38.32738,-115900,-22.68192
2026-06-02,50900,10.41935,47100,9.71019,3800,0.70916
2026-06-01,35900,7.42901,29700,6.15865,6200,1.27036
2026-05-29,111400,23.61642,50500,10.638,60900,12.97842
2026-05-28,111000,23.33448,79000,16.90175,32000,6.43273
2026-05-27,70800,14.63725,61500,12.8386,9300,1.79865
2026-05-26,194000,41.3241,14400,3.07434,179600,38.24976
2026-05-25,17100,3.74609,79300,17.33266,-62200,-13.58657
2026-05-22,286400,60.99729,90900,19.39566,195500,41.60163
2026-05-21,433700,95.77491,77100,16.92574,356600,78.84917
2026-05-20,697500,158.9407,72600,16.52214,624900,142.41856
2026-05-19,623900,139.15827,71900,16.00406,552000,123.15421
2026-05-18,40000,8.98567,24000,5.42139,16000,3.56428
2026-05-15,40600,9.18113,125800,28.62365,-85200,-19.44252
2026-05-14,37500,8.48925,96400,21.98863,-58900,-13.49938
2026-05-13,53800,11.50504,146200,31.38345,-92400,-19.87841
2026-05-12,176700,37.25507,83300,18.52457,93400,18.7305
2026-05-11,70200,15.85044,116800,26.31952,-46600,-10.46908
2026-05-08,20100,4.45627,68500,15.29356,-48400,-10.83729
2026-05-07,127100,26.48011,68800,15.44296,58300,11.03715
2026-05-06,96000,20.97218,5500,1.19597,90500,19.77621
2026-05-05,24000,5.28342,54700,11.89193,-30700,-6.60851
