Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,227000,12.80685,382700,21.61604,-155700,-8.80919
2026-07-09,462200,25.7527,121200,6.75885,341000,18.99385
2026-07-08,299000,16.54952,278900,15.43414,20100,1.11538
2026-07-07,369500,20.36545,45000,2.4815,324500,17.88395
2026-07-06,88200,4.84417,314000,17.2843,-225800,-12.44013
2026-07-03,426900,23.50452,144100,7.90702,282800,15.5975
2026-07-02,294100,16.39753,277000,15.40311,17100,0.99442
2026-07-01,261500,14.4322,221200,12.22295,40300,2.20925
2026-06-30,596800,32.95217,290700,15.98251,306100,16.96966
2026-06-29,222600,12.50914,5500,0.30831,217100,12.20083
2026-06-26,207400,11.67003,47800,2.69869,159600,8.97134
2026-06-25,101400,5.92205,81000,4.7294,20400,1.19265
2026-06-24,85400,4.98162,142800,8.33405,-57400,-3.35243
2026-06-23,31000,1.8202,116100,6.81641,-85100,-4.99621
2026-06-22,16800,0.98872,950700,55.91019,-933900,-54.92147
2026-06-19,64200,3.79351,310700,18.35313,-246500,-14.55962
2026-06-18,135600,8.04134,443600,26.29613,-308000,-18.25479
2026-06-17,452400,26.89097,507900,30.09619,-55500,-3.20522
2026-06-16,113200,6.72053,572400,33.91351,-459200,-27.19298
2026-06-15,466300,27.81627,39443,2.348584,426857,25.467686
2026-06-12,438900,26.12297,366700,21.76227,72200,4.3607
2026-06-11,387900,22.996385,98700,5.83315,289200,17.163235
2026-06-10,233600,13.71749,204000,11.91424,29600,1.80325
2026-06-09,320500,18.69973,41400,2.41414,279100,16.28559
2026-06-08,231800,13.51206,286200,16.65827,-54400,-3.14621
2026-06-05,6000,0.35076,501100,29.27415,-495100,-28.92339
2026-06-04,105500,6.17422,128400,7.50091,-22900,-1.32669
2026-06-03,140900,8.24299,360200,21.06555,-219300,-12.82256
2026-06-02,56800,3.3479,276600,16.26322,-219800,-12.91532
2026-06-01,38200,2.25924,141400,8.35457,-103200,-6.09533
2026-05-29,200400,11.86216,131700,7.77162,68700,4.09054
2026-05-28,513400,30.5481,232300,13.81199,281100,16.73611
2026-05-27,191600,11.3019,354700,20.88527,-163100,-9.58337
2026-05-26,120200,7.11856,34600,2.04734,85600,5.07122
2026-05-25,97500,5.78818,120400,7.12831,-22900,-1.34013
2026-05-22,180300,10.67856,101600,5.98401,78700,4.69455
2026-05-21,283200,16.72234,175900,10.36921,107300,6.35313
2026-05-20,118700,6.98464,399000,23.65619,-280300,-16.67155
