Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,1375405,37.079301,1211700,32.57449,163705,4.504811
2026-07-09,685600,18.823955,388300,10.654295,297300,8.16966
2026-07-08,2623000,73.173605,1113700,31.053465,1509300,42.12014
2026-07-07,648600,17.785065,5190600,140.489235,-4542000,-122.70417
2026-07-06,1070300,29.51761,959821,26.407577,110479,3.110033
2026-07-03,1052300,29.119618,954000,26.42404,98300,2.695578
2026-07-02,1720800,47.798825,1671800,46.42214,49000,1.376685
2026-07-01,4734400,131.02039,4400500,121.48391,333900,9.53648
2026-06-30,5835400,157.868325,184050,4.986383,5651350,152.881942
2026-06-29,1625900,43.97018,625761,16.945529,1000139,27.024651
2026-06-26,701600,18.623705,118400,3.131675,583200,15.49203
2026-06-25,623900,16.61568,154801,4.12143,469099,12.49425
2026-06-24,1269000,33.515405,739203,19.767123,529797,13.748282
2026-06-23,1060550,28.259398,1218501,32.608164,-157951,-4.348766
2026-06-22,417500,10.822835,359621,9.339289,57879,1.483546
2026-06-19,674700,17.551005,1593901,42.12074,-919201,-24.569735
2026-06-18,204900,5.409675,764837,20.180895,-559937,-14.77122
2026-06-17,559200,14.789875,509100,13.518745,50100,1.27113
2026-06-16,446500,11.7885,612308,16.177283,-165808,-4.388783
2026-06-15,1124400,29.577805,593800,15.593765,530600,13.98404
2026-06-12,879400,22.97862,889900,23.181695,-10500,-0.203075
2026-06-11,1559519,40.43008,232392,6.007765,1327127,34.422315
2026-06-10,887800,23.066245,399400,10.371865,488400,12.69438
2026-06-09,2315200,60.036335,598100,15.465195,1717100,44.57114
2026-06-08,2497900,64.76999,1432419,37.063794,1065481,27.706196
2026-06-05,414400,11.001515,1178200,31.15396,-763800,-20.152445
2026-06-04,766800,20.234135,1172514,30.951425,-405714,-10.71729
2026-06-03,686200,18.15204,1767500,46.419635,-1081300,-28.267595
2026-06-02,1116000,29.77821,993932,26.351617,122068,3.426593
2026-06-01,340000,9.19676,418800,11.32241,-78800,-2.12565
2026-05-29,2886600,78.72562,814900,22.181365,2071700,56.544255
2026-05-28,1778610,49.164136,1266634,34.908613,511976,14.255523
2026-05-27,4508900,122.03219,2113100,59.05463,2395800,62.97756
2026-05-26,1011700,27.81793,1897003,52.189635,-885303,-24.371705
2026-05-25,609200,16.47679,3425661,91.939772,-2816461,-75.462982
2026-05-22,994600,26.60674,1487500,39.814615,-492900,-13.207875
2026-05-21,1510100,40.6295,936800,25.14594,573300,15.48356
2026-05-20,2312700,60.79437,3858600,101.41236,-1545900,-40.61799
2026-05-19,1008100,27.328565,1863300,50.090815,-855200,-22.76225
2026-05-18,855900,23.376465,1353647,36.90677,-497747,-13.530305
2026-05-15,454145,12.6679,1353553,37.6329,-899408,-24.965
2026-05-14,2585300,68.70989,7534010,79.30221,-4948710,-10.59232
2026-05-13,813900,22.761625,1281800,35.71429,-467900,-12.952665
2026-05-12,1211100,33.105655,1063960,29.497489,147140,3.608166
2026-05-11,1621100,45.283155,524200,14.62704,1096900,30.656115
2026-05-08,1135418,31.929835,1199304,33.65505,-63886,-1.725215
2026-05-07,1049300,28.875155,977940,27.411778,71360,1.463377
2026-05-06,2145615,59.526695,433120,12.030305,1712495,47.49639
2026-05-05,1366300,37.26267,1378300,37.537055,-12000,-0.274385
2026-05-04,563208,15.152745,1115118,29.954005,-551910,-14.80126
2026-04-29,1271932,33.956315,896872,23.91293,375060,10.043385
2026-04-28,334400,9.088705,237500,6.467495,96900,2.62121
2026-04-24,823735,22.53544,597464,16.30485,226271,6.23059
2026-04-23,938600,26.034085,982200,27.1835,-43600,-1.149415
2026-04-22,603640,16.60696,2328030,63.968555,-1724390,-47.361595
2026-04-21,1534900,42.798095,852000,23.596185,682900,19.20191
2026-04-20,3465800,98.194459,754100,21.321325,2711700,76.873134
2026-04-17,2362500,66.515795,2130600,60.234835,231900,6.28096
2026-04-16,1029500,28.23995,1706100,47.077545,-676600,-18.837595
2026-04-15,2266800,62.21403,1099200,30.27012,1167600,31.94391
2026-04-14,1312400,35.95529,2034800,55.85863,-722400,-19.90334
2026-04-13,1724000,46.456885,2438800,65.837255,-714800,-19.38037
2026-04-10,1444700,39.75968,2528500,69.63969,-1083800,-29.88001
2026-04-09,1243500,33.81151,1205500,32.8131,38000,0.99841
2026-04-08,1239400,33.73302,1495100,40.640445,-255700,-6.907425
2026-04-06,7444700,31.991715,158756700,16.87951,-151312000,15.112205
2026-04-03,859700,22.38531,590500,15.261055,269200,7.124255
2026-04-02,839100,22.09598,2418600,63.749005,-1579500,-41.653025
2026-04-01,1495300,40.460505,1233600,33.409595,261700,7.05091
2026-03-31,8180300,204.5173,2334500,62.189165,5845800,142.328135
2026-03-27,2114000,55.50647,1744200,45.7966,369800,9.70987
2026-03-26,947600,24.77252,2761300,72.332575,-1813700,-47.560055
2026-03-24,2114100,53.04683,2634300,65.331675,-520200,-12.284845
2026-03-23,2091600,50.395555,2875600,69.440095,-784000,-19.04454
2026-03-20,1362900,34.464545,2172100,54.830605,-809200,-20.36606
2026-03-19,3300800,82.91873,6854000,173.21557,-3553200,-90.29684
2026-03-18,2127700,54.93106,456500,11.815595,1671200,43.115465
2026-03-17,2295300,59.91599,828200,21.494185,1467100,38.421805
2026-03-16,1164600,29.736685,195400,4.9891,969200,24.747585
2026-03-13,1727300,44.119175,628100,16.07635,1099200,28.042825
2026-03-12,692900,17.89105,771300,19.90368,-78400,-2.01263
2026-03-11,2139400,55.65187,896800,23.43329,1242600,32.21858
2026-03-10,2443500295,6200398.01128,3212600,81.982765,2440287695,6200316.028515
2026-03-09,1330501,29.283055,6579025,70.908465,-5248524,-41.62541
2026-03-06,1073200,28.801845,1234900,33.05127,-161700,-4.249425
2026-03-05,992600,27.20195,2974500,81.81709,-1981900,-54.61514
2026-03-03,1747400,48.80421,1263900,35.367755,483500,13.436455
2026-03-02,1880300,53.25325,1567200,44.52642,313100,8.72683
2026-02-27,1427200,41.643015,897500,26.05778,529700,15.585235
2026-02-26,2392600,69.36505,578400,16.7372,1814200,52.62785
2026-02-25,2562200,74.20613,1343800,38.96806,1218400,35.23807
2026-02-24,1778800,45.30855,6789400,24.319165,-5010600,20.989385
2026-02-13,608800,17.10816,1837000,51.77689,-1228200,-34.66873
2026-02-12,549500,15.522105,512600,14.471795,36900,1.05031
2026-02-11,1990600,55.466815,1219800,33.81157,770800,21.655245
2026-02-10,1128704,23.848805,7440940,29.18565,-6312236,-5.336845
2026-02-09,620800,16.719745,268000,7.164275,352800,9.55547
2026-02-06,1596700,43.154055,2706800,73.23861,-1110100,-30.084555
2026-02-05,741595,20.59287,1012100,27.92355,-270505,-7.33068
2026-02-04,1692500,46.557165,811100,22.258355,881400,24.29881
2026-02-03,1589300,44.199175,823300,22.827815,766000,21.37136
2026-02-02,1311800,36.2484,1876700,51.76825,-564900,-15.51985
2026-01-30,1428555,39.80247,253516,7.0306,1175039,32.77187
2026-01-29,654600,18.22766,345300,9.619365,309300,8.608295
2026-01-28,886600,24.788415,931500,25.96352,-44900,-1.175105
2026-01-27,1495202,41.560755,346852,9.633565,1148350,31.92719
