Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-07-10,87800,2.341475,81300,2.15673,6500,0.184745
2026-07-09,124600,3.36571,5900,0.15952,118700,3.20619
2026-07-08,94600,2.56372,252400,6.847665,-157800,-4.283945
2026-07-07,120500,3.295055,18900,0.519355,101600,2.7757
2026-07-06,103200,2.88414,234200,6.59725,-131000,-3.71311
2026-07-03,295700,8.35141,7900,0.22277,287800,8.12864
2026-07-02,24000,0.67825,235200,6.64384,-211200,-5.96559
2026-07-01,72900,2.06508,148600,4.20723,-75700,-2.14215
2026-06-30,100900,2.857455,6200,0.175405,94700,2.68205
2026-06-29,189300,5.56024,30000,0.87914,159300,4.6811
2026-06-26,138200,4.102655,22300,0.664915,115900,3.43774
2026-06-25,90900,2.695945,23900,0.70938,67000,1.986565
2026-06-24,77100,2.30714,46800,1.40191,30300,0.90523
2026-06-23,700,0.021525,255800,7.68802,-255100,-7.666495
2026-06-22,138600,4.260235,640000,19.471185,-501400,-15.21095
2026-06-19,107900,3.19409,424300,12.754355,-316400,-9.560265
2026-06-18,95600,2.83106,640800,19.17158,-545200,-16.34052
2026-06-17,465100,12.99809,463500,13.015695,1600,-0.017605
2026-06-16,85200,2.46189,435700,12.50395,-350500,-10.04206
2026-06-15,303100,8.65125,251252,7.228543,51848,1.422707
2026-06-12,152200,4.46493,341900,9.839045,-189700,-5.374115
2026-06-11,50500,1.474865,65600,1.913575,-15100,-0.43871
2026-06-10,61000,1.798765,258400,7.59949,-197400,-5.800725
2026-06-09,297900,8.76552,168000,4.9188,129900,3.84672
2026-06-08,214500,6.414775,347800,10.40058,-133300,-3.985805
2026-06-05,312900,9.814665,317300,9.921825,-4400,-0.10716
2026-06-04,201600,6.26552,93700,2.849785,107900,3.415735
2026-06-03,357200,10.74048,360400,10.90355,-3200,-0.16307
2026-06-02,279500,8.68378,160800,5.010525,118700,3.673255
2026-06-01,313000,9.815375,183300,5.73788,129700,4.077495
2026-05-29,264800,8.492585,386400,12.35203,-121600,-3.859445
2026-05-28,626800,20.076745,261300,8.430475,365500,11.64627
2026-05-27,640900,20.224595,377900,11.85933,263000,8.365265
2026-05-26,128800,4.1767,108400,3.539665,20400,0.637035
2026-05-25,211200,6.90988,227000,7.404545,-15800,-0.494665
2026-05-22,537200,17.064115,377000,11.97551,160200,5.088605
2026-05-21,624100,20.634335,129000,4.254555,495100,16.37978
2026-05-20,424800,14.209295,476700,15.957265,-51900,-1.74797
2026-05-19,822400,27.43704,704600,23.33351,117800,4.10353
2026-05-18,284600,9.391385,271300,9.007305,13300,0.38408
2026-05-15,434000,14.602535,453700,15.33057,-19700,-0.728035
2026-05-14,724500,21.86543,3043340,18.10556,-2318840,3.75987
2026-05-13,723200,24.35487,890800,29.791255,-167600,-5.436385
2026-05-12,826400,28.561415,802500,27.91163,23900,0.649785
2026-05-11,414800,15.028085,828600,29.46491,-413800,-14.436825
2026-05-08,384000,13.799155,346600,12.422355,37400,1.3768
2026-05-07,781500,28.284825,518800,18.978405,262700,9.30642
2026-05-06,696000,25.181875,684000,24.472885,12000,0.70899
2026-05-05,1054800,36.7517,698800,24.120925,356000,12.630775
