t,open,high,low,close,volume,date_vn
1709510400,40.533,41.213,39.701,40.457,2330400,2024-03-04
1709596800,43.726,44.462,43.236,44.462,1200400,2024-03-05
1709683200,44.135,44.789,43.726,44.462,1585300,2024-03-06
1709769600,44.462,44.462,43.481,43.563,2125200,2024-03-07
1709856000,43.644,43.644,40.539,41.765,2740700,2024-03-08
1710115200,42.337,42.827,41.274,41.274,1478700,2024-03-11
1710201600,41.356,42.582,41.274,42.5,1210100,2024-03-12
1710288000,42.664,42.99,42.337,42.99,1398100,2024-03-13
1710374400,43.726,43.726,42.01,42.255,1482400,2024-03-14
1710460800,42.173,43.154,41.683,42.664,1433700,2024-03-15
1710720000,42.5,43.154,40.784,42.5,1481000,2024-03-18
1710806400,42.582,42.582,41.683,42.173,765300,2024-03-19
1710892800,42.173,43.399,41.274,43.317,3132600,2024-03-20
1710979200,43.481,43.644,43.154,43.317,1857100,2024-03-21
1711065600,43.563,46.341,43.563,44.298,4361200,2024-03-22
1711324800,44.298,45.361,43.072,43.317,1262200,2024-03-25
1711411200,43.317,44.053,43.317,43.317,1409500,2024-03-26
1711497600,43.563,43.563,42.909,42.909,1607900,2024-03-27
1711584000,43.481,44.053,42.909,42.99,1358700,2024-03-28
1711670400,43.481,43.481,42.5,42.582,1788300,2024-03-29
1711929600,42.664,43.072,42.255,42.582,1362900,2024-04-01
1712016000,42.418,42.827,42.091,42.418,1576300,2024-04-02
1712102400,42.5,42.745,41.683,41.683,1496500,2024-04-03
1712188800,42.337,42.337,41.683,41.683,1093500,2024-04-04
1712275200,41.601,41.601,41.029,41.029,1654900,2024-04-05
1712534400,41.029,42.173,40.865,41.519,904800,2024-04-08
1712620800,41.765,43.072,41.519,43.072,1751000,2024-04-09
1712707200,43.154,43.154,42.418,42.5,1193200,2024-04-10
1712793600,42.091,43.644,41.928,43.317,2276400,2024-04-11
1712880000,43.317,44.543,43.154,43.644,3374100,2024-04-12
1713139200,43.563,44.543,40.62,40.62,2541500,2024-04-15
1713225600,40.62,41.846,40.416,41.111,2349900,2024-04-16
1713312000,41.601,41.683,39.231,39.313,1973200,2024-04-17
1713484800,39.149,40.457,38.495,39.517,2170000,2024-04-19
1713744000,39.885,40.947,39.885,40.947,1298900,2024-04-22
1713830400,40.212,41.274,39.64,40.375,2273300,2024-04-23
1713916800,40.416,41.192,40.334,40.865,1416800,2024-04-24
1714003200,40.661,41.111,40.293,40.539,1053600,2024-04-25
