t,open,high,low,close,volume,date_vn
1710115200,11.537,11.597,11.359,11.418,4053764,2024-03-11
1710201600,11.547,11.608,11.367,11.367,5846788,2024-03-12
1710288000,11.427,11.608,11.367,11.608,5973135,2024-03-13
1710374400,11.608,11.788,11.487,11.668,8186911,2024-03-14
1710460800,11.728,11.788,11.487,11.668,5265234,2024-03-15
1710720000,11.668,11.728,11.066,11.307,9552625,2024-03-18
1710806400,11.367,11.427,11.247,11.427,4397243,2024-03-19
1710892800,11.487,11.547,11.307,11.547,4702702,2024-03-20
1710979200,11.547,11.608,11.427,11.547,4757134,2024-03-21
1711065600,11.608,11.608,11.427,11.608,6758256,2024-03-22
1711324800,11.608,11.788,11.427,11.547,6291374,2024-03-25
1711411200,11.547,11.668,11.487,11.668,4406087,2024-03-26
1711497600,11.668,11.788,11.547,11.668,4566904,2024-03-27
1711584000,11.668,11.668,11.487,11.668,3693745,2024-03-28
1711670400,11.547,11.728,11.427,11.608,4767428,2024-03-29
1711929600,11.668,11.728,11.487,11.608,4873828,2024-04-01
1712016000,11.608,11.848,11.487,11.848,10264049,2024-04-02
1712102400,11.848,12.149,11.788,11.908,13637359,2024-04-03
1712188800,11.848,11.968,11.668,11.668,8100669,2024-04-04
1712275200,11.668,12.269,11.608,11.968,23948866,2024-04-05
1712534400,11.968,12.029,11.848,11.908,6594846,2024-04-08
1712620800,11.908,12.029,11.848,11.968,7991839,2024-04-09
1712707200,11.968,11.968,11.668,11.728,7411512,2024-04-10
1712793600,11.728,11.848,11.608,11.848,5179154,2024-04-11
1712880000,11.908,11.908,11.668,11.848,4704334,2024-04-12
1713139200,11.848,12.149,11.367,11.367,17183894,2024-04-15
1713225600,11.307,11.547,11.126,11.547,6978942,2024-04-16
1713312000,11.427,11.487,11.066,11.187,7504035,2024-04-17
1713484800,11.187,11.367,10.826,10.826,9489848,2024-04-19
1713744000,10.886,11.066,10.826,10.946,5164495,2024-04-22
1713830400,10.946,11.126,10.766,10.886,3398734,2024-04-23
1713916800,10.886,11.066,10.826,11.006,3829875,2024-04-24
1714003200,11.066,11.066,10.766,10.946,4492681,2024-04-25
1714089600,10.826,10.946,10.766,10.886,2648207,2024-04-26
1714608000,10.826,10.886,10.705,10.886,2829453,2024-05-02
1714694400,10.886,11.006,10.826,10.946,4107518,2024-05-03
1714953600,10.946,11.367,10.946,11.307,9202610,2024-05-06
1715040000,11.307,11.487,11.247,11.367,6108819,2024-05-07
1715126400,11.427,11.728,11.247,11.608,7565014,2024-05-08
1715212800,11.608,11.668,11.427,11.487,4065217,2024-05-09
1715299200,11.487,11.547,11.247,11.427,4968859,2024-05-10
1715558400,11.427,11.487,11.247,11.307,3653797,2024-05-13
1715644800,11.307,11.547,11.247,11.427,3394746,2024-05-14
1715731200,11.427,11.487,11.367,11.427,2929128,2024-05-15
1715817600,11.487,11.848,11.427,11.728,11631395,2024-05-16
1715904000,11.728,11.848,11.728,11.788,6803393,2024-05-17
1716163200,11.848,12.149,11.788,11.968,8481325,2024-05-20
1716249600,11.968,12.029,11.788,12.029,6688138,2024-05-21
1716336000,11.968,13.231,11.968,12.991,28921943,2024-05-22
1716422400,12.991,13.833,12.931,13.532,18968021,2024-05-23
1716508800,13.652,14.073,13.231,13.592,23007794,2024-05-24
1716768000,13.592,13.833,13.292,13.592,8218337,2024-05-27
1716854400,13.592,14.073,13.592,14.013,11742399,2024-05-28
1716940800,14.073,14.494,13.833,13.893,14753508,2024-05-29
1717027200,13.893,14.013,13.412,13.833,15809593,2024-05-30
1717113600,13.773,13.833,13.532,13.713,5052769,2024-05-31
1717372800,13.713,14.073,13.713,13.893,7137857,2024-06-03
1717459200,13.953,14.314,13.713,14.013,12937499,2024-06-04
1717545600,14.013,14.194,13.773,14.013,9316033,2024-06-05
1717632000,14.013,14.615,13.953,14.254,14451743,2024-06-06
1717718400,14.254,14.494,14.073,14.254,6486388,2024-06-07
1717977600,14.314,14.434,14.013,14.073,5943765,2024-06-10
1718064000,14.194,14.254,13.773,13.953,10520205,2024-06-11
1718150400,13.833,14.013,13.713,13.953,8481873,2024-06-12
1718236800,14.073,14.374,13.833,13.953,6046291,2024-06-13
