t,open,high,low,close,volume,date_vn
1710115200,23.303,23.472,22.898,23.066,7842600,2024-03-11
1710201600,23.32,23.731,23.285,23.662,6760600,2024-03-12
1710288000,23.731,24.108,23.457,24.108,6141800,2024-03-13
1710374400,24.143,24.143,23.457,23.628,7010100,2024-03-14
1710460800,23.594,24.28,23.285,23.834,9586500,2024-03-15
1710720000,23.834,24.005,22.188,22.839,11387200,2024-03-18
1710806400,22.908,23.182,22.599,22.839,7149600,2024-03-19
1710892800,22.771,23.662,22.634,23.56,9484900,2024-03-20
1710979200,23.731,23.937,23.354,23.937,9087700,2024-03-21
1711065600,24.074,24.966,24.005,24.486,15958000,2024-03-22
1711324800,24.348,24.486,23.662,23.8,9577000,2024-03-25
1711411200,23.834,24.28,23.765,24.143,3801300,2024-03-26
1711497600,24.005,24.348,23.868,24.348,5066600,2024-03-27
1711584000,24.623,24.623,24.211,24.52,7031500,2024-03-28
1711670400,24.52,24.52,24.108,24.383,4490100,2024-03-29
1711929600,24.28,24.28,23.834,24.005,7918200,2024-04-01
1712016000,23.662,24.143,23.388,24.005,6979000,2024-04-02
1712102400,23.937,24.005,23.251,23.354,9109200,2024-04-03
1712188800,23.457,23.525,22.977,23.011,7104500,2024-04-04
1712275200,22.771,23.045,22.702,22.771,9834200,2024-04-05
1712534400,22.839,23.491,22.599,22.977,12007900,2024-04-08
1712620800,23.251,23.491,23.011,23.491,5238500,2024-04-09
1712707200,23.56,23.56,23.079,23.079,4301500,2024-04-10
1712793600,22.839,23.114,22.805,23.114,4179700,2024-04-11
1712880000,23.182,24.726,23.079,24.623,23775200,2024-04-12
1713139200,24.554,24.897,22.908,22.942,29292700,2024-04-15
1713225600,23.251,23.354,22.496,23.354,15414300,2024-04-16
1713312000,23.491,23.491,22.394,22.428,19095700,2024-04-17
1713484800,22.016,22.462,21.433,21.673,13040500,2024-04-19
1713744000,21.982,22.222,21.742,22.154,7768100,2024-04-22
1713830400,22.119,22.291,21.365,21.605,10689200,2024-04-23
1713916800,21.948,22.599,21.742,22.599,9012800,2024-04-24
1714003200,22.531,22.634,22.119,22.634,4863800,2024-04-25
1714089600,22.325,22.737,22.051,22.496,8972900,2024-04-26
1714608000,22.496,22.496,21.948,22.188,6361000,2024-05-02
