t,open,high,low,close,volume,date_vn
1710201600,66.642,67.242,66.556,66.728,1174600,2024-03-12
1710288000,67.156,67.841,66.813,67.67,1230900,2024-03-13
1710374400,68.27,69.726,68.013,69.383,3837000,2024-03-14
1710460800,69.64,71.011,69.126,70.497,2398900,2024-03-15
1710720000,70.497,71.011,68.441,68.698,2494200,2024-03-18
1710806400,69.383,69.383,68.27,68.27,950400,2024-03-19
1710892800,68.527,69.555,68.184,69.383,1462300,2024-03-20
1710979200,70.154,70.154,68.955,69.383,938700,2024-03-21
1711065600,69.383,69.812,68.869,68.955,1235000,2024-03-22
1711324800,68.955,69.726,68.612,68.869,972900,2024-03-25
1711411200,68.955,69.298,68.527,69.126,596500,2024-03-26
1711497600,69.555,69.983,68.612,68.784,847300,2024-03-27
1711584000,68.869,69.126,68.441,68.784,774800,2024-03-28
1711670400,69.041,69.555,68.698,68.698,616400,2024-03-29
1711929600,68.698,69.126,68.355,69.041,747700,2024-04-01
1712016000,68.869,70.754,68.441,70.668,1742200,2024-04-02
1712102400,70.668,71.439,70.068,70.068,1761700,2024-04-03
1712188800,70.24,70.582,69.469,69.812,751900,2024-04-04
1712275200,69.383,71.268,68.869,69.298,1384300,2024-04-05
1712534400,69.383,69.383,68.355,68.355,675700,2024-04-08
1712620800,68.527,68.955,68.098,68.441,623600,2024-04-09
1712707200,68.441,68.955,67.841,67.841,637900,2024-04-10
1712793600,67.584,67.927,67.327,67.499,645500,2024-04-11
1712880000,67.67,68.355,67.499,68.27,360000,2024-04-12
1713139200,68.441,69.041,63.558,65.1,1096500,2024-04-15
1713225600,65.272,65.871,64.244,65.1,1116000,2024-04-16
1713312000,65.272,65.529,64.329,64.329,650100,2024-04-17
1713484800,64.329,65.272,63.987,64.244,884100,2024-04-19
1713744000,64.415,64.758,64.158,64.244,820000,2024-04-22
1713830400,64.672,64.672,63.387,63.558,474500,2024-04-23
1713916800,64.244,64.244,63.644,63.901,852300,2024-04-24
1714003200,63.901,64.158,63.387,63.387,788500,2024-04-25
1714089600,63.301,63.558,62.959,62.959,774000,2024-04-26
1714608000,62.531,63.644,62.531,63.301,692000,2024-05-02
1714694400,63.473,63.901,63.301,63.558,514700,2024-05-03
1714953600,63.815,64.415,63.815,64.072,890300,2024-05-06
1715040000,64.586,65.357,63.987,65.357,1496500,2024-05-07
1715126400,65.443,66.471,64.415,66.3,1383100,2024-05-08
1715212800,66.385,66.385,65.186,65.186,772400,2024-05-09
1715299200,65.357,65.786,64.158,64.672,650900,2024-05-10
1715558400,65.015,65.186,64.244,64.415,630700,2024-05-13
1715644800,64.672,65.015,64.158,64.415,785300,2024-05-14
1715731200,64.415,64.929,64.158,64.672,883300,2024-05-15
1715817600,65.1,65.529,65.015,65.015,1116700,2024-05-16
1715904000,65.272,65.272,64.672,64.843,965100,2024-05-17
1716163200,65.186,65.786,65.1,65.1,1110600,2024-05-20
