t,open,high,low,close,volume,date_vn
1708300800,26.326,27.547,26.179,26.179,5352800,2024-02-19
1708387200,26.277,27.547,25.739,27.547,5439800,2024-02-20
1708473600,27.595,27.84,27.058,27.498,3976300,2024-02-21
1708560000,27.449,27.644,27.107,27.302,2740800,2024-02-22
1708646400,27.449,27.644,26.179,26.912,5825900,2024-02-23
1708905600,26.863,28.426,26.667,28.133,7028600,2024-02-26
1708992000,28.23,28.719,27.986,28.23,3318500,2024-02-27
1709078400,28.23,29.207,27.791,28.23,5552600,2024-02-28
1709164800,28.23,28.23,27.498,27.937,4998300,2024-02-29
1709251200,27.937,28.572,27.351,28.475,4188200,2024-03-01
1709510400,28.963,30.038,28.768,29.11,6026300,2024-03-04
1709596800,28.816,29.256,28.67,29.012,2287200,2024-03-05
1709683200,28.865,28.963,28.133,28.23,3513200,2024-03-06
1709769600,28.182,28.523,27.986,28.426,3414800,2024-03-07
1709856000,28.914,29.11,27.84,28.328,5529700,2024-03-08
1710115200,28.328,29.647,28.328,28.865,5766000,2024-03-11
1710201600,28.865,30.868,28.816,30.868,9490400,2024-03-12
1710288000,31.454,32.235,31.063,31.552,3675000,2024-03-13
1710374400,31.552,32.382,31.063,32.04,4827500,2024-03-14
1710460800,32.04,33.798,31.649,33.798,5677900,2024-03-15
1710720000,33.798,34.971,31.454,31.796,13916500,2024-03-18
1710806400,31.991,33.115,31.161,31.796,5437600,2024-03-19
1710892800,31.893,32.235,31.454,32.04,4024600,2024-03-20
1710979200,32.528,32.626,31.845,32.48,4064500,2024-03-21
1711065600,32.626,32.919,31.991,32.48,5647400,2024-03-22
1711324800,32.04,32.431,30.868,31.161,6119700,2024-03-25
1711411200,31.161,33.261,31.112,33.115,5040000,2024-03-26
1711497600,33.115,33.115,32.235,32.626,2580500,2024-03-27
1711584000,32.773,32.821,32.235,32.284,3194600,2024-03-28
1711670400,32.235,32.919,32.138,32.382,3228200,2024-03-29
1711929600,32.382,32.577,31.893,32.187,3763000,2024-04-01
1712016000,32.04,34.433,31.991,34.433,10181700,2024-04-02
1712102400,34.238,34.384,33.456,33.456,3897300,2024-04-03
1712188800,33.359,33.603,32.333,32.333,5221500,2024-04-04
1712275200,32.04,32.235,30.77,30.77,7351500,2024-04-05
1712534400,30.868,31.649,30.575,30.966,3618000,2024-04-08
1712620800,31.259,31.6,30.868,31.552,2029700,2024-04-09
1712707200,31.698,31.747,30.868,30.917,2554900,2024-04-10
1712793600,30.477,31.552,30.428,31.161,2722100,2024-04-11
1712880000,31.21,31.503,30.917,31.259,2989100,2024-04-12
1713139200,31.259,32.48,29.11,29.11,7398600,2024-04-15
1713225600,29.305,29.647,28.621,29.647,5269100,2024-04-16
1713312000,29.989,29.989,27.986,27.986,4711100,2024-04-17
1713484800,26.863,28.719,26.863,27.449,5880600,2024-04-19
1713744000,28.23,28.377,27.547,28.035,2522300,2024-04-22
1713830400,27.986,28.23,26.423,26.961,4113200,2024-04-23
1713916800,27.449,28.816,27.205,28.816,6235900,2024-04-24
1714003200,29.012,29.305,28.475,28.719,3440300,2024-04-25
1714089600,28.377,29.744,28.377,29.305,3970200,2024-04-26
1714608000,29.305,29.647,28.572,29.305,3824600,2024-05-02
1714694400,29.598,29.598,28.67,28.719,3957900,2024-05-03
1714953600,29.158,30.526,28.816,30.477,6482900,2024-05-06
1715040000,30.575,31.014,30.086,30.721,3851600,2024-05-07
1715126400,30.282,31.405,29.793,30.966,5303200,2024-05-08
1715212800,31.063,31.942,30.868,31.014,5780200,2024-05-09
1715299200,31.063,31.161,30.477,30.917,3561300,2024-05-10
1715558400,31.063,31.503,30.575,31.259,3373900,2024-05-13
1715644800,31.454,32.089,31.356,31.747,4214600,2024-05-14
1715731200,32.089,32.089,31.552,31.991,3872800,2024-05-15
1715817600,32.235,32.626,31.747,31.796,4267900,2024-05-16
1715904000,31.649,33.359,31.552,32.577,6321300,2024-05-17
