t,open,high,low,close,volume,date_vn
1708041600,14.565,14.596,14.318,14.38,6111700,2024-02-16
1708300800,14.38,14.411,14.164,14.411,6618400,2024-02-19
1708387200,14.38,14.596,14.195,14.565,6840900,2024-02-20
1708473600,14.535,14.658,14.318,14.504,6161800,2024-02-21
1708560000,14.504,14.504,14.133,14.133,7166400,2024-02-22
1708646400,14.133,14.226,13.886,13.886,7478000,2024-02-23
1708905600,13.886,14.133,13.856,14.01,5605100,2024-02-26
1708992000,14.01,14.195,13.917,14.01,6314600,2024-02-27
1709078400,14.01,14.318,14.01,14.318,6189000,2024-02-28
1709164800,14.318,14.442,14.288,14.38,6024000,2024-02-29
1709251200,14.38,14.411,14.164,14.38,6105500,2024-03-01
1709510400,14.38,14.411,14.257,14.38,5918000,2024-03-04
1709596800,14.38,14.504,14.195,14.504,6840800,2024-03-05
1709683200,14.411,14.504,14.164,14.473,4532500,2024-03-06
1709769600,14.257,14.442,14.257,14.288,5641400,2024-03-07
1709856000,14.288,14.288,14.041,14.195,6184400,2024-03-08
1710115200,14.195,14.288,14.041,14.257,6432300,2024-03-11
1710201600,14.226,14.226,13.856,14.164,6583000,2024-03-12
1710288000,14.164,14.318,13.948,14.257,6348800,2024-03-13
1710374400,14.288,14.288,14.041,14.164,5685700,2024-03-14
1710460800,14.072,14.257,13.979,14.195,5970800,2024-03-15
1710720000,14.195,14.226,13.763,13.763,6625200,2024-03-18
1710806400,13.763,13.794,13.3,13.794,8886200,2024-03-19
1710892800,13.825,14.072,13.454,13.948,6221500,2024-03-20
1710979200,13.979,14.751,13.917,14.751,11192400,2024-03-21
1711065600,14.751,14.781,14.596,14.689,6529100,2024-03-22
1711324800,14.689,14.689,14.411,14.535,6285100,2024-03-25
1711411200,14.504,14.936,14.442,14.936,7234100,2024-03-26
1711497600,14.997,15.121,14.781,14.905,5709200,2024-03-27
1711584000,14.812,14.967,14.812,14.967,5404000,2024-03-28
1711670400,14.997,14.997,14.689,14.874,6435200,2024-03-29
1711929600,14.874,14.905,14.596,14.812,6006100,2024-04-01
1712016000,14.627,14.781,14.504,14.751,5775100,2024-04-02
1712102400,14.72,14.751,14.411,14.442,6572300,2024-04-03
1712188800,14.442,14.689,14.411,14.411,6108000,2024-04-04
1712275200,14.38,14.627,14.318,14.411,6316400,2024-04-05
1712534400,14.411,14.812,14.38,14.751,8077300,2024-04-08
1712620800,14.751,14.843,14.627,14.781,5817400,2024-04-09
1712707200,14.812,14.843,14.565,14.781,6265700,2024-04-10
1712793600,14.627,14.812,14.504,14.812,5637400,2024-04-11
1712880000,14.812,15.059,14.596,14.997,8521700,2024-04-12
1713139200,14.967,15.028,14.38,14.504,9741700,2024-04-15
1713225600,14.504,14.596,14.195,14.504,7196500,2024-04-16
1713312000,14.535,14.535,13.825,14.195,8715000,2024-04-17
1713484800,14.01,14.041,13.516,13.732,9469500,2024-04-19
1713744000,13.763,13.979,13.701,13.825,8545200,2024-04-22
1713830400,13.701,13.856,13.331,13.701,8711200,2024-04-23
1713916800,13.763,13.948,13.701,13.825,9415200,2024-04-24
1714003200,13.825,13.979,13.732,13.886,7367500,2024-04-25
1714089600,13.886,14.565,13.794,14.565,9976900,2024-04-26
1714608000,14.565,14.596,14.411,14.596,6123700,2024-05-02
1714694400,14.596,15.09,14.596,15.09,11392400,2024-05-03
1714953600,15.121,15.121,14.72,14.997,9083800,2024-05-06
1715040000,15.059,15.059,14.72,14.997,6996600,2024-05-07
1715126400,14.967,14.997,14.72,14.874,6259500,2024-05-08
1715212800,14.874,14.936,14.535,14.627,7124300,2024-05-09
1715299200,14.658,14.689,14.442,14.627,6753500,2024-05-10
1715558400,14.627,14.658,14.349,14.349,6528400,2024-05-13
1715644800,14.38,14.627,14.38,14.38,6836900,2024-05-14
1715731200,14.411,14.565,14.38,14.504,6983600,2024-05-15
1715817600,14.565,14.967,14.535,14.936,9088200,2024-05-16
1715904000,14.967,15.152,14.843,14.997,8257100,2024-05-17
1716163200,15.028,15.491,15.028,15.337,10556100,2024-05-20
1716249600,15.337,15.368,15.059,15.244,6284700,2024-05-21
1716336000,15.275,15.275,15.028,15.028,5713600,2024-05-22
1716422400,15.059,15.244,14.812,15.244,5823600,2024-05-23
1716508800,15.121,15.275,14.812,14.936,7296000,2024-05-24
1716768000,14.936,14.997,14.627,14.689,6142300,2024-05-27
1716854400,14.751,14.905,14.535,14.905,7228400,2024-05-28
1716940800,14.905,14.905,14.473,14.473,11282600,2024-05-29
1717027200,14.38,14.411,14.072,14.257,8706000,2024-05-30
1717113600,14.288,14.38,14.257,14.349,4346800,2024-05-31
1717372800,14.411,14.812,14.38,14.812,6683600,2024-06-03
1717459200,14.874,14.905,14.689,14.781,4858200,2024-06-04
1717545600,14.812,14.905,14.627,14.627,5265400,2024-06-05
1717632000,14.627,14.781,14.504,14.627,5849100,2024-06-06
1717718400,14.658,14.72,14.535,14.627,4588000,2024-06-07
1717977600,14.658,14.751,14.596,14.751,5190200,2024-06-10
1718064000,14.781,14.812,14.504,14.535,6377300,2024-06-11
1718150400,14.565,14.812,14.442,14.812,6457000,2024-06-12
1718236800,14.936,14.967,14.751,14.874,8022300,2024-06-13
1718323200,14.936,14.967,14.781,14.781,7372600,2024-06-14
1718582400,14.781,14.812,14.38,14.535,8354900,2024-06-17
1718668800,14.565,14.658,14.504,14.627,6053600,2024-06-18
1718755200,14.658,14.658,14.38,14.627,6746800,2024-06-19
1718841600,14.596,14.658,14.38,14.565,7769900,2024-06-20
1718928000,14.565,14.565,14.288,14.288,7157200,2024-06-21
1719187200,14.288,14.349,13.794,13.794,9514100,2024-06-24
1719273600,13.794,14.01,13.763,13.948,10135900,2024-06-25
1719360000,13.948,14.01,13.886,14.01,6524500,2024-06-26
1719446400,14.01,14.349,13.886,14.164,8826400,2024-06-27
1719532800,14.164,14.195,14.01,14.195,7278900,2024-06-28
1719792000,14.195,14.288,14.072,14.257,5484400,2024-07-01
1719878400,14.288,14.936,14.288,14.874,16713500,2024-07-02
1719964800,14.936,15.121,14.936,15.121,11840200,2024-07-03
1720051200,15.183,15.183,14.997,15.152,8139900,2024-07-04
1720137600,15.183,15.183,14.936,15.059,8580700,2024-07-05
1720396800,15.121,15.121,14.936,15.059,7293100,2024-07-08
1720483200,14.997,15.615,14.997,15.584,14658800,2024-07-09
1720569600,15.584,15.676,15.306,15.399,8233300,2024-07-10
