t,open,high,low,close,volume,date_vn
1709856000,20.965,20.999,20.458,20.492,47322200,2024-03-08
1710115200,20.492,20.695,20.154,20.221,30415100,2024-03-11
1710201600,20.187,20.559,20.154,20.424,30135400,2024-03-12
1710288000,20.424,20.864,20.356,20.83,29367000,2024-03-13
1710374400,20.898,20.898,20.458,20.526,30774000,2024-03-14
1710460800,20.526,20.762,20.289,20.356,35823700,2024-03-15
1710720000,20.39,20.424,19.613,20.018,50100700,2024-03-18
1710806400,19.951,20.695,19.883,20.154,26973500,2024-03-19
1710892800,20.187,20.356,20.12,20.289,12971200,2024-03-20
1710979200,20.526,20.661,20.356,20.458,19972600,2024-03-21
1711065600,20.526,20.762,20.424,20.661,37384100,2024-03-22
1711324800,20.661,20.931,20.323,20.424,21350200,2024-03-25
1711411200,20.424,20.661,20.356,20.661,11976300,2024-03-26
1711497600,20.898,21.033,20.695,20.695,24329500,2024-03-27
1711584000,20.864,20.864,20.593,20.661,19113700,2024-03-28
1711670400,20.695,20.695,20.458,20.458,14821800,2024-03-29
1711929600,20.424,20.526,20.255,20.356,20759400,2024-04-01
1712016000,20.221,20.559,20.154,20.559,26298400,2024-04-02
1712102400,20.526,20.593,20.255,20.255,21489800,2024-04-03
1712188800,20.255,20.323,19.985,20.018,26371300,2024-04-04
1712275200,19.917,20.12,19.782,19.917,24018800,2024-04-05
1712534400,19.917,20.154,19.815,20.018,16708800,2024-04-08
1712620800,20.018,20.221,19.985,20.221,9838000,2024-04-09
1712707200,20.255,20.356,20.052,20.052,11134400,2024-04-10
1712793600,19.917,20.39,19.917,20.221,19246200,2024-04-11
1712880000,20.289,20.356,20.187,20.255,13916900,2024-04-12
1713139200,20.187,20.255,19.004,19.274,31107300,2024-04-15
1713225600,19.274,19.308,18.835,19.173,33424200,2024-04-16
1713312000,19.274,19.308,18.869,18.936,15575000,2024-04-17
1713484800,18.801,19.173,18.598,18.801,26138500,2024-04-19
1713744000,19.072,19.072,18.835,18.936,12390900,2024-04-22
1713830400,18.936,18.97,18.564,18.666,18359900,2024-04-23
1713916800,18.869,19.579,18.767,19.477,23052000,2024-04-24
1714003200,19.41,19.41,19.139,19.308,11236400,2024-04-25
1714089600,19.139,19.308,18.97,19.207,18304000,2024-04-26
1714608000,19.207,19.207,18.97,19.173,7322100,2024-05-02
1714694400,19.173,19.68,19.173,19.376,16714800,2024-05-03
1714953600,19.511,19.849,19.477,19.815,27108200,2024-05-06
1715040000,19.883,20.424,19.782,20.39,30139200,2024-05-07
1715126400,20.39,20.965,20.12,20.762,34289800,2024-05-08
1715212800,20.898,20.898,20.323,20.593,19422700,2024-05-09
1715299200,20.695,20.728,20.255,20.593,18981900,2024-05-10
1715558400,20.661,20.728,20.356,20.424,13171500,2024-05-13
1715644800,20.559,20.762,20.356,20.424,15664000,2024-05-14
1715731200,20.458,21.202,20.458,21.1,45110300,2024-05-15
1715817600,21.371,21.54,21.269,21.371,27403900,2024-05-16
1715904000,21.371,21.371,21.067,21.371,28640900,2024-05-17
1716163200,21.405,21.743,21.371,21.641,46490000,2024-05-20
1716249600,21.641,21.641,21.269,21.54,20863500,2024-05-21
1716336000,21.54,21.608,21.067,21.168,39782700,2024-05-22
1716422400,21.462,21.946,21.276,21.946,37870200,2024-05-23
1716508800,21.797,21.946,21.202,21.499,30151700,2024-05-24
1716768000,21.499,21.797,21.313,21.499,15759100,2024-05-27
1716854400,21.574,21.722,21.425,21.685,17564600,2024-05-28
1716940800,21.648,21.76,21.276,21.276,21599400,2024-05-29
1717027200,21.202,21.239,20.83,21.016,27257700,2024-05-30
1717113600,21.127,21.425,20.867,21.276,17736800,2024-05-31
1717372800,21.425,21.648,21.425,21.574,20634500,2024-06-03
1717459200,21.574,22.169,21.574,21.797,39654300,2024-06-04
1717545600,21.797,21.946,21.648,21.76,19195800,2024-06-05
