t,open,high,low,close,volume,date_vn
1708387200,69.7,69.7,68.2,68.8,3375900,2024-02-20
1708473600,68.8,68.9,67.7,68.0,3336800,2024-02-21
1708560000,68.1,69.3,67.8,68.1,4149500,2024-02-22
1708646400,68.3,68.9,66.6,66.7,4792400,2024-02-23
1708905600,66.7,67.4,66.1,66.7,2921700,2024-02-26
1708992000,66.7,68.2,66.7,67.6,3037600,2024-02-27
1709078400,68.0,68.4,67.7,68.3,3481000,2024-02-28
1709164800,69.4,71.5,69.1,70.4,8297600,2024-02-29
1709251200,70.4,71.2,70.0,70.5,3757800,2024-03-01
1709510400,70.7,71.1,69.9,70.8,5315800,2024-03-04
1709596800,71.2,75.7,70.9,75.7,12999600,2024-03-05
1709683200,76.8,77.8,75.7,76.9,6843400,2024-03-06
1709769600,77.0,80.8,76.4,80.8,8721100,2024-03-07
1709856000,81.0,81.0,78.0,78.5,7454600,2024-03-08
1710115200,78.5,81.1,76.6,77.5,7103800,2024-03-11
1710201600,77.5,79.4,77.2,78.7,5975700,2024-03-12
1710288000,79.0,81.0,78.9,80.9,7035500,2024-03-13
1710374400,81.5,81.6,78.7,78.9,6416700,2024-03-14
1710460800,78.3,79.2,76.8,78.5,6908900,2024-03-15
1710720000,77.8,78.9,73.9,77.9,7516900,2024-03-18
1710806400,77.9,79.4,77.2,77.4,3129300,2024-03-19
1710892800,77.4,77.8,76.5,77.3,4238700,2024-03-20
1710979200,78.5,78.8,77.6,78.0,4982600,2024-03-21
1711065600,79.3,80.9,78.3,78.5,6018700,2024-03-22
1711324800,78.0,78.5,75.4,75.5,8724000,2024-03-25
1711411200,75.9,76.2,74.0,74.0,6370600,2024-03-26
1711497600,75.0,76.1,74.1,75.4,6073600,2024-03-27
1711584000,76.9,77.7,75.7,76.0,6237000,2024-03-28
1711670400,76.5,76.5,74.2,74.2,8324900,2024-03-29
1711929600,74.4,74.9,72.6,73.4,7701100,2024-04-01
1712016000,73.4,75.0,73.3,74.5,3738600,2024-04-02
1712102400,74.5,75.4,73.2,73.4,4986800,2024-04-03
1712188800,73.1,74.5,73.0,73.4,3739000,2024-04-04
1712275200,72.8,73.2,71.9,71.9,5609400,2024-04-05
1712534400,72.1,72.8,71.7,71.9,2804400,2024-04-08
1712620800,72.4,73.5,72.2,73.5,4123400,2024-04-09
1712707200,73.5,73.9,72.5,72.5,3030600,2024-04-10
1712793600,71.9,72.2,71.5,71.8,3576900,2024-04-11
1712880000,71.8,72.6,71.7,71.9,3572900,2024-04-12
1713139200,71.9,71.9,66.9,66.9,10945300,2024-04-15
1713225600,66.9,67.4,64.6,66.1,8049800,2024-04-16
1713312000,66.4,68.9,65.5,66.8,7216500,2024-04-17
1713484800,66.0,67.9,65.9,66.5,4767700,2024-04-19
1713744000,67.3,67.5,66.7,66.9,2931700,2024-04-22
1713830400,67.7,67.7,64.5,64.7,5047400,2024-04-23
1713916800,65.5,67.5,65.2,66.9,3276700,2024-04-24
1714003200,67.2,68.5,66.2,68.1,6074900,2024-04-25
1714089600,67.5,68.3,67.1,67.2,3593000,2024-04-26
1714608000,67.8,68.0,67.1,68.0,2279400,2024-05-02
1714694400,68.6,70.9,68.1,69.8,7049300,2024-05-03
1714953600,70.7,71.3,70.1,71.1,5105300,2024-05-06
1715040000,71.4,71.5,70.5,71.2,3244000,2024-05-07
