t,open,high,low,close,volume,date_vn
1710115200,47.281,47.675,46.493,46.73,2346300,2024-03-11
1710201600,49.946,50.536,49.694,49.778,1290300,2024-03-12
1710288000,49.946,50.199,49.357,50.199,1485900,2024-03-13
1710374400,50.452,50.536,49.441,49.441,1458700,2024-03-14
1710460800,49.441,49.525,48.346,48.851,2037000,2024-03-15
1710720000,48.936,49.357,47.251,47.756,1833100,2024-03-18
1710806400,48.262,48.346,47.672,47.925,654600,2024-03-19
1710892800,48.009,48.093,47.504,47.925,739800,2024-03-20
1710979200,48.346,48.514,48.093,48.178,738100,2024-03-21
1711065600,48.43,48.514,48.093,48.262,698100,2024-03-22
1711324800,48.262,48.599,47.841,48.009,1086200,2024-03-25
1711411200,48.009,48.178,47.672,47.925,910400,2024-03-26
1711497600,48.009,48.683,47.925,48.43,598300,2024-03-27
1711584000,48.43,48.43,47.925,48.178,1074300,2024-03-28
1711670400,48.346,48.346,47.756,47.756,618700,2024-03-29
1711929600,47.756,48.093,47.672,47.841,600200,2024-04-01
1712016000,47.925,47.925,47.42,47.504,1026300,2024-04-02
1712102400,47.504,47.756,47.167,47.167,1435600,2024-04-03
1712188800,47.335,47.672,47.335,47.588,991100,2024-04-04
1712275200,47.588,47.588,47.251,47.251,947600,2024-04-05
1712534400,47.335,47.335,46.577,46.577,1057800,2024-04-08
1712620800,46.661,46.746,46.24,46.325,1017800,2024-04-09
1712707200,46.577,46.746,46.409,46.577,522900,2024-04-10
1712793600,46.409,46.83,46.325,46.661,493900,2024-04-11
1712880000,46.746,47.42,46.661,47.167,957300,2024-04-12
1713139200,47.167,47.167,45.903,46.325,926600,2024-04-15
1713225600,46.325,46.325,44.64,46.156,1104300,2024-04-16
1713312000,46.156,46.24,45.482,45.482,364800,2024-04-17
1713484800,45.23,45.398,43.798,44.219,1184600,2024-04-19
1713744000,44.977,45.23,44.64,44.808,356700,2024-04-22
1713830400,45.061,45.145,44.05,44.64,373300,2024-04-23
1713916800,44.893,45.314,44.724,45.145,467200,2024-04-24
1714003200,45.145,46.746,45.145,45.819,1107400,2024-04-25
1714089600,45.819,46.577,45.567,45.819,705300,2024-04-26
1714608000,45.988,47.756,45.903,47.672,1580600,2024-05-02
1714694400,48.009,48.093,47.672,47.756,784800,2024-05-03
1714953600,47.756,48.43,47.588,48.009,884900,2024-05-06
1715040000,48.009,48.767,47.588,48.599,913700,2024-05-07
1715126400,48.514,50.536,48.009,49.609,2243700,2024-05-08
1715212800,49.609,49.694,48.43,48.514,1040100,2024-05-09
1715299200,48.599,48.936,48.262,48.514,784000,2024-05-10
1715558400,48.514,48.767,47.756,47.925,725700,2024-05-13
1715644800,48.009,48.43,47.925,48.093,479300,2024-05-14
1715731200,48.178,48.851,48.178,48.514,896300,2024-05-15
1715817600,48.599,48.936,48.43,48.43,769400,2024-05-16
1715904000,48.683,49.609,48.43,48.936,1434500,2024-05-17
1716163200,48.936,49.525,48.683,48.683,669100,2024-05-20
1716249600,48.683,49.525,48.43,48.851,1171200,2024-05-21
1716336000,49.104,49.357,48.43,48.43,927200,2024-05-22
1716422400,48.683,50.283,48.43,50.115,1912100,2024-05-23
1716508800,50.115,50.115,48.683,48.851,1322500,2024-05-24
1716768000,48.851,49.357,48.851,49.272,654000,2024-05-27
1716854400,49.441,51.378,49.188,51.378,2525000,2024-05-28
1716940800,51.378,51.631,50.789,50.957,1467500,2024-05-29
1717027200,50.199,50.536,49.104,49.946,1667200,2024-05-30
1717113600,49.946,49.946,49.104,49.104,1492400,2024-05-31
1717372800,49.694,50.62,49.441,50.031,1128600,2024-06-03
1717459200,50.283,51.968,50.115,51.715,2338200,2024-06-04
1717545600,52.22,55.253,52.052,55.253,2896100,2024-06-05
1717632000,56.011,57.695,54.916,55.168,2270100,2024-06-06
1717718400,55.253,58.453,55.253,57.19,2577800,2024-06-07
1717977600,57.779,57.779,56.348,57.021,2027900,2024-06-10
1718064000,57.021,57.442,56.179,56.937,1730800,2024-06-11
1718150400,56.937,56.937,55.926,56.432,1706900,2024-06-12
1718236800,56.684,56.684,55.168,55.253,1816900,2024-06-13
1718323200,54.579,54.831,52.726,53.4,3852700,2024-06-14
1718582400,53.4,54.242,52.726,53.568,1936900,2024-06-17
1718668800,53.736,53.905,53.231,53.568,739100,2024-06-18
1718755200,53.568,53.821,52.052,52.22,1464400,2024-06-19
1718841600,52.473,52.894,51.041,52.305,947800,2024-06-20
