t,open,high,low,close,volume,date_vn
1710201600,16.509,16.509,16.253,16.472,1474600,2024-03-12
1710288000,16.472,16.545,16.289,16.509,1415800,2024-03-13
1710374400,16.509,16.545,16.326,16.509,1497900,2024-03-14
1710460800,16.509,16.582,16.326,16.509,1549500,2024-03-15
1710720000,16.509,16.545,16.253,16.399,1390700,2024-03-18
1710806400,16.289,16.399,16.143,16.399,1463000,2024-03-19
1710892800,16.289,16.472,16.18,16.472,1570600,2024-03-20
1710979200,16.509,16.545,16.289,16.472,1327400,2024-03-21
1711065600,16.472,16.509,16.326,16.326,1353300,2024-03-22
1711324800,16.216,16.362,16.143,16.143,1428100,2024-03-25
1711411200,16.216,16.326,16.07,16.289,1385400,2024-03-26
1711497600,16.107,16.326,16.07,16.216,1430400,2024-03-27
1711584000,16.107,16.216,16.034,16.216,1341100,2024-03-28
1711670400,16.034,16.18,16.034,16.143,1373400,2024-03-29
1711929600,16.143,16.18,15.924,16.143,1403100,2024-04-01
1712016000,15.924,16.143,15.851,16.107,1350000,2024-04-02
1712102400,15.888,16.107,15.778,16.07,2067000,2024-04-03
1712188800,16.107,16.143,15.888,16.07,1371800,2024-04-04
1712275200,15.888,16.07,15.815,16.034,1408600,2024-04-05
1712534400,15.888,16.034,15.778,15.997,1447900,2024-04-08
1712620800,15.851,15.997,15.778,15.997,1600200,2024-04-09
1712707200,15.997,16.07,15.815,16.07,2010100,2024-04-10
1712793600,15.851,16.107,15.851,16.107,2017000,2024-04-11
1712880000,16.143,16.509,16.07,16.509,2563000,2024-04-12
1713139200,16.472,16.509,16.07,16.326,2154300,2024-04-15
1713225600,16.362,16.362,15.194,16.18,2586800,2024-04-16
1713312000,16.216,16.509,15.961,16.216,2151900,2024-04-17
1713484800,16.216,16.253,15.705,16.143,2113300,2024-04-19
1713744000,16.143,16.289,15.888,16.18,2197000,2024-04-22
1713830400,15.997,16.18,15.705,16.07,2202200,2024-04-23
1713916800,16.07,16.18,15.997,16.143,2019500,2024-04-24
1714003200,16.107,16.143,15.778,16.07,2171400,2024-04-25
1714089600,16.07,16.07,15.705,16.07,2234700,2024-04-26
1714608000,16.07,16.107,15.815,16.034,1786600,2024-05-02
1714694400,16.07,16.07,15.851,15.997,1906500,2024-05-03
1714953600,15.997,16.07,15.851,16.07,1884800,2024-05-06
1715040000,16.07,16.107,15.924,16.107,1926100,2024-05-07
1715126400,16.107,16.143,15.888,15.997,2727000,2024-05-08
1715212800,16.034,16.07,15.888,16.034,1979600,2024-05-09
1715299200,16.034,16.07,15.851,15.888,2040500,2024-05-10
1715558400,15.924,15.961,15.778,15.888,1855700,2024-05-13
1715644800,15.924,15.924,15.778,15.851,1292400,2024-05-14
1715731200,15.851,15.888,15.742,15.888,1498900,2024-05-15
1715817600,15.888,16.18,15.778,16.143,1895000,2024-05-16
1715904000,16.143,16.143,15.851,16.07,1717000,2024-05-17
1716163200,16.07,16.107,15.924,16.07,1771800,2024-05-20
1716249600,16.07,16.07,15.888,16.034,1643200,2024-05-21
1716336000,16.034,16.07,15.851,15.997,1707100,2024-05-22
1716422400,15.997,16.034,15.815,16.034,1793000,2024-05-23
1716508800,16.034,16.034,15.778,15.961,1869800,2024-05-24
1716768000,15.888,15.961,15.778,15.815,1599200,2024-05-27
1716854400,15.815,15.815,15.632,15.815,1794600,2024-05-28
