t,open,high,low,close,volume,date_vn
1708905600,18.599,19.2,18.599,19.062,9615100,2024-02-26
1708992000,19.154,19.409,18.969,19.409,8413100,2024-02-27
1709078400,19.455,19.594,19.223,19.524,7524100,2024-02-28
1709164800,19.64,19.64,19.131,19.524,9026500,2024-02-29
1709251200,19.293,19.362,19.085,19.362,9291100,2024-03-01
1709510400,19.316,19.524,19.131,19.362,8435000,2024-03-04
1709596800,19.339,19.524,19.154,19.524,6316800,2024-03-05
1709683200,19.455,20.126,19.339,19.779,11167400,2024-03-06
1709769600,19.825,20.033,19.617,19.709,7214000,2024-03-07
1709856000,19.64,19.709,18.969,18.969,20127300,2024-03-08
1710115200,18.923,19.062,18.46,18.691,11182600,2024-03-11
1710201600,18.668,19.108,18.553,19.062,8497100,2024-03-12
1710288000,19.062,19.432,18.946,19.432,7892700,2024-03-13
1710374400,19.478,19.478,19.085,19.154,6636800,2024-03-14
1710460800,19.085,19.27,18.691,19.154,7540800,2024-03-15
1710720000,19.062,19.062,18.229,18.553,11297200,2024-03-18
1710806400,18.599,18.691,18.321,18.645,5330900,2024-03-19
1710892800,18.691,19.64,18.529,19.57,16882000,2024-03-20
1710979200,19.709,20.866,19.709,20.866,16923300,2024-03-21
1711065600,21.051,21.051,20.38,20.773,10791500,2024-03-22
1711324800,21.097,21.467,20.426,20.727,10737400,2024-03-25
1711411200,20.727,21.375,20.588,21.259,7755900,2024-03-26
1711497600,21.375,21.375,20.866,21.074,4640100,2024-03-27
1711584000,22.531,22.531,22.069,22.208,30022800,2024-03-28
1711670400,22.184,22.277,21.999,21.999,6403800,2024-03-29
1711929600,21.999,22.069,21.676,21.953,8561000,2024-04-01
1712016000,22.023,22.208,21.745,22.046,13559100,2024-04-02
1712102400,21.93,22.184,21.652,21.652,8776700,2024-04-03
1712188800,21.514,21.629,21.259,21.282,10756900,2024-04-04
1712275200,21.051,21.236,20.889,20.912,12129600,2024-04-05
1712534400,20.82,21.213,20.773,21.051,9964400,2024-04-08
1712620800,21.051,21.19,20.912,21.19,5384200,2024-04-09
1712707200,21.282,21.652,21.097,21.12,7754300,2024-04-10
1712793600,20.843,21.12,20.796,20.866,11371200,2024-04-11
1712880000,21.028,21.953,20.866,21.93,13456300,2024-04-12
1713139200,21.837,21.953,20.449,20.542,13735800,2024-04-15
1713225600,20.796,21.051,20.449,21.051,15151800,2024-04-16
1713312000,21.051,21.097,20.658,20.75,7454000,2024-04-17
1713484800,20.357,20.658,20.056,20.588,14444400,2024-04-19
1713744000,20.982,21.143,20.773,20.935,6813500,2024-04-22
1713830400,21.051,21.976,21.051,21.375,15592800,2024-04-23
1713916800,21.652,21.768,21.467,21.745,7532200,2024-04-24
1714003200,21.745,21.745,21.19,21.352,7161400,2024-04-25
1714089600,21.282,21.699,21.12,21.56,5678300,2024-04-26
1714608000,21.652,21.722,21.444,21.676,4351500,2024-05-02
1714694400,21.976,22.578,21.93,22.3,13660600,2024-05-03
1714953600,22.439,22.531,22.161,22.37,7906500,2024-05-06
1715040000,22.37,22.37,22.069,22.161,9058500,2024-05-07
1715126400,22.161,22.763,21.884,22.3,15386300,2024-05-08
1715212800,22.485,22.624,22.115,22.416,8705600,2024-05-09
1715299200,22.578,22.578,22.161,22.439,7679300,2024-05-10
1715558400,22.439,22.508,22.208,22.393,6004900,2024-05-13
1715644800,22.416,22.416,22.138,22.161,7472800,2024-05-14
1715731200,22.161,22.277,22.092,22.254,9678900,2024-05-15
1715817600,22.439,23.11,22.393,23.087,20864900,2024-05-16
1715904000,23.017,23.133,22.971,23.017,6345600,2024-05-17
1716163200,23.11,23.364,22.925,22.994,9304700,2024-05-20
1716249600,22.947,22.995,22.446,22.518,11258500,2024-05-21
1716336000,22.541,22.661,22.112,22.136,14666400,2024-05-22
1716422400,22.088,22.255,21.873,22.184,7238900,2024-05-23
1716508800,22.017,22.541,21.85,22.136,14617600,2024-05-24
1716768000,22.136,22.231,21.945,22.184,5007700,2024-05-27
1716854400,22.184,22.398,22.088,22.374,6014900,2024-05-28
1716940800,22.422,22.446,22.136,22.184,6948600,2024-05-29
1717027200,21.969,22.327,21.873,22.327,7573700,2024-05-30
1717113600,22.327,22.422,22.088,22.422,5677200,2024-05-31
1717372800,22.661,22.756,22.47,22.494,10681000,2024-06-03
1717459200,22.661,22.804,22.422,22.708,9962000,2024-06-04
1717545600,22.756,22.78,22.518,22.661,9260100,2024-06-05
1717632000,22.684,22.899,22.518,22.899,13114900,2024-06-06
1717718400,23.376,23.71,23.233,23.424,15463100,2024-06-07
1717977600,23.615,23.615,23.066,23.329,8633400,2024-06-10
1718064000,23.615,23.782,23.448,23.543,16586900,2024-06-11
1718150400,23.543,23.615,23.376,23.567,9157900,2024-06-12
1718236800,23.615,23.662,23.519,23.567,8424900,2024-06-13
1718323200,23.615,23.639,23.424,23.424,9835600,2024-06-14
1718582400,23.4,23.4,23.138,23.185,9687200,2024-06-17
1718668800,23.185,23.424,22.995,23.281,10243100,2024-06-18
1718755200,23.376,23.376,22.971,23.042,17027300,2024-06-19
1718841600,23.424,23.996,23.376,23.662,34583800,2024-06-20
1718928000,23.806,23.806,23.09,23.376,11686300,2024-06-21
1719187200,23.376,23.376,22.518,22.851,14021100,2024-06-24
1719273600,22.851,22.899,22.327,22.899,12070000,2024-06-25
1719360000,22.851,22.899,22.47,22.899,7388500,2024-06-26
1719446400,22.565,22.613,22.279,22.374,12338200,2024-06-27
1719532800,22.374,22.422,21.468,22.279,21090100,2024-06-28
1719792000,22.04,22.04,21.611,21.611,9012800,2024-07-01
1719878400,21.802,22.136,21.611,21.85,9248300,2024-07-02
1719964800,21.897,22.47,21.85,22.422,10183800,2024-07-03
1720051200,22.422,22.47,22.231,22.422,5683100,2024-07-04
1720137600,22.279,22.422,22.136,22.422,8377700,2024-07-05
1720396800,22.422,22.422,22.04,22.374,6699200,2024-07-08
