t,open,high,low,close,volume,date_vn
1708992000,13.785,13.893,13.569,13.785,15268600,2024-02-27
1709078400,13.857,14.397,13.749,14.397,25599800,2024-02-28
1709164800,14.397,14.577,14.181,14.289,30155900,2024-02-29
1709251200,14.289,14.361,14.073,14.289,14281200,2024-03-01
1709510400,14.325,14.361,14.037,14.109,15039300,2024-03-04
1709596800,14.109,14.109,13.893,13.965,12293300,2024-03-05
1709683200,13.965,14.145,13.749,13.821,10014300,2024-03-06
1709769600,13.929,13.929,13.785,13.857,9134900,2024-03-07
1709856000,13.857,13.893,13.389,13.389,22061000,2024-03-08
1710115200,13.353,13.533,13.245,13.317,11033100,2024-03-11
1710201600,13.317,13.461,13.281,13.317,7979800,2024-03-12
1710288000,13.317,13.677,13.281,13.677,7641800,2024-03-13
1710374400,13.677,13.713,13.389,13.497,7674300,2024-03-14
1710460800,13.461,13.677,13.281,13.533,8997700,2024-03-15
1710720000,13.677,13.677,12.741,13.173,13698800,2024-03-18
1710806400,13.173,13.245,13.101,13.101,4381200,2024-03-19
1710892800,13.101,13.497,12.921,13.389,15977100,2024-03-20
1710979200,13.533,13.569,13.317,13.497,9181400,2024-03-21
1711065600,13.533,13.857,13.425,13.497,17965600,2024-03-22
1711324800,13.533,13.857,13.461,13.677,17580600,2024-03-25
1711411200,13.677,13.821,13.605,13.785,10841600,2024-03-26
1711497600,13.821,13.857,13.677,13.821,6029000,2024-03-27
1711584000,13.965,14.037,13.677,13.749,10132800,2024-03-28
1711670400,13.821,13.821,13.677,13.749,5775400,2024-03-29
1711929600,13.677,13.713,13.425,13.497,10017500,2024-04-01
1712016000,13.425,13.569,13.173,13.569,10357500,2024-04-02
1712102400,13.533,13.533,13.281,13.317,8201800,2024-04-03
1712188800,13.317,13.353,13.173,13.245,11405700,2024-04-04
1712275200,13.101,13.209,13.029,13.101,9629700,2024-04-05
1712534400,13.101,13.389,13.029,13.137,11665800,2024-04-08
1712620800,13.209,13.389,13.065,13.389,4445600,2024-04-09
1712707200,13.425,13.425,13.209,13.209,4267500,2024-04-10
1712793600,13.029,13.209,13.029,13.209,6870000,2024-04-11
1712880000,13.209,13.461,13.137,13.461,10980100,2024-04-12
1713139200,13.281,13.425,12.597,12.597,12288000,2024-04-15
1713225600,12.597,12.777,12.237,12.669,16793400,2024-04-16
1713312000,12.741,12.741,12.237,12.237,6196500,2024-04-17
1713484800,12.201,12.309,11.806,11.95,8460400,2024-04-19
1713744000,12.237,12.633,12.093,12.597,12634100,2024-04-22
