t,open,high,low,close,volume,date_vn
1709510400,14.576,14.676,14.311,14.576,7382500,2024-03-04
1709596800,14.576,14.642,14.444,14.642,3307100,2024-03-05
1709683200,14.709,14.808,14.477,14.51,5293800,2024-03-06
1709769600,14.543,14.543,14.411,14.477,5706900,2024-03-07
1709856000,14.543,14.576,14.278,14.278,7431000,2024-03-08
1710115200,14.278,14.344,14.112,14.112,3386600,2024-03-11
1710201600,14.179,14.179,14.046,14.112,3515100,2024-03-12
1710288000,14.245,14.642,14.079,14.609,4027500,2024-03-13
1710374400,14.676,14.676,14.311,14.377,3858900,2024-03-14
1710460800,14.477,14.974,14.377,14.907,8526000,2024-03-15
1710720000,15.073,15.073,14.411,14.742,6283000,2024-03-18
1710806400,14.742,14.808,14.51,14.642,3974500,2024-03-19
1710892800,14.808,15.636,14.576,15.636,27152800,2024-03-20
1710979200,15.835,16.166,15.669,16.1,10263400,2024-03-21
1711065600,16.1,16.332,15.769,16.034,9227100,2024-03-22
1711324800,16.001,16.398,15.669,15.868,7515000,2024-03-25
1711411200,15.835,16.166,15.802,16.133,5056100,2024-03-26
1711497600,16.133,16.133,15.868,16.034,5550600,2024-03-27
1711584000,16.233,16.398,15.868,16.067,8013000,2024-03-28
1711670400,16.067,16.564,15.901,16.299,6179900,2024-03-29
1711929600,16.166,16.299,15.868,16.1,5853200,2024-04-01
1712016000,15.934,16.1,15.603,15.968,11610200,2024-04-02
1712102400,15.968,15.968,15.57,15.603,8770800,2024-04-03
1712188800,15.603,15.702,15.371,15.371,7718000,2024-04-04
1712275200,15.172,15.272,14.974,15.04,7370900,2024-04-05
1712534400,15.04,15.139,14.941,15.04,8400200,2024-04-08
1712620800,15.04,15.305,15.007,15.272,5832900,2024-04-09
1712707200,15.404,15.404,15.172,15.172,6594200,2024-04-10
1712793600,15.106,15.172,14.974,15.172,4585700,2024-04-11
1712880000,15.305,15.636,15.139,15.636,9057600,2024-04-12
1713139200,15.636,15.769,14.874,14.907,11379800,2024-04-15
1713225600,14.974,15.239,14.576,14.941,9408200,2024-04-16
1713312000,15.248,15.282,14.701,14.701,7517500,2024-04-17
1713484800,14.359,14.701,14.325,14.427,8950600,2024-04-19
1713744000,14.461,14.632,14.427,14.495,5869800,2024-04-22
1713830400,14.495,14.735,14.222,14.359,6476700,2024-04-23
1713916800,14.427,14.769,14.427,14.632,4443600,2024-04-24
1714003200,14.632,14.701,14.393,14.461,3793100,2024-04-25
1714089600,14.29,14.564,14.29,14.427,2906500,2024-04-26
1714608000,14.393,14.666,14.359,14.632,3169100,2024-05-02
1714694400,14.701,14.872,14.495,14.495,5626600,2024-05-03
1714953600,14.632,14.872,14.598,14.837,4440600,2024-05-06
1715040000,14.94,14.974,14.735,14.837,2608500,2024-05-07
1715126400,14.701,14.803,14.598,14.735,4433900,2024-05-08
1715212800,14.769,14.872,14.632,14.769,3079500,2024-05-09
1715299200,14.769,14.769,14.666,14.735,2714000,2024-05-10
1715558400,14.735,14.803,14.564,14.598,3635100,2024-05-13
1715644800,14.769,15.179,14.632,14.872,6938100,2024-05-14
1715731200,15.077,15.077,14.872,14.94,3361300,2024-05-15
1715817600,15.179,15.282,15.111,15.248,9175800,2024-05-16
1715904000,15.248,15.316,15.179,15.248,4327200,2024-05-17
1716163200,15.453,15.487,15.316,15.384,7439300,2024-05-20
1716249600,15.487,15.487,15.179,15.453,7287600,2024-05-21
1716336000,15.453,15.555,15.179,15.179,6625300,2024-05-22
