t,open,high,low,close,volume,date_vn
1708300800,81.458,81.535,80.304,80.92,615500,2024-02-19
1708387200,80.766,80.92,80.228,80.228,648500,2024-02-20
1708473600,80.228,80.381,79.381,79.381,657500,2024-02-21
1708560000,79.381,80.535,79.381,79.689,621400,2024-02-22
1708646400,79.843,80.304,79.535,79.843,670800,2024-02-23
1708905600,79.92,80.689,79.92,80.381,605600,2024-02-26
1708992000,80.612,80.612,79.612,79.612,647800,2024-02-27
1709078400,79.612,80.535,79.458,79.535,638600,2024-02-28
1709164800,79.689,80.228,79.305,79.305,728600,2024-02-29
1709251200,79.843,80.228,79.381,79.458,650700,2024-03-01
1709510400,79.612,80.151,79.458,79.689,669100,2024-03-04
1709596800,79.997,80.304,79.612,80.304,552000,2024-03-05
1709683200,80.304,80.381,79.381,79.92,470500,2024-03-06
1709769600,79.92,79.997,79.458,79.92,590500,2024-03-07
1709856000,79.997,80.151,79.305,79.766,636400,2024-03-08
1710115200,79.612,80.074,79.228,79.228,613300,2024-03-11
1710201600,79.612,79.612,78.458,78.843,658700,2024-03-12
1710288000,79.151,79.689,78.458,78.612,671300,2024-03-13
1710374400,79.151,79.151,77.689,78.458,695600,2024-03-14
1710460800,78.381,79.151,77.305,78.997,705600,2024-03-15
1710720000,78.997,79.228,77.305,78.305,618300,2024-03-18
1710806400,78.305,78.458,76.92,77.689,589900,2024-03-19
1710892800,78.074,78.458,76.997,77.843,690000,2024-03-20
1710979200,78.228,79.305,77.843,78.92,741000,2024-03-21
1711065600,78.92,79.228,78.074,78.612,599400,2024-03-22
1711324800,78.458,78.612,77.458,77.458,628600,2024-03-25
1711411200,77.074,78.92,77.074,78.381,664400,2024-03-26
1711497600,78.228,79.305,77.689,79.228,707600,2024-03-27
1711584000,79.228,79.381,78.228,79.381,635100,2024-03-28
1711670400,79.535,79.535,78.766,79.228,664100,2024-03-29
1711929600,79.305,79.305,78.458,78.997,719100,2024-04-01
1712016000,78.381,79.228,77.997,79.228,815100,2024-04-02
1712102400,78.92,79.381,77.612,78.612,871400,2024-04-03
1712188800,78.689,79.305,78.458,78.612,810000,2024-04-04
1712275200,78.612,79.228,77.92,78.381,750100,2024-04-05
1712534400,78.766,78.843,77.305,77.766,800800,2024-04-08
1712620800,77.766,78.766,77.766,78.612,804100,2024-04-09
1712707200,78.843,78.843,77.689,78.458,902700,2024-04-10
1712793600,78.074,78.458,77.535,77.689,947400,2024-04-11
1712880000,77.92,82.612,77.689,82.304,1506000,2024-04-12
1713139200,81.997,81.997,80.612,81.458,1101900,2024-04-15
1713225600,81.381,82.535,79.997,81.535,1022900,2024-04-16
1713312000,81.612,81.612,78.381,79.535,1099000,2024-04-17
1713484800,78.458,79.689,78.458,79.458,947300,2024-04-19
1713744000,79.458,80.151,78.535,79.458,810700,2024-04-22
1713830400,79.997,79.997,77.689,79.074,1110500,2024-04-23
1713916800,79.381,79.843,78.92,79.612,897100,2024-04-24
1714003200,79.843,79.843,78.074,79.612,904500,2024-04-25
1714089600,79.228,79.997,78.381,79.997,903600,2024-04-26
1714608000,79.997,80.151,78.612,79.92,827700,2024-05-02
1714694400,79.997,81.997,79.305,81.535,1092500,2024-05-03
1714953600,81.689,87.227,81.689,87.227,1737400,2024-05-06
1715040000,87.689,91.304,87.689,91.227,1560100,2024-05-07
1715126400,90.689,90.689,88.92,90.304,1226200,2024-05-08
1715212800,90.304,91.458,89.227,90.689,1130800,2024-05-09
1715299200,90.689,90.766,89.073,89.919,924500,2024-05-10
1715558400,89.996,91.996,88.843,91.381,1049800,2024-05-13
1715644800,91.535,91.535,89.689,89.996,1079300,2024-05-14
1715731200,89.689,91.073,89.689,90.227,1319000,2024-05-15
1715817600,90.381,90.612,89.227,90.381,1113600,2024-05-16
1715904000,90.612,91.842,89.766,90.304,995100,2024-05-17
1716163200,90.535,90.612,88.15,88.15,1005800,2024-05-20
1716249600,88.15,88.227,85.381,86.535,919800,2024-05-21
1716336000,86.766,87.843,83.92,83.92,1177200,2024-05-22
1716422400,84.074,85.997,83.843,85.689,840300,2024-05-23
1716508800,85.381,85.381,83.074,83.074,776200,2024-05-24
1716768000,83.304,84.15,82.843,83.843,638400,2024-05-27
1716854400,84.535,84.535,83.458,84.304,686800,2024-05-28
1716940800,84.304,84.381,82.535,82.997,816000,2024-05-29
1717027200,82.304,83.381,82.304,82.304,661900,2024-05-30
1717113600,82.689,83.689,82.381,82.381,719200,2024-05-31
1717372800,82.92,84.458,82.535,83.612,940200,2024-06-03
1717459200,83.843,83.843,82.997,83.381,695100,2024-06-04
1717545600,83.843,84.15,83.074,83.074,785800,2024-06-05
1717632000,83.151,84.458,82.92,83.535,951900,2024-06-06
1717718400,83.766,83.997,83.074,83.843,992500,2024-06-07
1717977600,83.843,85.612,83.535,83.843,1074400,2024-06-10
1718064000,83.843,83.843,81.074,81.381,1532500,2024-06-11
