t,open,high,low,close,volume,date_vn
1709510400,1264.07,1268.25,1256.54,1261.41,1061173083,2024-03-04
1709596800,1262.89,1269.98,1257.81,1269.98,928338044,2024-03-05
1709683200,1269.8,1277.51,1256.3,1262.73,1001619114,2024-03-06
1709769600,1263.23,1269.88,1260.24,1268.46,948002902,2024-03-07
1709856000,1272.62,1274.3,1247.35,1247.35,1308854690,2024-03-08
1710115200,1248.32,1254.01,1233.49,1235.49,923140440,2024-03-11
1710201600,1235.4,1248.33,1233.14,1245.0,792539529,2024-03-12
1710288000,1250.2,1270.51,1245.25,1270.51,890646898,2024-03-13
1710374400,1276.0,1276.41,1258.67,1264.26,1021714388,2024-03-14
1710460800,1263.76,1271.63,1252.36,1263.78,1009198954,2024-03-15
1710720000,1266.11,1269.9,1221.67,1243.56,1617000650,2024-03-18
1710806400,1246.54,1249.75,1238.92,1242.46,782801566,2024-03-19
1710892800,1243.79,1261.55,1235.46,1260.08,859406858,2024-03-20
1710979200,1269.96,1276.42,1264.2,1276.42,1135690750,2024-03-21
1711065600,1281.56,1291.27,1276.38,1281.8,1181266733,2024-03-22
1711324800,1278.86,1286.84,1264.51,1267.86,1099357900,2024-03-25
1711411200,1267.95,1282.5,1264.42,1282.21,858410797,2024-03-26
1711497600,1286.34,1286.72,1276.95,1283.09,803249597,2024-03-27
1711584000,1293.03,1293.9,1285.52,1290.18,888387914,2024-03-28
1711670400,1292.7,1292.75,1282.44,1284.09,790542597,2024-03-29
1711929600,1282.37,1286.8,1274.09,1281.52,899388445,2024-04-01
1712016000,1276.38,1287.04,1268.48,1287.04,1031022100,2024-04-02
1712102400,1285.3,1288.99,1271.47,1271.47,995560394,2024-04-03
1712188800,1271.87,1277.62,1265.12,1268.25,921606498,2024-04-04
1712275200,1258.58,1265.14,1253.56,1255.11,1034844955,2024-04-05
1712534400,1255.37,1258.4,1246.87,1250.35,790344900,2024-04-08
1712620800,1252.4,1262.82,1247.7,1262.82,648177200,2024-04-09
1712707200,1266.48,1268.72,1258.56,1258.56,633149400,2024-04-10
1712793600,1249.88,1262.03,1248.11,1258.2,642864295,2024-04-11
1712880000,1262.96,1278.39,1259.5,1276.6,696705294,2024-04-12
1713139200,1274.02,1281.81,1216.61,1216.61,1317882799,2024-04-15
1713225600,1218.64,1222.45,1191.73,1215.68,1214696265,2024-04-16
1713312000,1221.47,1221.47,1193.01,1193.01,766171793,2024-04-17
1713484800,1180.87,1190.96,1165.99,1174.85,1024630225,2024-04-19
1713744000,1183.77,1193.88,1181.13,1190.22,615914281,2024-04-22
1713830400,1190.56,1192.8,1169.61,1177.4,672941708,2024-04-23
1713916800,1186.47,1207.61,1185.13,1205.61,691468850,2024-04-24
1714003200,1206.25,1208.41,1200.21,1204.97,489117744,2024-04-25
1714089600,1199.83,1216.6,1198.73,1209.52,574398097,2024-04-26
1714608000,1212.13,1216.36,1206.28,1216.36,513749523,2024-05-02
1714694400,1222.54,1225.75,1218.33,1221.03,567242736,2024-05-03
1714953600,1226.89,1241.58,1224.22,1241.58,666191121,2024-05-06
1715040000,1245.5,1250.63,1240.09,1248.63,592468763,2024-05-07
1715126400,1243.61,1251.62,1234.76,1250.46,819582331,2024-05-08
1715212800,1252.81,1256.8,1243.29,1248.64,638825574,2024-05-09
1715299200,1251.78,1252.5,1237.46,1244.7,593428274,2024-05-10
1715558400,1248.19,1249.2,1233.56,1240.18,636188640,2024-05-13
1715644800,1246.23,1252.52,1240.88,1243.28,529128121,2024-05-14
1715731200,1248.61,1257.92,1248.02,1254.39,759157900,2024-05-15
1715817600,1264.51,1271.66,1261.19,1268.78,808757789,2024-05-16
1715904000,1270.34,1274.27,1266.32,1273.11,830835383,2024-05-17
1716163200,1281.5,1285.19,1277.36,1277.58,957648129,2024-05-20
1716249600,1277.85,1281.29,1267.29,1277.14,840127935,2024-05-21
1716336000,1280.26,1283.06,1263.87,1266.91,987225260,2024-05-22
1716422400,1265.6,1281.03,1262.29,1281.03,833706141,2024-05-23
1716508800,1276.68,1285.07,1250.28,1261.93,1244819730,2024-05-24
1716768000,1263.46,1267.68,1257.27,1267.68,598633423,2024-05-27
1716854400,1272.23,1281.73,1269.37,1281.73,744093359,2024-05-28
1716940800,1284.74,1285.63,1271.6,1272.64,967107344,2024-05-29
1717027200,1264.45,1269.07,1251.8,1266.32,958527286,2024-05-30
1717113600,1268.37,1271.07,1261.43,1261.72,617744426,2024-05-31
1717372800,1271.65,1284.48,1271.65,1280.0,930986400,2024-06-03
1717459200,1285.51,1289.31,1281.98,1283.52,785852881,2024-06-04
1717545600,1287.12,1293.93,1284.35,1284.35,810151817,2024-06-05
1717632000,1288.79,1292.02,1278.4,1283.56,797930139,2024-06-06
1717718400,1289.05,1293.03,1283.13,1287.58,604684619,2024-06-07
1717977600,1292.67,1297.39,1287.44,1290.67,778969124,2024-06-10
1718064000,1295.03,1296.41,1279.47,1284.41,859300069,2024-06-11
1718150400,1285.01,1301.35,1281.71,1300.19,769899483,2024-06-12
1718236800,1305.69,1306.01,1297.6,1301.51,829277993,2024-06-13
1718323200,1303.37,1305.02,1279.91,1279.91,1009516769,2024-06-14
