t,open,high,low,close,volume,date_vn
1708905600,59.961,60.552,59.708,59.961,3048400,2024-02-26
1708992000,60.13,61.144,60.046,60.806,5282500,2024-02-27
1709078400,61.144,61.313,60.384,60.975,3419000,2024-02-28
1709164800,61.313,61.904,60.468,60.806,6539800,2024-02-29
1709251200,60.89,60.89,60.13,60.384,4397700,2024-03-01
1709510400,60.637,61.397,60.468,60.806,5014600,2024-03-04
1709596800,60.806,61.65,60.552,61.65,5440900,2024-03-05
1709683200,61.904,62.073,60.637,60.637,4833900,2024-03-06
1709769600,60.552,60.89,60.215,60.806,5067600,2024-03-07
1709856000,60.89,61.566,59.117,59.117,7361000,2024-03-08
1710115200,59.539,60.215,59.117,59.37,4208400,2024-03-11
1710201600,59.455,59.624,59.117,59.117,3844000,2024-03-12
1710288000,59.201,59.877,59.117,59.792,5646500,2024-03-13
1710374400,59.961,60.215,59.37,59.539,5445400,2024-03-14
1710460800,59.969,59.969,58.771,58.857,4851100,2024-03-15
1710720000,58.857,59.113,57.83,58.087,6796400,2024-03-18
1710806400,58.6,58.6,58.001,58.001,3164500,2024-03-19
1710892800,58.001,58.686,57.745,58.172,3546900,2024-03-20
1710979200,58.343,58.6,58.087,58.515,4906200,2024-03-21
1711065600,58.686,58.771,58.001,58.001,6066700,2024-03-22
1711324800,58.087,58.343,57.402,57.574,5450700,2024-03-25
1711411200,57.659,58.087,57.574,57.916,2504200,2024-03-26
1711497600,58.172,58.172,57.745,57.916,2637700,2024-03-27
1711584000,57.916,58.515,57.83,57.916,4470700,2024-03-28
1711670400,58.515,58.515,57.745,57.83,3484600,2024-03-29
1711929600,57.83,57.916,57.317,57.317,4988000,2024-04-01
1712016000,57.317,57.659,57.06,57.574,4322900,2024-04-02
1712102400,57.574,57.574,57.06,57.06,5046100,2024-04-03
1712188800,57.06,58.515,57.06,58.343,7472800,2024-04-04
1712275200,58.343,58.343,57.916,58.087,4233800,2024-04-05
1712534400,58.172,58.172,57.231,57.317,3666000,2024-04-08
1712620800,57.402,57.574,57.146,57.317,2516000,2024-04-09
1712707200,57.402,57.574,57.146,57.146,2765500,2024-04-10
1712793600,57.06,57.231,56.889,56.975,2947700,2024-04-11
1712880000,57.146,57.402,56.975,57.06,2509200,2024-04-12
1713139200,57.06,57.06,55.52,55.52,5756100,2024-04-15
1713225600,55.52,55.606,53.895,54.75,7128700,2024-04-16
1713312000,55.093,55.52,54.922,54.922,4589800,2024-04-17
1713484800,54.922,55.093,54.152,54.922,4516100,2024-04-19
1713744000,55.349,55.863,54.75,54.75,2035200,2024-04-22
1713830400,54.922,55.007,54.066,54.323,2014400,2024-04-23
1713916800,54.75,55.007,54.323,54.75,2401300,2024-04-24
1714003200,54.75,55.435,54.665,55.349,1916000,2024-04-25
1714089600,55.349,56.29,55.178,55.606,2940600,2024-04-26
1714608000,55.948,56.034,55.52,55.948,2563400,2024-05-02
1714694400,56.119,56.461,56.034,56.119,1966400,2024-05-03
1714953600,56.29,56.804,56.034,56.29,2261300,2024-05-06
1715040000,56.461,58.6,56.376,58.172,8485900,2024-05-07
1715126400,58.172,58.172,57.402,58.087,2964400,2024-05-08
1715212800,58.087,58.087,56.975,56.975,2998000,2024-05-09
1715299200,57.06,57.745,56.547,56.889,2418100,2024-05-10
1715558400,56.975,57.146,55.948,56.29,2732500,2024-05-13
1715644800,56.376,57.317,56.376,56.889,2433100,2024-05-14
1715731200,57.231,57.574,57.06,57.317,3234900,2024-05-15
1715817600,57.402,57.916,57.317,57.488,2911400,2024-05-16
1715904000,57.574,58.001,57.146,57.317,4169000,2024-05-17
1716163200,57.402,57.83,56.804,56.804,4920600,2024-05-20
1716249600,56.804,56.975,56.29,56.632,3799500,2024-05-21
1716336000,56.804,57.06,56.29,56.29,3618300,2024-05-22
1716422400,56.461,57.317,56.29,57.317,2991400,2024-05-23
1716508800,57.06,57.231,56.205,56.461,4104100,2024-05-24
1716768000,56.547,56.975,56.29,56.547,2336600,2024-05-27
1716854400,56.718,57.574,56.547,57.146,5347500,2024-05-28
1716940800,57.317,57.574,56.461,56.718,3357900,2024-05-29
1717027200,56.547,56.632,56.034,56.205,4412600,2024-05-30
1717113600,56.376,56.376,55.863,55.948,4143400,2024-05-31
1717372800,56.29,56.975,56.205,56.547,3190500,2024-06-03
1717459200,56.547,56.975,56.461,56.461,2445200,2024-06-04
1717545600,56.632,59.199,56.632,58.6,11865800,2024-06-05
1717632000,59.028,59.028,57.488,57.488,4887800,2024-06-06
