t,open,high,low,close,volume,date_vn
1710115200,24.531,24.676,23.662,23.662,11759900,2024-03-11
1710201600,23.662,24.386,23.614,24.338,10111700,2024-03-12
1710288000,24.338,25.014,24.097,25.014,8044000,2024-03-13
1710374400,25.159,25.497,24.676,25.014,12347200,2024-03-14
1710460800,24.821,24.918,24.242,24.869,11252300,2024-03-15
1710720000,24.966,26.608,24.145,26.608,34582300,2024-03-18
1710806400,27.525,27.767,25.787,25.835,16110300,2024-03-19
1710892800,25.98,25.98,25.207,25.449,11622200,2024-03-20
1710979200,25.787,26.221,25.449,26.028,12499300,2024-03-21
1711065600,26.221,26.27,25.545,25.787,10058500,2024-03-22
1711324800,25.594,26.028,25.063,25.159,8943300,2024-03-25
1711411200,25.159,25.545,24.145,25.497,7341400,2024-03-26
1711497600,25.449,25.497,25.014,25.063,5848500,2024-03-27
1711584000,25.111,25.497,24.773,24.773,14611800,2024-03-28
1711670400,25.063,25.063,24.628,24.966,5019000,2024-03-29
1711929600,25.014,25.207,24.773,24.821,5885800,2024-04-01
1712016000,24.821,24.869,24.483,24.676,7712300,2024-04-02
1712102400,24.676,25.159,24.628,24.628,6533200,2024-04-03
1712188800,24.918,24.918,24.386,24.435,5579700,2024-04-04
1712275200,24.242,24.242,23.855,23.855,8275400,2024-04-05
1712534400,23.952,24.0,22.793,22.793,14766300,2024-04-08
1712620800,22.841,23.469,22.841,23.372,6487000,2024-04-09
1712707200,23.421,23.855,23.372,23.421,4857200,2024-04-10
1712793600,23.131,23.276,22.986,23.083,3359700,2024-04-11
1712880000,23.131,23.566,23.131,23.324,3555700,2024-04-12
1713139200,23.034,23.227,21.731,21.731,13823600,2024-04-15
1713225600,21.634,21.875,21.151,21.441,12875500,2024-04-16
1713312000,21.634,21.972,21.103,21.248,7302500,2024-04-17
1713484800,20.91,21.199,20.33,20.572,8590500,2024-04-19
1713744000,20.861,21.827,20.765,21.634,7078300,2024-04-22
1713830400,21.441,21.731,20.861,21.151,4860300,2024-04-23
1713916800,21.441,21.875,21.296,21.779,5630400,2024-04-24
1714003200,21.586,21.827,21.344,21.779,4172100,2024-04-25
1714089600,21.441,21.827,21.248,21.682,7637500,2024-04-26
1714608000,21.682,22.02,21.586,21.972,6044600,2024-05-02
1714694400,22.069,22.841,21.972,22.6,13035400,2024-05-03
1714953600,22.696,22.696,22.213,22.551,8148400,2024-05-06
1715040000,22.551,22.793,22.069,22.551,6722900,2024-05-07
1715126400,22.503,22.551,22.069,22.407,7711400,2024-05-08
1715212800,22.358,22.6,22.069,22.069,5065300,2024-05-09
1715299200,22.117,22.213,21.537,21.731,7424200,2024-05-10
1715558400,21.731,21.827,21.344,21.489,4557100,2024-05-13
1715644800,22.02,22.069,21.392,21.489,5075300,2024-05-14
1715731200,21.537,21.634,21.392,21.586,5426800,2024-05-15
1715817600,21.731,22.02,21.682,21.875,6049800,2024-05-16
1715904000,21.924,22.455,21.731,22.31,10951000,2024-05-17
1716163200,22.455,22.745,22.069,22.069,6019600,2024-05-20
1716249600,22.117,22.455,21.924,22.358,9300200,2024-05-21
1716336000,22.31,22.889,22.31,22.358,13070700,2024-05-22
1716422400,22.213,22.407,21.972,22.213,5808600,2024-05-23
