Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
CTG,2026-08-24T12:26:27.569420+07:00,11:29:57,10,32.15,29.9,34.4,32.35,31.85,120505.66,376050.0,31.9,40.0,0.0,0.0,1700.0,79710.0,-78010.0,233008339.1,41010472.8,31.9,31.95,7910.0,8910.0,31.85,32.0,12200.0,25200.0,31.8,32.05,19970.0,4140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-24T16:06:36.156987+07:00,14:46:04,10,32.15,29.9,34.4,32.35,31.8,230703.755,721790.0,31.8,30.0,0.0,0.0,2226.3,117892.2,-115665.9,233008339.1,40999756.5,31.8,31.85,14180.0,1740.0,31.75,31.9,20200.0,12570.0,31.7,31.95,27750.0,6850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-25T12:19:45.695089+07:00,11:29:57,10,31.8,29.6,34.0,31.9,31.7,78346.805,246450.0,31.75,20.0,0.0,0.0,4280.0,38980.0,-34700.0,233008339.1,41007390.8,31.7,31.75,18870.0,8570.0,31.65,31.8,20490.0,16360.0,31.6,31.85,22750.0,13370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-25T16:01:23.863401+07:00,14:46:04,10,31.8,29.6,34.0,31.9,31.35,250538.675,792840.0,31.5,10.0,0.0,0.0,8043.3,151670.0,-143626.7,233008339.1,40990279.5,31.45,31.5,2000.0,5280.0,31.4,31.55,24220.0,11350.0,31.35,31.6,34010.0,8150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-26T12:19:13.966072+07:00,11:30:03,10,31.5,29.3,33.7,31.6,31.15,142954.7,456410.0,31.25,20.0,0.0,0.0,32040.0,174775.3,-142735.3,233008339.1,41045092.1,31.25,31.3,5880.0,10410.0,31.2,31.35,14060.0,5790.0,31.15,31.4,16640.0,4090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-26T16:02:49.097068+07:00,14:46:04,10,31.5,29.3,33.7,31.85,31.15,381639.915,1213130.0,31.85,250.0,0.0,0.0,114980.0,363895.3,-248915.3,233008339.1,40946892.1,31.8,31.85,5250.0,1570.0,31.75,31.9,6850.0,7550.0,31.7,31.95,17980.0,6510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-27T22:34:14.076800+07:00,14:46:04,10,31.85,29.65,34.05,32.2,31.75,203035.725,636700.0,31.9,50.0,0.0,0.0,149700.0,259688.0,-109988.0,233008339.1,41041178.0,31.85,31.9,10310.0,10090.0,31.8,31.95,15300.0,11030.0,31.75,32.0,16310.0,32820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-28T02:05:55.806471+07:00,14:46:04,10,31.85,29.65,34.05,32.2,31.75,203035.725,636700.0,31.9,50.0,0.0,0.0,149700.0,259688.0,-109988.0,233008339.1,41041178.0,31.85,31.9,10310.0,10090.0,31.8,31.95,15300.0,11030.0,31.75,32.0,16310.0,32820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-28T23:57:59.768083+07:00,14:46:03,10,31.9,29.7,34.1,32.35,31.8,247563.225,771860.0,31.95,20.0,0.0,0.0,85257.4,68800.7,16456.699999999997,233008339.1,41237332.3,31.95,32.0,10130.0,8300.0,31.9,32.05,40850.0,1340.0,31.85,32.1,29950.0,12510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-29T03:13:38.640696+07:00,14:46:03,10,31.9,29.7,34.1,32.35,31.8,247563.225,771860.0,31.95,20.0,0.0,0.0,85257.4,68800.7,16456.699999999997,233008339.1,41237332.3,31.95,32.0,10130.0,8300.0,31.9,32.05,40850.0,1340.0,31.85,32.1,29950.0,12510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-31T18:11:00.510771+07:00,14:46:03,10,31.9,29.7,34.1,32.35,31.8,247563.225,771860.0,31.95,20.0,0.0,0.0,85257.4,68800.7,16456.699999999997,233008339.1,41237332.3,31.95,32.0,10130.0,8300.0,31.9,32.05,40850.0,1340.0,31.85,32.1,29950.0,12510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-08-31T23:11:26.032412+07:00,14:46:03,10,31.9,29.7,34.1,32.35,31.8,247563.225,771860.0,31.95,20.0,0.0,0.0,85257.4,68800.7,16456.699999999997,233008339.1,41237332.3,31.95,32.0,10130.0,8300.0,31.9,32.05,40850.0,1340.0,31.85,32.1,29950.0,12510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-01T16:38:45.243088+07:00,14:46:03,10,31.9,29.7,34.1,32.35,31.8,247563.225,771860.0,31.95,20.0,0.0,0.0,85257.4,68800.7,16456.699999999997,233008339.1,41237332.3,31.95,32.0,10130.0,8300.0,31.9,32.05,40850.0,1340.0,31.85,32.1,29950.0,12510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-01T20:31:21.521422+07:00,14:46:03,10,31.9,29.7,34.1,32.35,31.8,247563.225,771860.0,31.95,20.0,0.0,0.0,85257.4,68800.7,16456.699999999997,233008339.1,41237332.3,31.95,32.0,10130.0,8300.0,31.9,32.05,40850.0,1340.0,31.85,32.1,29950.0,12510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-02T16:07:14.739115+07:00,14:46:03,10,31.9,29.7,34.1,32.35,31.8,247563.225,771860.0,31.95,20.0,0.0,0.0,85257.4,68800.7,16456.699999999997,233008339.1,41237332.3,31.95,32.0,10130.0,8300.0,31.9,32.05,40850.0,1340.0,31.85,32.1,29950.0,12510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-02T19:48:15.975903+07:00,14:46:03,10,31.9,29.7,34.1,32.35,31.8,247563.225,771860.0,31.95,20.0,0.0,0.0,85257.4,68800.7,16456.699999999997,233008339.1,41237332.3,31.95,32.0,10130.0,8300.0,31.9,32.05,40850.0,1340.0,31.85,32.1,29950.0,12510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-03T16:15:03.197945+07:00,14:46:05,10,31.95,29.75,34.15,31.8,31.35,164982.605,522300.0,31.5,60.0,0.0,0.0,17053.5,67204.2,-50150.7,233008339.1,41543699.8,31.5,31.55,2880.0,10040.0,31.45,31.6,20280.0,15310.0,31.4,31.65,29740.0,1910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-03T19:51:16.260275+07:00,14:46:05,10,31.95,29.75,34.15,31.8,31.35,164982.605,522300.0,31.5,60.0,0.0,0.0,17053.5,67204.2,-50150.7,233008339.1,41543699.8,31.5,31.55,2880.0,10040.0,31.45,31.6,20280.0,15310.0,31.4,31.65,29740.0,1910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-04T16:06:07.855797+07:00,14:46:04,10,31.5,29.3,33.7,31.8,31.4,166745.2,528960.0,31.4,100.0,0.0,0.0,58230.3,144005.1,-85774.8,233008339.1,41600880.0,31.4,31.45,8170.0,220.0,31.35,31.5,25350.0,86790.0,31.3,31.55,8700.0,2050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-04T19:44:48.897971+07:00,14:46:04,10,31.5,29.3,33.7,31.8,31.4,166745.2,528960.0,31.4,100.0,0.0,0.0,58230.3,144005.1,-85774.8,233008339.1,41600880.0,31.4,31.45,8170.0,220.0,31.35,31.5,25350.0,86790.0,31.3,31.55,8700.0,2050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-07T16:47:02.406131+07:00,14:46:04,10,31.4,29.25,33.55,31.55,30.8,222578.09,715380.0,30.8,200.0,0.0,0.0,40121.3,277770.0,-237648.7,233008339.1,41630600.0,30.8,30.9,20360.0,330.0,30.75,30.95,6620.0,3190.0,30.7,31.0,21710.0,3080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-07T21:16:22.516767+07:00,14:46:04,10,31.4,29.25,33.55,31.55,30.8,222578.09,715380.0,30.8,200.0,0.0,0.0,40121.3,277770.0,-237648.7,233008339.1,41630600.0,30.8,30.9,20360.0,330.0,30.75,30.95,6620.0,3190.0,30.7,31.0,21710.0,3080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-08T16:08:57.885809+07:00,14:46:04,10,30.8,28.65,32.95,30.95,30.7,133804.41,434350.0,30.75,20.0,0.0,0.0,13520.6,86162.2,-72641.59999999999,233008339.1,41715331.4,30.75,30.8,1690.0,1340.0,30.7,30.85,33940.0,10440.0,30.65,30.9,17220.0,22070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-08T19:53:59.058851+07:00,14:46:04,10,30.8,28.65,32.95,30.95,30.7,133804.41,434350.0,30.75,20.0,0.0,0.0,13520.6,86162.2,-72641.59999999999,233008339.1,41715331.4,30.75,30.8,1690.0,1340.0,30.7,30.85,33940.0,10440.0,30.65,30.9,17220.0,22070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-09T16:15:10.372223+07:00,14:48:04,10,30.75,28.6,32.9,31.0,30.6,270125.105,878980.0,30.7,100.0,0.0,0.0,130395.6,225470.0,-95074.4,233008339.1,41684476.2,30.7,30.75,2130.0,10600.0,30.65,30.8,25000.0,12770.0,30.6,30.85,38230.0,12210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-09T19:59:58.898268+07:00,14:48:04,10,30.75,28.6,32.9,31.0,30.6,270125.105,878980.0,30.7,100.0,0.0,0.0,130395.6,225470.0,-95074.4,233008339.1,41684476.2,30.7,30.75,2130.0,10600.0,30.65,30.8,25000.0,12770.0,30.6,30.85,38230.0,12210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-10T16:14:27.540723+07:00,14:46:04,10,30.7,28.6,32.8,30.7,30.5,199271.72,651520.0,30.55,10.0,0.0,0.0,41480.0,284223.8,-242743.8,233008339.1,42008473.0,30.55,30.6,25710.0,950.0,30.5,30.65,72520.0,6940.0,30.45,30.7,22640.0,13330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-10T19:57:08.482039+07:00,14:46:04,10,30.7,28.6,32.8,30.7,30.5,199271.72,651520.0,30.55,10.0,0.0,0.0,41480.0,284223.8,-242743.8,233008339.1,42008473.0,30.55,30.6,25710.0,950.0,30.5,30.65,72520.0,6940.0,30.45,30.7,22640.0,13330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-11T16:11:22.415695+07:00,14:52:05,10,30.55,28.45,32.65,30.5,29.9,332783.545,1104920.0,29.95,460.0,0.0,0.0,116732.5,191620.0,-74887.5,233008339.1,42005747.9,29.9,29.95,30360.0,8290.0,29.85,30.0,10650.0,17030.0,29.8,30.05,20130.0,2380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-11T19:50:38.045084+07:00,14:52:05,10,30.55,28.45,32.65,30.5,29.9,332783.545,1104920.0,29.95,460.0,0.0,0.0,116732.5,191620.0,-74887.5,233008339.1,42005747.9,29.9,29.95,30360.0,8290.0,29.85,30.0,10650.0,17030.0,29.8,30.05,20130.0,2380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-14T17:09:31.359555+07:00,14:46:04,10,29.95,27.9,32.0,30.25,29.7,256761.56,857910.0,29.85,30.0,0.0,0.0,417845.5,270355.2,147490.3,233008339.1,41798633.5,29.85,29.9,7140.0,280.0,29.8,29.95,8280.0,20.0,29.75,30.0,1490.0,10780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-14T22:02:33.197590+07:00,14:46:04,10,29.95,27.9,32.0,30.25,29.7,256761.56,857910.0,29.85,30.0,0.0,0.0,417845.5,270355.2,147490.3,233008339.1,41798633.5,29.85,29.9,7140.0,280.0,29.8,29.95,8280.0,20.0,29.75,30.0,1490.0,10780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-15T16:38:44.780671+07:00,14:46:04,10,29.85,27.8,31.9,30.65,30.0,234788.965,770400.0,30.55,170.0,0.0,0.0,453258.0,137687.1,315570.9,233008339.1,41889854.5,30.55,30.6,5670.0,800.0,30.5,30.65,17650.0,14540.0,30.45,30.7,1990.0,12310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-15T20:33:44.968259+07:00,14:46:04,10,29.85,27.8,31.9,30.65,30.0,234788.965,770400.0,30.55,170.0,0.0,0.0,453258.0,137687.1,315570.9,233008339.1,41889854.5,30.55,30.6,5670.0,800.0,30.5,30.65,17650.0,14540.0,30.45,30.7,1990.0,12310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-16T16:34:15.145115+07:00,14:46:03,10,30.55,28.45,32.65,30.85,30.2,132715.88,434600.0,30.85,10.0,0.0,0.0,175370.0,64190.0,111180.0,233008339.1,41893566.9,30.8,30.85,190.0,28090.0,30.45,30.9,20.0,55830.0,30.4,30.95,30.0,21880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-16T20:31:31.451866+07:00,14:46:03,10,30.55,28.45,32.65,30.85,30.2,132715.88,434600.0,30.85,10.0,0.0,0.0,175370.0,64190.0,111180.0,233008339.1,41893566.9,30.8,30.85,190.0,28090.0,30.45,30.9,20.0,55830.0,30.4,30.95,30.0,21880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTG,2026-09-17T16:41:59.314329+07:00,14:46:04,10,30.85,28.7,33.0,31.4,30.35,349563.85,1125120.0,31.4,50.0,0.0,0.0,255150.0,127021.7,128128.3,233008339.1,41679741.6,31.3,31.4,70.0,8400.0,31.2,31.45,1010.0,32740.0,31.15,31.5,1790.0,43120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
