Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
FPT,2026-08-01T00:56:34.521495+07:00,14:46:07,10,67.0,62.4,71.6,67.9,66.5,419873.17,625360.0,67.1,10.0,0.0,0.0,260548.7,82680.0,177868.7,83471848.9,37078463.6,67.0,67.1,21040.0,5100.0,66.9,67.2,810.0,11040.0,66.7,67.3,20.0,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-03T15:05:36.921306+07:00,14:49:08,10,67.1,62.5,71.7,71.7,67.3,1148023.88,1627910.0,71.7,20.0,0.0,0.0,814857.8,69295.6,745562.2000000001,83471848.9,36328995.6,71.7,0.0,153080.0,0.0,71.6,0.0,7410.0,0.0,71.5,0.0,1960.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-03T18:45:18.196082+07:00,14:49:08,10,67.1,62.5,71.7,71.7,67.3,1148023.88,1627910.0,71.7,20.0,0.0,0.0,814857.8,69295.6,745562.2000000001,83471848.9,36328995.6,71.7,0.0,153080.0,0.0,71.6,0.0,7410.0,0.0,71.5,0.0,1960.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-04T14:27:49.816180+07:00,14:27:48,10,71.7,66.7,76.7,73.3,71.3,455496.31,631210.0,71.6,20.0,0.0,0.0,225933.7,78160.5,147773.2,83471848.9,36206952.4,71.6,71.7,280.0,5850.0,71.5,71.8,5890.0,2230.0,71.4,71.9,3500.0,5840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-04T17:52:00.181394+07:00,14:46:07,10,71.7,66.7,76.7,73.3,71.3,474963.63,658430.0,71.5,10.0,0.0,0.0,239373.7,89540.5,149833.2,83471848.9,36193912.4,71.5,71.6,4640.0,1040.0,71.4,71.7,11490.0,5600.0,71.3,71.8,20670.0,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-05T14:28:19.384381+07:00,14:28:19,10,71.5,66.5,76.5,72.2,70.2,455382.88,641220.0,70.4,30.0,0.0,0.0,133321.1,57928.4,75392.70000000001,83471848.9,36148590.1,70.4,70.5,5410.0,3750.0,70.3,70.6,9970.0,1850.0,70.2,70.7,34110.0,3520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-05T17:48:06.944659+07:00,14:46:08,10,71.5,66.5,76.5,72.2,70.2,488108.22,687760.0,70.3,80.0,0.0,0.0,148611.1,59898.4,88712.70000000001,83471848.9,36133830.1,70.3,70.4,1550.0,1370.0,70.2,70.5,9620.0,2980.0,70.1,70.6,16440.0,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-06T14:29:00.523641+07:00,14:29:00,10,70.3,65.4,75.2,71.4,70.4,315933.64,445540.0,70.8,10.0,0.0,0.0,151423.4,114430.0,36993.4,83471848.9,36072298.2,70.7,70.8,2430.0,1520.0,70.6,70.9,2120.0,1620.0,70.5,71.0,6330.0,6380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-06T17:50:44.155610+07:00,14:46:08,10,70.3,65.4,75.2,71.4,70.4,328257.13,462970.0,70.7,20.0,0.0,0.0,158153.4,122720.0,35433.399999999994,83471848.9,36066018.2,70.7,70.8,1070.0,1900.0,70.6,70.9,10140.0,1710.0,70.5,71.0,6300.0,9050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-07T13:02:07.889650+07:00,13:02:06,10,70.7,65.8,75.6,71.7,70.3,196710.19,277010.0,71.0,40.0,0.0,0.0,34213.3,73871.3,-39658.0,83471848.9,36168987.4,71.0,71.1,5480.0,2880.0,70.9,71.2,5200.0,4100.0,70.8,71.3,3930.0,4520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-07T16:16:42.176885+07:00,14:46:07,10,70.7,65.8,75.6,71.7,70.3,305390.27,430180.0,70.8,30.0,0.0,0.0,45429.3,120871.3,-75442.0,83471848.9,36145871.4,70.8,70.9,2010.0,1310.0,70.7,71.0,8040.0,9800.0,70.6,71.1,25590.0,5800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-10T13:03:35.879902+07:00,13:03:34,10,70.8,65.9,75.7,72.0,70.7,196862.49,275790.0,71.6,10.0,0.0,0.0,56874.9,104300.0,-47425.1,83471848.9,36145665.8,71.6,71.7,1820.0,5330.0,71.5,71.8,13380.0,2130.0,71.4,71.9,3710.0,11630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-10T16:48:41.462635+07:00,14:46:08,10,70.8,65.9,75.7,72.0,70.7,375432.61,525210.0,71.8,1270.0,0.0,0.0,77978.9,192977.5,-114998.6,83471848.9,36114671.8,71.6,71.8,60.0,7210.0,71.5,71.9,5650.0,10850.0,71.4,72.0,1880.0,47090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-11T12:43:52.598102+07:00,11:30:06,10,71.8,66.8,76.8,73.1,71.0,354748.67,491850.0,72.1,140.0,0.0,0.0,55943.6,122645.0,-66701.4,84001994.6,36676844.9,72.0,72.1,2470.0,2980.0,71.9,72.2,5360.0,1080.0,71.8,72.3,10470.0,3140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,2026-08-11T16:14:59.604910+07:00,14:54:07,10,71.8,66.8,76.8,73.1,71.0,499662.22,693680.0,71.2,30.0,0.0,0.0,77182.8,222480.5,-145297.7,84001994.6,36646098.0,71.2,71.3,6460.0,310.0,71.1,71.6,20330.0,730.0,71.0,71.7,40820.0,2960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
