Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
GAS,2026-07-19T11:59:11.345862+07:00,14:45:03,10,77.4,72.0,82.8,77.4,76.0,43492.93,56980.0,76.2,300.0,0.0,0.0,2270.0,20620.0,-18350.0,118234538.0,113271563.3,76.2,76.3,2080.0,150.0,76.1,76.4,2840.0,100.0,76.0,76.5,12260.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-07-19T12:01:50.221035+07:00,14:45:03,10,77.4,72.0,82.8,77.4,76.0,43492.93,56980.0,76.2,300.0,0.0,0.0,2270.0,20620.0,-18350.0,118234538.0,113271563.3,76.2,76.3,2080.0,150.0,76.1,76.4,2840.0,100.0,76.0,76.5,12260.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-08-01T00:56:34.521495+07:00,14:46:07,10,68.7,63.9,73.5,69.8,68.1,66795.79,96860.0,68.6,20.0,0.0,0.0,15741.0,8440.0,7301.0,118234538.0,113361013.4,68.6,68.7,1750.0,300.0,68.5,68.8,1330.0,340.0,68.4,68.9,260.0,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-08-03T15:05:36.921306+07:00,14:46:09,10,68.6,63.8,73.4,71.2,68.1,80807.62,115050.0,71.2,180.0,0.0,0.0,45572.0,4841.4,40730.6,118234538.0,113323871.4,71.1,71.2,10.0,2850.0,70.9,71.3,40.0,1330.0,70.8,71.4,20.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-08-03T18:45:18.196082+07:00,14:46:09,10,68.6,63.8,73.4,71.2,68.1,80807.62,115050.0,71.2,180.0,0.0,0.0,45572.0,4841.4,40730.6,118234538.0,113323871.4,71.1,71.2,10.0,2850.0,70.9,71.3,40.0,1330.0,70.8,71.4,20.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-08-04T14:27:49.816180+07:00,14:27:48,10,71.2,66.3,76.1,71.2,69.2,50677.23,72380.0,70.0,10.0,0.0,0.0,11310.0,11413.0,-103.0,118234538.0,113317082.8,70.0,70.1,260.0,710.0,69.9,70.2,50.0,1140.0,69.8,70.3,530.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-08-04T17:52:00.181394+07:00,14:46:08,10,71.2,66.3,76.1,71.2,69.2,59703.23,85290.0,69.9,500.0,0.0,0.0,15940.0,11793.0,4147.0,118234538.0,113312212.8,69.9,70.0,620.0,510.0,69.8,70.1,160.0,170.0,69.7,70.2,440.0,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-08-05T14:28:19.384381+07:00,14:28:17,10,69.9,65.1,74.7,70.5,68.9,71496.78,102920.0,70.0,10.0,0.0,0.0,22230.0,33730.0,-11500.0,118234538.0,113302475.8,70.0,70.2,1850.0,650.0,69.9,70.3,3640.0,580.0,69.8,70.4,1200.0,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-08-05T17:48:06.944659+07:00,14:46:08,10,69.9,65.1,74.7,70.5,68.9,79183.89,113830.0,70.5,100.0,0.0,0.0,23230.0,33850.0,-10620.0,118234538.0,113301475.8,70.5,70.6,4290.0,220.0,70.2,70.7,10.0,190.0,70.1,70.8,270.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS,2026-08-06T14:29:00.523641+07:00,14:28:57,10,70.5,65.6,75.4,71.4,69.8,44607.44,63230.0,70.4,10.0,0.0,0.0,8547.1,10242.4,-1695.2999999999993,118234538.0,113321958.7,70.1,70.4,210.0,430.0,70.0,70.5,200.0,20.0,69.9,70.6,150.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
