Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
HPG,2026-07-19T11:59:11.345862+07:00,14:46:11,10,22.2,20.65,23.75,22.35,21.85,374629.0,1700630.0,21.85,10.0,0.0,0.0,212372.3,293877.7,-81505.40000000002,413705261.4,233708665.2,21.8,21.85,85060.0,104730.0,21.75,21.9,17430.0,5900.0,21.7,21.95,41090.0,6050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-07-19T12:01:50.221035+07:00,14:46:11,10,22.2,20.65,23.75,22.35,21.85,374629.0,1700630.0,21.85,10.0,0.0,0.0,212372.3,293877.7,-81505.40000000002,413705261.4,233708665.2,21.8,21.85,85060.0,104730.0,21.75,21.9,17430.0,5900.0,21.7,21.95,41090.0,6050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-08-01T00:56:34.521495+07:00,14:46:10,10,21.8,20.3,23.3,21.85,21.4,520879.895,2411150.0,21.7,50.0,0.0,0.0,280727.3,470987.2,-190259.9,413705261.4,231424836.4,21.65,21.7,30.0,15740.0,21.6,21.75,110.0,13070.0,21.55,21.8,230.0,80050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-08-03T15:05:36.921306+07:00,14:46:12,10,21.7,20.2,23.2,22.65,21.65,991165.785,4444800.0,22.55,500.0,0.0,0.0,1659555.1,389280.2,1270274.9,413705261.4,230085457.6,22.5,22.55,2840.0,33490.0,22.45,22.6,2380.0,49830.0,22.4,22.65,15360.0,79500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-08-03T18:45:18.196082+07:00,14:46:12,10,21.7,20.2,23.2,22.65,21.65,991165.785,4444800.0,22.55,500.0,0.0,0.0,1659555.1,389280.2,1270274.9,413705261.4,230085457.6,22.5,22.55,2840.0,33490.0,22.45,22.6,2380.0,49830.0,22.4,22.65,15360.0,79500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-08-04T14:27:49.816180+07:00,14:27:49,10,22.55,21.0,24.1,22.6,22.1,459318.19,2062200.0,22.25,70.0,0.0,0.0,552085.5,344282.1,207803.4,413705261.4,229958072.3,22.25,22.3,24500.0,25240.0,22.2,22.35,41080.0,25850.0,22.15,22.4,35190.0,22200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-08-04T17:52:00.181394+07:00,14:46:11,10,22.55,21.0,24.1,22.6,22.1,505240.065,2269400.0,22.15,30.0,0.0,0.0,564801.5,411002.1,153799.40000000002,413705261.4,229947547.3,22.15,22.2,42150.0,4490.0,22.1,22.25,91120.0,240.0,22.05,22.3,70290.0,12730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-08-05T14:28:19.384381+07:00,14:28:18,10,22.15,20.6,23.7,22.6,21.95,577723.06,2601860.0,22.0,50.0,0.0,0.0,465283.0,300742.6,164540.40000000002,413705261.4,230064161.3,22.0,22.05,35780.0,18650.0,21.95,22.1,160950.0,26120.0,21.9,22.15,78680.0,28490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-08-05T17:48:06.944659+07:00,14:46:11,10,22.15,20.6,23.7,22.6,21.95,620541.09,2796370.0,22.0,180.0,0.0,0.0,501578.0,310082.6,191495.4,413705261.4,229994011.3,22.0,22.05,19270.0,1700.0,21.95,22.1,168490.0,5500.0,21.9,22.15,80900.0,11840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2026-08-06T14:29:00.523641+07:00,14:28:59,10,22.0,20.5,23.5,22.3,21.85,271059.185,1231900.0,22.0,10.0,0.0,0.0,215034.4,26070.0,188964.4,413705261.4,230130058.5,21.95,22.0,26680.0,18010.0,21.9,22.05,59200.0,22440.0,21.85,22.1,46590.0,15100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
