Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
LPB,2026-07-02T10:16:53.420637+07:00,10:16:50,10,53.1,49.4,56.8,53.9,52.9,11682.71,22000.0,53.1,100.0,0.0,0.0,3750.0,4430.0,-680.0,14936410.5,11550478.3,53.0,53.1,9970.0,110.0,52.9,53.2,4290.0,1630.0,52.8,53.3,8520.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-02T10:20:10.351590+07:00,10:19:52,10,53.1,49.4,56.8,53.9,52.9,11746.43,22120.0,53.1,10.0,0.0,0.0,3750.0,4430.0,-680.0,14936410.5,11550478.3,53.0,53.1,10020.0,10.0,52.9,53.2,4240.0,1630.0,52.8,53.3,8530.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-02T10:25:01.584594+07:00,10:24:51,10,53.1,49.4,56.8,53.9,52.9,11927.17,22460.0,53.2,200.0,0.0,0.0,3750.0,4460.0,-710.0,14936410.5,11550478.3,53.1,53.2,260.0,1430.0,53.0,53.3,10210.0,180.0,52.9,53.4,4200.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-02T10:27:23.042942+07:00,10:27:12,10,53.1,49.4,56.8,53.9,52.9,11953.77,22510.0,53.2,50.0,0.0,0.0,3750.0,4460.0,-710.0,14936410.5,11550478.3,53.1,53.2,410.0,1380.0,53.0,53.3,10290.0,180.0,52.9,53.4,4190.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-02T10:28:44.918181+07:00,10:28:44,10,53.1,49.4,56.8,53.9,52.9,11996.31,22590.0,53.2,60.0,0.0,0.0,3750.0,4460.0,-710.0,14936410.5,11550478.3,53.1,53.2,380.0,1350.0,53.0,53.3,10790.0,180.0,52.9,53.4,4190.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-02T10:51:24.293774+07:00,10:51:14,10,53.1,49.4,56.8,53.9,52.9,13747.07,25890.0,53.1,10.0,0.0,0.0,4400.0,4520.0,-120.0,14936410.5,11549798.3,53.0,53.1,9490.0,720.0,52.9,53.2,4470.0,1470.0,52.8,53.3,8380.0,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-02T10:52:57.711504+07:00,10:52:52,10,53.1,49.4,56.8,53.9,52.9,13752.38,25900.0,53.1,10.0,0.0,0.0,4400.0,4520.0,-120.0,14936410.5,11549798.3,53.0,53.1,9490.0,730.0,52.9,53.2,4470.0,1470.0,52.8,53.3,8370.0,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-13T00:32:33.315221+07:00,14:46:16,10,52.4,48.75,56.0,54.2,52.4,133049.39,249560.0,53.4,240.0,0.0,0.0,8840.0,38340.0,-29500.0,14936410.5,11555386.7,53.2,53.4,2020.0,170.0,53.1,53.5,200.0,11980.0,52.8,53.6,230.0,7400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-19T11:59:11.345862+07:00,14:46:13,10,52.0,48.4,55.6,53.7,51.3,420653.15,795730.0,52.9,180.0,0.0,0.0,86150.0,19100.0,67050.0,14936410.5,11487396.9,52.8,52.9,1350.0,240.0,52.7,53.0,1980.0,27060.0,52.6,53.1,3320.0,1220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,2026-07-19T12:01:50.221035+07:00,14:46:13,10,52.0,48.4,55.6,53.7,51.3,420653.15,795730.0,52.9,180.0,0.0,0.0,86150.0,19100.0,67050.0,14936410.5,11487396.9,52.8,52.9,1350.0,240.0,52.7,53.0,1980.0,27060.0,52.6,53.1,3320.0,1220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
