Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
MBB,2026-07-02T09:43:29.833037+07:00,09:43:29,10,25.75,23.95,27.55,25.9,25.8,56249.035,217550.0,25.85,60.0,0.0,0.0,16380.0,5870.0,10510.0,187158728.3,8477400.9,25.8,25.85,59190.0,1120.0,25.75,25.9,45070.0,31100.0,25.7,25.95,5430.0,38720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-02T10:16:53.420637+07:00,10:16:52,10,25.75,23.95,27.55,25.9,25.8,78009.825,301780.0,25.85,360.0,0.0,0.0,19750.0,10680.0,9070.0,187158728.3,8476020.9,25.8,25.85,57000.0,46690.0,25.75,25.9,37410.0,51160.0,25.7,25.95,15100.0,44860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-02T10:20:10.351590+07:00,10:20:10,10,25.75,23.95,27.55,25.9,25.8,80772.705,312480.0,25.8,100.0,0.0,0.0,22750.0,11110.0,11640.0,187158728.3,8473020.9,25.8,25.85,51950.0,48020.0,25.75,25.9,36950.0,51310.0,25.7,25.95,10950.0,45080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-02T10:25:01.584594+07:00,10:25:00,10,25.75,23.95,27.55,25.9,25.75,95198.885,368390.0,25.8,20.0,0.0,0.0,24430.0,11110.0,13320.0,187158728.3,8473020.9,25.75,25.8,26870.0,3390.0,25.7,25.85,10870.0,17410.0,25.65,25.9,9020.0,60210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-02T10:27:23.042942+07:00,10:27:22,10,25.75,23.95,27.55,25.9,25.75,96976.47,375280.0,25.8,110.0,0.0,0.0,25400.0,11540.0,13860.0,187158728.3,8469790.9,25.8,25.85,3020.0,17900.0,25.75,25.9,26250.0,60470.0,25.7,25.95,12900.0,43150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-02T10:28:44.918181+07:00,10:28:44,10,25.75,23.95,27.55,25.9,25.75,97923.33,378950.0,25.8,10.0,0.0,0.0,27660.0,11540.0,16120.0,187158728.3,8469790.9,25.75,25.8,26030.0,250.0,25.7,25.85,13690.0,20380.0,25.65,25.9,10240.0,60580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-02T10:51:24.293774+07:00,10:51:24,10,25.75,23.95,27.55,25.9,25.7,118977.8,460710.0,25.8,10.0,0.0,0.0,29270.0,13570.0,15700.0,187158728.3,8468260.9,25.75,25.8,18130.0,30840.0,25.7,25.85,11130.0,31000.0,25.65,25.9,12930.0,64950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-02T10:52:57.711504+07:00,10:52:52,10,25.75,23.95,27.55,25.9,25.7,119338.8,462110.0,25.75,300.0,0.0,0.0,29270.0,13570.0,15700.0,187158728.3,8468260.9,25.75,25.8,22250.0,28950.0,25.7,25.85,11120.0,31870.0,25.65,25.9,11600.0,66670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-13T00:32:33.315221+07:00,14:48:16,10,24.6,22.9,26.3,25.0,24.55,259914.46,1050760.0,24.65,20.0,0.0,0.0,512405.1,244786.1,267619.0,187158728.3,8203003.7,24.6,24.65,47280.0,23720.0,24.55,24.7,31500.0,12570.0,24.5,24.75,49410.0,2590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-19T11:59:11.345862+07:00,14:46:13,10,24.15,22.5,25.8,24.1,23.75,247726.91,1039960.0,23.75,130.0,0.0,0.0,75260.5,375197.0,-299936.5,187158728.3,8108240.0,23.75,23.8,31310.0,7110.0,23.7,23.85,74910.0,7590.0,23.65,23.9,78480.0,13530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-07-19T12:01:50.221035+07:00,14:46:13,10,24.15,22.5,25.8,24.1,23.75,247726.91,1039960.0,23.75,130.0,0.0,0.0,75260.5,375197.0,-299936.5,187158728.3,8108240.0,23.75,23.8,31310.0,7110.0,23.7,23.85,74910.0,7590.0,23.65,23.9,78480.0,13530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBB,2026-08-01T00:56:34.521495+07:00,14:46:13,10,22.5,20.95,24.05,23.15,22.5,274629.16,1205020.0,22.5,30.0,0.0,0.0,162449.4,166846.0,-4396.600000000006,187158728.3,9691365.1,22.5,22.55,20360.0,1520.0,22.45,22.6,6620.0,1270.0,22.4,22.65,23360.0,10240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
