Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
MWG,2026-07-19T11:59:11.345862+07:00,14:52:15,10,76.7,71.4,82.0,76.7,75.9,139253.32,182700.0,76.7,10.0,0.0,0.0,76140.0,72808.3,3331.699999999997,72014965.6,0.0,76.5,76.7,40.0,2420.0,76.4,76.8,10.0,5070.0,76.3,76.9,100.0,1390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-07-19T12:01:50.221035+07:00,14:52:15,10,76.7,71.4,82.0,76.7,75.9,139253.32,182700.0,76.7,10.0,0.0,0.0,76140.0,72808.3,3331.699999999997,72014965.6,0.0,76.5,76.7,40.0,2420.0,76.4,76.8,10.0,5070.0,76.3,76.9,100.0,1390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-01T00:56:34.521495+07:00,14:51:14,10,69.8,65.0,74.6,70.5,68.5,316847.79,456290.0,69.9,20.0,0.0,0.0,48760.0,47617.0,1143.0,72374729.4,0.0,69.8,69.9,100.0,3480.0,69.1,70.0,800.0,46410.0,69.0,70.1,2400.0,1430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-03T15:05:36.921306+07:00,14:47:16,10,69.9,65.1,74.7,73.0,69.9,363111.6,509120.0,72.5,140.0,0.0,0.0,36884.0,40382.1,-3498.0999999999985,72374729.4,0.0,72.4,72.5,10.0,1970.0,72.3,72.6,5120.0,2030.0,72.2,72.7,60.0,4710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-03T18:45:18.196082+07:00,14:47:16,10,69.9,65.1,74.7,73.0,69.9,363111.6,509120.0,72.5,140.0,0.0,0.0,36884.0,40382.1,-3498.0999999999985,72374729.4,0.0,72.4,72.5,10.0,1970.0,72.3,72.6,5120.0,2030.0,72.2,72.7,60.0,4710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-04T14:27:49.816180+07:00,14:27:47,10,72.5,67.5,77.5,72.9,71.4,244746.55,340390.0,72.1,200.0,0.0,0.0,927.0,2470.0,-1543.0,72374729.4,0.0,71.9,72.1,2960.0,810.0,71.8,72.2,3270.0,940.0,71.7,72.3,2330.0,1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-04T17:52:00.181394+07:00,14:45:03,10,72.5,67.5,77.5,72.9,71.4,266584.05,370680.0,72.1,100.0,0.0,0.0,927.0,2470.0,-1543.0,72374729.4,0.0,72.1,72.2,320.0,2600.0,72.0,72.3,4360.0,3600.0,71.9,72.4,2720.0,2950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-05T14:28:19.384381+07:00,14:28:19,10,72.1,67.1,77.1,72.9,71.0,243220.74,338600.0,71.5,60.0,0.0,0.0,519824.9,520318.9,-494.0,72374729.4,0.0,71.3,71.4,2720.0,50.0,71.2,71.5,3810.0,1830.0,71.1,71.6,1740.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-05T17:48:06.944659+07:00,14:46:15,10,72.1,67.1,77.1,72.9,71.0,284328.35,395570.0,72.2,20.0,0.0,0.0,519824.9,520788.9,-964.0,72374729.4,0.0,72.1,72.2,1000.0,1560.0,72.0,72.3,5220.0,1930.0,71.8,72.4,2010.0,3160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-06T14:29:00.523641+07:00,14:29:00,10,72.2,67.2,77.2,71.9,69.8,305382.66,432100.0,71.0,20.0,0.0,0.0,37795.1,34050.0,3745.099999999999,72374729.4,0.0,70.6,71.0,30.0,2740.0,70.5,71.1,570.0,910.0,70.4,71.2,540.0,1030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-06T17:50:44.155610+07:00,14:46:16,10,72.2,67.2,77.2,71.9,69.8,377216.67,533010.0,71.2,180.0,0.0,0.0,37795.1,34110.0,3685.099999999999,72374729.4,0.0,71.0,71.2,3000.0,5450.0,70.9,71.3,10.0,4560.0,70.7,71.4,10.0,2800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-07T13:02:07.889650+07:00,13:02:07,10,71.2,66.3,76.1,71.6,70.2,115185.18,162750.0,70.5,200.0,0.0,0.0,47583.0,45938.7,1644.300000000003,72374729.4,0.0,70.5,70.6,4950.0,120.0,70.4,70.7,3480.0,90.0,70.3,70.8,8010.0,4880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-07T16:16:42.176885+07:00,14:45:03,10,71.2,66.3,76.1,71.6,70.2,218680.26,308460.0,71.0,20.0,0.0,0.0,57583.0,56208.7,1374.300000000003,72374729.4,0.0,71.0,71.1,1510.0,2850.0,70.9,71.2,100.0,5900.0,70.8,71.3,330.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-10T13:03:35.879902+07:00,13:03:34,10,71.0,66.1,75.9,72.7,70.7,105841.69,147270.0,72.3,40.0,0.0,0.0,11190.0,10320.0,870.0,72374729.4,0.0,72.2,72.3,10830.0,890.0,72.1,72.4,11120.0,810.0,72.0,72.5,12060.0,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-10T16:48:41.462635+07:00,14:45:03,10,71.0,66.1,75.9,73.8,70.7,336021.34,462840.0,73.0,10.0,0.0,0.0,12070.0,12020.0,50.0,72374729.4,0.0,73.0,73.1,5950.0,15240.0,72.9,73.2,1550.0,3170.0,72.8,73.3,1100.0,2330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-11T12:43:52.598102+07:00,11:29:57,10,73.0,67.9,78.1,73.4,72.3,99322.78,136550.0,73.0,10.0,0.0,0.0,1820.0,710.0,1110.0,72374729.4,0.0,72.9,73.0,10570.0,800.0,72.8,73.1,1410.0,1040.0,72.7,73.2,8470.0,1410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWG,2026-08-11T16:14:59.604910+07:00,14:50:14,10,73.0,67.9,78.1,74.0,72.3,227820.03,312060.0,73.2,20.0,0.0,0.0,12190.0,11180.0,1010.0,72374729.4,0.0,73.2,73.3,20.0,1660.0,73.1,73.4,5660.0,2100.0,73.0,73.5,6380.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
