Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
PLX,2026-07-02T10:16:53.420637+07:00,10:16:52,10,37.45,34.85,40.05,37.45,37.1,9251.285,24810.0,37.3,10.0,0.0,0.0,0.3,5720.0,-5719.7,25877561.6,7809732.5,37.3,37.4,110.0,180.0,37.25,37.45,1390.0,980.0,37.2,37.5,3790.0,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-02T10:20:10.351590+07:00,10:20:05,10,37.45,34.85,40.05,37.45,37.1,9251.285,24810.0,37.3,10.0,0.0,0.0,0.3,5730.0,-5729.7,25877561.6,7809732.5,37.3,37.4,190.0,580.0,37.25,37.45,1390.0,990.0,37.2,37.5,3780.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-02T10:25:01.584594+07:00,10:24:57,10,37.45,34.85,40.05,37.45,37.1,9475.595,25410.0,37.4,330.0,0.0,0.0,0.3,5930.0,-5929.7,25877561.6,7809732.5,37.35,37.4,10.0,930.0,37.3,37.45,200.0,1000.0,37.25,37.5,2390.0,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-02T10:27:23.042942+07:00,10:27:16,10,37.45,34.85,40.05,37.45,37.1,9490.55,25450.0,37.35,10.0,0.0,0.0,10.3,5930.0,-5919.7,25877561.6,7809732.5,37.3,37.35,200.0,410.0,37.25,37.4,2440.0,1230.0,37.2,37.45,3810.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-02T10:28:44.918181+07:00,10:28:38,10,37.45,34.85,40.05,37.45,37.1,9509.225,25500.0,37.35,50.0,0.0,0.0,10.3,5930.0,-5919.7,25877561.6,7809732.5,37.3,37.35,170.0,640.0,37.25,37.4,2440.0,1240.0,37.2,37.45,3850.0,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-02T10:51:24.293774+07:00,10:51:23,10,37.45,34.85,40.05,37.45,37.1,11561.575,31010.0,37.25,240.0,0.0,0.0,20.3,6670.0,-6649.7,25877561.6,7809732.5,37.2,37.25,4180.0,60.0,37.15,37.3,5940.0,1250.0,37.1,37.35,6470.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-02T10:52:57.711504+07:00,10:52:55,10,37.45,34.85,40.05,37.45,37.1,11583.925,31070.0,37.25,50.0,0.0,0.0,20.3,6700.0,-6679.7,25877561.6,7809732.5,37.25,37.3,330.0,1250.0,37.2,37.35,4460.0,190.0,37.15,37.4,5940.0,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-13T00:32:33.315221+07:00,14:46:21,10,36.0,33.5,38.5,36.95,36.0,89877.395,247180.0,36.0,10.0,0.0,0.0,7480.0,27450.0,-19970.0,25877561.6,7809986.0,35.95,36.0,790.0,1960.0,35.9,36.05,2060.0,2610.0,35.85,36.1,470.0,2110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-19T11:59:11.345862+07:00,14:46:17,10,35.9,33.4,38.4,36.0,35.1,35351.945,100170.0,35.2,60.0,0.0,0.0,90.0,30360.0,-30270.0,25877561.6,7815836.0,35.2,35.25,450.0,2010.0,35.15,35.3,3090.0,130.0,35.1,35.35,4620.0,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-07-19T12:01:50.221035+07:00,14:46:17,10,35.9,33.4,38.4,36.0,35.1,35351.945,100170.0,35.2,60.0,0.0,0.0,90.0,30360.0,-30270.0,25877561.6,7815836.0,35.2,35.25,450.0,2010.0,35.15,35.3,3090.0,130.0,35.1,35.35,4620.0,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLX,2026-08-01T00:56:34.521495+07:00,14:46:17,10,33.85,31.5,36.2,34.65,33.3,106594.65,314390.0,33.3,120.0,0.0,0.0,63212.5,17330.0,45882.5,25877561.6,7671020.5,33.3,33.8,2480.0,20.0,33.25,33.85,1920.0,560.0,33.2,33.9,3820.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
