Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
SAB,2026-08-03T18:45:18.196082+07:00,14:46:21,10,43.55,40.55,46.55,44.8,43.55,54355.28,122740.0,44.8,100.0,0.0,0.0,52423.0,5324.0,47099.0,128256237.2,52900563.8,44.5,44.8,10000.0,1110.0,44.45,44.85,60.0,140.0,44.4,44.9,1200.0,1330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-04T14:27:49.816180+07:00,14:27:48,10,44.8,41.7,47.9,45.15,44.25,25732.835,57660.0,44.95,10.0,0.0,0.0,24490.0,14990.0,9500.0,128256237.2,52884637.8,44.95,45.0,70.0,840.0,44.9,45.05,80.0,580.0,44.85,45.1,500.0,2440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-04T17:52:00.181394+07:00,14:46:20,10,44.8,41.7,47.9,45.15,44.25,28753.34,64360.0,45.1,10.0,0.0,0.0,24890.0,16280.0,8610.0,128256237.2,52884307.8,45.0,45.1,620.0,2610.0,44.95,45.15,290.0,1610.0,44.9,45.2,70.0,1480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-05T14:28:19.384381+07:00,14:28:18,10,45.1,41.95,48.25,45.1,44.4,20241.435,45340.0,44.55,10.0,0.0,0.0,305521.0,301190.0,4331.0,128256237.2,52883356.8,44.55,44.6,50.0,160.0,44.5,44.65,980.0,1070.0,44.45,44.7,950.0,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-05T17:48:06.944659+07:00,14:46:20,10,45.1,41.95,48.25,45.1,44.4,21782.96,48810.0,44.4,30.0,0.0,0.0,305831.0,302810.0,3021.0,128256237.2,52883266.8,44.4,44.45,1550.0,30.0,44.35,44.6,660.0,70.0,44.3,44.65,2560.0,950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-06T14:29:00.523641+07:00,14:28:57,10,44.4,41.3,47.5,44.4,43.7,23824.775,54190.0,43.9,10.0,0.0,0.0,4202.1,24860.0,-20657.9,128256237.2,52899164.7,43.85,43.9,10.0,180.0,43.8,43.95,50.0,480.0,43.75,44.0,550.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-06T17:50:44.155610+07:00,14:46:21,10,44.4,41.3,47.5,44.4,43.7,25524.725,58080.0,43.7,30.0,0.0,0.0,4282.1,26600.0,-22317.9,128256237.2,52899094.7,43.7,43.75,1190.0,60.0,43.65,43.9,340.0,50.0,43.6,43.95,1020.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-07T13:02:07.889650+07:00,13:02:04,10,43.7,40.65,46.75,45.3,43.7,22947.835,51300.0,44.85,10.0,0.0,0.0,13897.2,9989.0,3908.2000000000007,128256237.2,52889697.2,44.85,44.9,40.0,710.0,44.75,44.95,180.0,1030.0,44.7,45.0,1020.0,2530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-07T16:16:42.176885+07:00,14:46:20,10,43.7,40.65,46.75,45.3,43.7,34993.58,78250.0,44.75,30.0,0.0,0.0,25787.2,10389.0,15398.2,128256237.2,52875607.2,44.7,44.75,290.0,130.0,44.65,44.8,1160.0,1420.0,44.6,44.85,1290.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAB,2026-08-10T13:03:35.879902+07:00,13:03:35,10,44.75,41.65,47.85,46.55,44.85,69015.86,150150.0,46.05,50.0,0.0,0.0,46631.2,7310.0,39321.2,128256237.2,52841737.4,46.0,46.1,460.0,650.0,45.95,46.15,20.0,410.0,45.9,46.2,880.0,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
