Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
SHB,2026-07-02T10:16:53.420637+07:00,10:16:53,10,13.7,12.75,14.65,13.95,13.65,381166.725,2755060.0,13.85,500.0,0.0,0.0,22250.0,91900.7,-69650.7,143826000.7,124081716.1,13.8,13.85,296190.0,88810.0,13.75,13.9,295350.0,235990.0,13.7,13.95,233220.0,327610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-02T10:20:10.351590+07:00,10:20:09,10,13.7,12.75,14.65,13.95,13.65,381545.505,2757800.0,13.8,200.0,0.0,0.0,22260.0,94100.7,-71840.7,143826000.7,124081706.1,13.8,13.85,294800.0,95180.0,13.75,13.9,297020.0,250040.0,13.7,13.95,241870.0,340730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-02T10:25:01.584594+07:00,10:24:57,10,13.7,12.75,14.65,13.95,13.65,383064.56,2768790.0,13.85,90.0,0.0,0.0,22260.0,97050.7,-74790.7,143826000.7,124081696.1,13.8,13.85,292620.0,120450.0,13.75,13.9,296170.0,250710.0,13.7,13.95,239700.0,327310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-02T10:27:23.042942+07:00,10:27:18,10,13.7,12.75,14.65,13.95,13.65,383180.68,2769630.0,13.85,40.0,0.0,0.0,22260.0,99360.7,-77100.7,143826000.7,124081696.1,13.8,13.85,292990.0,124160.0,13.75,13.9,296170.0,252150.0,13.7,13.95,241220.0,326730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-02T10:28:44.918181+07:00,10:28:44,10,13.7,12.75,14.65,13.95,13.65,383280.095,2770350.0,13.8,100.0,0.0,0.0,22260.0,99480.7,-77220.7,143826000.7,124081686.1,13.8,13.85,292240.0,125640.0,13.75,13.9,299180.0,252510.0,13.7,13.95,241700.0,332230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-02T10:51:24.293774+07:00,10:51:23,10,13.7,12.75,14.65,13.95,13.65,409332.155,2959080.0,13.8,1500.0,0.0,0.0,27310.0,162750.7,-135440.7,143826000.7,124074246.1,13.75,13.8,296190.0,45170.0,13.7,13.85,245490.0,154070.0,13.65,13.9,294490.0,224170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-02T10:52:57.711504+07:00,10:52:57,10,13.7,12.75,14.65,13.95,13.65,414598.185,2997240.0,13.75,100.0,0.0,0.0,32120.0,166100.7,-133980.7,143826000.7,124069016.1,13.75,13.8,293690.0,65790.0,13.7,13.85,238850.0,175190.0,13.65,13.9,294880.0,222520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-13T00:32:33.315221+07:00,14:46:23,10,13.35,12.45,14.25,13.35,13.15,485633.33,3676160.0,13.15,20.0,0.0,0.0,49067.3,68935.6,-19868.300000000003,143826000.7,125536386.2,13.15,13.2,237280.0,175780.0,13.1,13.25,430380.0,151360.0,13.05,13.3,356100.0,270860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-19T11:59:11.345862+07:00,14:46:19,10,12.7,11.85,13.55,12.75,12.55,332523.7,2636970.0,12.65,20.0,0.0,0.0,44940.0,167030.0,-122090.0,160326000.7,140399643.4,12.6,12.65,5040.0,203110.0,12.55,12.7,603660.0,183750.0,12.5,12.75,409310.0,122560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHB,2026-07-19T12:01:50.221035+07:00,14:46:19,10,12.7,11.85,13.55,12.75,12.55,332523.7,2636970.0,12.65,20.0,0.0,0.0,44940.0,167030.0,-122090.0,160326000.7,140399643.4,12.6,12.65,5040.0,203110.0,12.55,12.7,603660.0,183750.0,12.5,12.75,409310.0,122560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
