Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
STB,2026-07-02T10:16:53.420637+07:00,10:16:45,10,73.2,68.1,78.3,74.1,73.0,26836.53,36520.0,73.2,10.0,0.0,0.0,740.0,3640.0,-2900.0,56556471.4,34848676.3,73.2,73.4,1220.0,950.0,73.1,73.5,490.0,1050.0,73.0,73.6,6120.0,2180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-02T10:20:10.351590+07:00,10:20:10,10,73.2,68.1,78.3,74.1,73.0,29945.07,40770.0,73.1,10.0,0.0,0.0,850.0,3640.0,-2790.0,56556471.4,34848606.3,73.0,73.1,5030.0,1370.0,72.9,73.2,3180.0,4340.0,72.8,73.3,3000.0,1130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-02T10:25:01.584594+07:00,10:25:01,10,73.2,68.1,78.3,74.1,73.0,31633.68,43080.0,73.2,100.0,0.0,0.0,910.0,3640.0,-2730.0,56556471.4,34848516.3,73.1,73.2,1860.0,4670.0,73.0,73.3,5210.0,2130.0,72.9,73.4,3240.0,3280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-02T10:27:23.042942+07:00,10:27:16,10,73.2,68.1,78.3,74.1,73.0,32174.74,43820.0,73.1,60.0,0.0,0.0,950.0,3640.0,-2690.0,56556471.4,34848476.3,73.1,73.2,1190.0,4700.0,73.0,73.3,5370.0,2130.0,72.9,73.4,3310.0,3280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-02T10:28:44.918181+07:00,10:28:44,10,73.2,68.1,78.3,74.1,73.0,32277.22,43960.0,73.2,100.0,0.0,0.0,970.0,3640.0,-2670.0,56556471.4,34848436.3,73.1,73.2,1440.0,4590.0,73.0,73.3,5350.0,2130.0,72.9,73.4,3300.0,3280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-02T10:51:24.293774+07:00,10:51:21,10,73.2,68.1,78.3,74.1,73.0,42148.17,57470.0,73.1,20.0,0.0,0.0,2400.0,4180.0,-1780.0,56556471.4,34847006.3,73.0,73.1,1620.0,2770.0,72.9,73.2,4390.0,4470.0,72.8,73.3,5320.0,5210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-02T10:52:57.711504+07:00,10:52:50,10,73.2,68.1,78.3,74.1,73.0,42308.8,57690.0,73.1,10.0,0.0,0.0,2420.0,4180.0,-1760.0,56556471.4,34846976.3,73.0,73.1,1590.0,2840.0,72.9,73.2,4360.0,4470.0,72.8,73.3,5360.0,5210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-13T00:32:33.315221+07:00,14:46:24,10,71.0,66.1,75.9,71.8,70.1,151877.64,214530.0,70.1,20.0,0.0,0.0,35806.6,48393.6,-12587.0,56556471.4,35035482.3,70.1,70.2,3030.0,800.0,70.0,70.3,5670.0,740.0,69.9,70.4,470.0,1270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-19T11:59:11.345862+07:00,14:46:20,10,71.8,66.8,76.8,74.2,71.6,522134.46,709720.0,73.5,500.0,0.0,0.0,40030.0,69050.0,-29020.0,56556471.4,34944026.3,73.2,73.5,500.0,1220.0,73.1,73.6,2520.0,6010.0,73.0,73.7,12100.0,3560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB,2026-07-19T12:01:50.221035+07:00,14:46:20,10,71.8,66.8,76.8,74.2,71.6,522134.46,709720.0,73.5,500.0,0.0,0.0,40030.0,69050.0,-29020.0,56556471.4,34944026.3,73.2,73.5,500.0,1220.0,73.1,73.6,2520.0,6010.0,73.0,73.7,12100.0,3560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
