Ticker,FetchedAt,PriceboardTime,BasicPrice,MatchPrice,CurrentPrice,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,FloorCode,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchVolume,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
VIC,2026-07-13T00:32:33.315221+07:00,14:50:31,221.0,223.0,0.0,222.9,223.0,90.0,510.0,222.8,223.1,360.0,710.0,222.7,223.2,670.0,950.0,10.0,205.6,236.4,224.7,220.8,888642.84,399910.0,90.0,0.0,817405.0,56646.2,760758.8,371343689.5,346936597.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-07-19T11:59:11.345862+07:00,14:46:25,223.0,220.0,0.0,219.9,220.0,100.0,5160.0,219.8,220.3,50.0,980.0,219.7,220.7,20.0,440.0,10.0,207.4,238.6,224.0,220.0,630117.26,284520.0,10.0,0.0,59450.2,57165.0,2285.199999999997,371343689.5,346810597.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-07-19T12:01:50.221035+07:00,14:46:25,223.0,220.0,0.0,219.9,220.0,100.0,5160.0,219.8,220.3,50.0,980.0,219.7,220.7,20.0,440.0,10.0,207.4,238.6,224.0,220.0,630117.26,284520.0,10.0,0.0,59450.2,57165.0,2285.199999999997,371343689.5,346810597.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-08-01T00:56:34.521495+07:00,14:48:24,220.0,214.1,0.0,214.1,214.5,1140.0,10.0,214.0,214.9,5080.0,10.0,213.9,215.0,590.0,100.0,10.0,204.6,235.4,223.8,214.1,954698.61,437280.0,230.0,0.0,155575.9,117790.0,37785.9,372721532.0,348065830.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-08-03T15:05:36.921306+07:00,14:46:28,214.1,213.0,0.0,212.9,213.0,180.0,570.0,212.8,213.1,1000.0,1310.0,212.7,213.2,110.0,680.0,10.0,199.2,229.0,216.3,212.0,893869.89,417990.0,20.0,0.0,55131.0,73957.0,-18826.0,372721532.0,348123147.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-08-03T18:45:18.196082+07:00,14:46:28,214.1,213.0,0.0,212.9,213.0,180.0,570.0,212.8,213.1,1000.0,1310.0,212.7,213.2,110.0,680.0,10.0,199.2,229.0,216.3,212.0,893869.89,417990.0,20.0,0.0,55131.0,73957.0,-18826.0,372721532.0,348123147.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-08-04T14:27:49.816180+07:00,14:27:48,213.0,217.7,0.0,217.6,217.7,1790.0,180.0,217.5,217.8,380.0,1230.0,217.4,217.9,490.0,1430.0,10.0,198.1,227.9,221.5,212.4,1038815.76,476750.0,20.0,0.0,250380.0,37686.6,212693.4,372721532.0,347925083.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-08-04T17:52:00.181394+07:00,14:46:27,213.0,218.0,0.0,218.0,218.1,2770.0,800.0,217.9,218.2,1210.0,1010.0,217.8,218.3,510.0,770.0,10.0,198.1,227.9,221.5,212.4,1130392.76,518760.0,10.0,0.0,263200.0,62396.6,200803.4,372721532.0,347912163.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-08-05T14:28:19.384381+07:00,14:28:18,218.0,219.8,0.0,219.7,219.8,230.0,650.0,219.5,220.0,480.0,8970.0,219.4,220.1,200.0,1880.0,10.0,202.8,233.2,221.6,218.6,1246845.84,566520.0,10.0,0.0,101990.0,38580.8,63409.2,372721532.0,347880267.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2026-08-05T17:48:06.944659+07:00,14:46:26,218.0,220.0,0.0,219.9,220.0,20.0,9220.0,219.8,220.1,1020.0,1970.0,219.7,220.2,700.0,2250.0,10,202.8,233.2,221.6,218.6,1370731.09,622840.0,20.0,0.0,107880.0,40830.8,67049.2,372721532.0,347874517.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
