Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
VPB,2026-08-05T14:28:19.384381+07:00,14:28:19,10,25.65,23.9,27.4,26.0,25.5,334031.0,1298090.0,25.5,3120.0,0.0,0.0,4390.0,362430.0,-358040.0,238017708.0,53282697.4,25.5,25.55,8620.0,100.0,25.45,25.6,14580.0,1080.0,25.4,25.65,6050.0,4610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-05T17:48:06.944659+07:00,14:46:27,10,25.65,23.9,27.4,26.0,25.5,359702.09,1398710.0,25.5,40.0,0.0,0.0,4430.0,389470.0,-385040.0,238017708.0,53282697.4,25.5,25.6,18610.0,550.0,25.45,25.65,17510.0,2080.0,25.4,25.7,16710.0,13300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-06T14:29:00.523641+07:00,14:29:00,10,25.5,23.75,27.25,25.5,25.0,335568.48,1328840.0,25.2,130.0,0.0,0.0,57719.3,513350.0,-455630.7,238017708.0,53526154.1,25.2,25.25,510.0,9370.0,25.1,25.3,540.0,12010.0,25.05,25.35,14640.0,3240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-06T17:50:44.155610+07:00,14:46:30,10,25.5,23.75,27.25,25.5,25.0,354815.9,1405370.0,25.15,50.0,0.0,0.0,60819.3,538050.0,-477230.7,238017708.0,53522994.1,25.1,25.15,8160.0,8340.0,25.05,25.2,12790.0,5510.0,25.0,25.25,53790.0,13970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-07T13:02:07.889650+07:00,13:02:07,10,25.15,23.4,26.9,25.1,24.65,315935.145,1272310.0,24.8,20.0,0.0,0.0,51885.0,482780.0,-430895.0,238017708.0,53894325.2,24.75,24.8,63560.0,35410.0,24.7,24.85,103810.0,66550.0,24.65,24.9,62620.0,23150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-07T16:16:42.176885+07:00,14:46:27,10,25.15,23.4,26.9,25.1,24.65,601667.085,2418710.0,25.0,50.0,0.0,0.0,91645.0,914380.0,-822735.0,238017708.0,53846545.2,25.0,25.05,15620.0,8750.0,24.95,25.1,44650.0,13870.0,24.9,25.15,71830.0,14800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-10T13:03:35.879902+07:00,13:03:35,10,25.0,23.25,26.75,25.6,25.1,153505.095,605020.0,25.55,10.0,0.0,0.0,152390.0,161670.0,-9280.0,238017708.0,54173480.2,25.55,25.6,11270.0,3190.0,25.5,25.65,11150.0,12040.0,25.45,25.7,5350.0,12290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-10T16:48:41.462635+07:00,14:46:29,10,25.0,23.25,26.75,25.85,25.1,457642.79,1788120.0,25.85,800.0,0.0,0.0,320738.6,443100.0,-122361.40000000002,238017708.0,54006031.6,25.8,25.85,11840.0,27520.0,25.75,25.9,100.0,45240.0,25.7,25.95,13450.0,40250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-11T12:43:52.598102+07:00,11:30:23,10,25.85,24.05,27.65,26.0,25.75,110880.645,428610.0,25.8,130.0,0.0,0.0,35470.0,96870.0,-61400.0,238017708.0,54774410.9,25.8,25.85,40.0,14630.0,25.75,25.9,8330.0,29450.0,25.7,25.95,8870.0,38020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-11T16:14:59.604910+07:00,14:46:26,10,25.85,24.05,27.65,26.0,25.5,256783.59,998820.0,25.5,100.0,0.0,0.0,47460.0,183930.0,-136470.0,238017708.0,54756490.9,25.5,25.55,11540.0,5690.0,25.45,25.6,47310.0,16070.0,25.4,25.65,38450.0,4490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-12T13:07:21.129618+07:00,13:07:17,10,25.5,23.75,27.25,25.8,25.35,125156.645,488710.0,25.55,130.0,0.0,0.0,83820.0,144860.0,-61040.0,238017708.0,55541905.9,25.55,25.6,1100.0,1430.0,25.5,25.65,14270.0,11370.0,25.45,25.7,5350.0,24390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-12T16:33:17.632093+07:00,14:46:25,10,25.5,23.75,27.25,25.8,25.35,191834.99,749470.0,25.7,780.0,0.0,0.0,132080.0,179960.0,-47880.0,238017708.0,55492785.9,25.65,25.7,7000.0,16640.0,25.6,25.75,15120.0,21620.0,25.55,25.8,1600.0,49160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-13T13:08:46.226660+07:00,13:08:45,10,25.7,23.95,27.45,25.8,25.6,118108.525,459200.0,25.7,30.0,0.0,0.0,74620.0,170980.0,-96360.0,238017708.0,55674595.2,25.7,25.75,6780.0,24020.0,25.65,25.8,24340.0,41490.0,25.6,25.85,20940.0,38720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-13T16:34:27.002759+07:00,14:46:27,10,25.7,23.95,27.45,25.8,25.2,353582.755,1383960.0,25.35,400.0,0.0,0.0,230332.1,355820.0,-125487.9,238017708.0,55519885.2,25.35,25.4,20510.0,1410.0,25.3,25.45,37060.0,2950.0,25.25,25.5,12590.0,12950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-14T13:06:40.303018+07:00,13:06:40,10,25.35,23.6,27.1,25.35,25.05,112096.51,445230.0,25.15,50.0,0.0,0.0,86200.0,144780.0,-58580.0,238017708.0,55782097.3,25.1,25.15,1960.0,13290.0,25.05,25.2,29100.0,7170.0,25.0,25.25,76130.0,11940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-14T16:21:36.461306+07:00,14:47:28,10,25.35,23.6,27.1,25.35,24.85,349351.005,1392630.0,25.1,200.0,0.0,0.0,264630.0,425880.0,-161250.0,238017708.0,55624667.3,25.1,25.15,15150.0,6930.0,25.0,25.2,4620.0,7640.0,24.95,25.25,1740.0,4790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-17T12:23:24.163063+07:00,11:30:24,10,25.1,23.35,26.85,25.2,24.8,153227.395,615240.0,24.8,100.0,0.0,0.0,16390.0,75970.0,-59580.0,238017708.0,55911137.3,24.8,24.85,33750.0,6980.0,24.75,24.9,12960.0,28450.0,24.7,24.95,19880.0,23470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-17T16:01:52.961480+07:00,14:47:27,10,25.1,23.35,26.85,25.2,24.75,300143.345,1206430.0,24.75,100.0,0.0,0.0,210800.0,292590.0,-81790.0,238017708.0,55884427.3,24.75,24.8,11600.0,850.0,24.7,24.9,37350.0,640.0,24.65,24.95,5150.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-18T12:15:36.225135+07:00,11:30:22,10,24.75,23.05,26.45,24.95,24.5,196708.48,796620.0,24.55,180.0,0.0,0.0,23780.0,293370.0,-269590.0,238017708.0,56030405.2,24.55,24.6,8140.0,6930.0,24.5,24.65,107190.0,13280.0,24.45,24.7,52980.0,16320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-18T15:54:20.868269+07:00,14:46:26,10,24.75,23.05,26.45,24.95,24.5,464799.96,1883580.0,24.9,5620.0,0.0,0.0,33680.0,507450.0,-473770.0,238017708.0,56012905.2,24.8,24.9,40.0,4490.0,24.75,24.95,220.0,10720.0,24.7,25.0,1530.0,19280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-19T12:17:07.101306+07:00,11:30:24,10,24.9,23.2,26.6,24.85,24.6,78403.28,317030.0,24.85,1020.0,0.0,0.0,13530.0,131840.0,-118310.0,238017708.0,56200415.2,24.8,24.85,110.0,3510.0,24.7,24.9,7700.0,9430.0,24.65,24.95,45290.0,7020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-19T15:55:24.672063+07:00,14:46:27,10,24.9,23.2,26.6,24.95,24.6,243779.99,982840.0,24.85,10.0,0.0,0.0,28225.1,425623.0,-397397.9,238017708.0,56180160.1,24.85,24.9,15380.0,9660.0,24.8,24.95,40510.0,21090.0,24.75,25.0,37020.0,23970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-20T12:17:27.107189+07:00,11:30:22,10,24.85,23.15,26.55,25.05,24.8,82577.04,331530.0,24.8,10.0,0.0,0.0,12940.0,172350.0,-159410.0,238017708.0,56282785.2,24.8,24.85,38270.0,9550.0,24.75,24.9,38390.0,14910.0,24.7,24.95,42100.0,2800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-20T15:57:16.459439+07:00,14:46:26,10,24.85,23.15,26.55,25.05,24.8,252320.82,1012170.0,24.9,90.0,0.0,0.0,94905.1,444190.0,-349284.9,238017708.0,56190660.1,24.9,24.95,6960.0,3690.0,24.85,25.0,32900.0,34320.0,24.8,25.05,30750.0,16660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-21T12:18:11.997662+07:00,11:30:24,10,24.9,23.2,26.6,25.1,24.75,85906.0,344440.0,25.05,10.0,0.0,0.0,24340.0,94890.0,-70550.0,238017708.0,56744665.2,25.05,25.1,7710.0,21860.0,25.0,25.15,26070.0,13190.0,24.95,25.2,28960.0,21070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-21T15:59:06.600548+07:00,14:46:27,10,24.9,23.2,26.6,25.7,24.75,352440.8,1391480.0,25.7,20.0,0.0,0.0,153850.0,366590.0,-212740.0,238017708.0,56605415.2,25.65,25.7,6900.0,4520.0,25.6,25.75,3250.0,15210.0,25.55,25.8,6140.0,21650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-24T12:26:27.569420+07:00,11:30:23,10,25.7,23.95,27.45,26.4,25.9,225325.005,863550.0,26.15,50.0,0.0,0.0,106030.0,70170.0,35860.0,238017708.0,57023043.1,26.15,26.2,12310.0,44150.0,26.1,26.25,20020.0,13910.0,26.05,26.3,29120.0,31720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-24T16:06:36.156987+07:00,14:46:27,10,25.7,23.95,27.45,26.5,25.9,505871.315,1927930.0,26.35,50.0,0.0,0.0,353423.2,98394.9,255028.3,238017708.0,56681249.9,26.3,26.35,115350.0,2270.0,26.25,26.4,8430.0,47440.0,26.2,26.45,25020.0,49220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-25T12:19:45.695089+07:00,11:29:59,10,26.35,24.55,28.15,26.65,26.25,198336.485,749010.0,26.55,50.0,0.0,0.0,73540.0,47800.0,25740.0,238017708.0,57173299.7,26.5,26.55,13840.0,2890.0,26.45,26.6,15940.0,66090.0,26.4,26.65,13520.0,43930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-25T16:01:23.863401+07:00,14:46:28,10,26.35,24.55,28.15,26.65,26.15,430669.635,1630920.0,26.4,10.0,0.0,0.0,125530.0,95000.1,30529.9,238017708.0,57114899.7,26.35,26.4,19160.0,11330.0,26.3,26.45,2170.0,39360.0,26.25,26.5,140.0,57840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-26T12:19:13.966072+07:00,11:30:22,10,26.4,24.6,28.2,26.4,26.15,95555.115,364020.0,26.15,40.0,0.0,0.0,47940.0,106570.0,-58630.0,238017708.0,57382359.8,26.15,26.2,21690.0,2000.0,26.1,26.25,32290.0,11870.0,26.05,26.3,16230.0,12160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-26T16:02:49.097068+07:00,14:46:27,10,26.4,24.6,28.2,26.8,26.1,434890.925,1639810.0,26.75,10.0,0.0,0.0,169521.0,206080.1,-36559.100000000006,238017708.0,57256829.8,26.75,26.8,2490.0,72810.0,26.7,26.85,3110.0,33670.0,26.65,26.9,7550.0,74230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-27T22:34:14.076800+07:00,14:46:27,10,26.75,24.9,28.6,27.45,26.7,814117.46,2996270.0,27.4,620.0,0.0,0.0,495240.0,119560.0,375680.0,238017708.0,56879524.8,27.35,27.4,3130.0,24670.0,27.3,27.45,33930.0,99500.0,27.25,27.5,9430.0,148310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPB,2026-08-28T02:05:55.806471+07:00,14:46:27,10,26.75,24.9,28.6,27.45,26.7,814117.46,2996270.0,27.4,620.0,0.0,0.0,495240.0,119560.0,375680.0,238017708.0,56879524.8,27.35,27.4,3130.0,24670.0,27.3,27.45,33930.0,99500.0,27.25,27.5,9430.0,148310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
