Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
VPL,2026-07-02T10:16:53.420637+07:00,10:15:50,10,88.2,82.1,94.3,88.1,87.4,17687.77,20210.0,87.7,150.0,0.0,0.0,0.0,200.0,-200.0,87871718.4,84518349.4,87.7,87.8,50.0,30.0,87.6,88.0,280.0,270.0,87.5,88.1,340.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-02T10:20:10.351590+07:00,10:19:48,10,88.2,82.1,94.3,88.1,87.4,17687.77,20210.0,87.7,150.0,0.0,0.0,0.0,200.0,-200.0,87871718.4,84518349.4,87.7,87.8,50.0,40.0,87.6,88.0,270.0,270.0,87.5,88.1,410.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-02T10:25:01.584594+07:00,10:24:01,10,88.2,82.1,94.3,88.1,87.4,17793.01,20330.0,87.7,70.0,0.0,0.0,0.0,200.0,-200.0,87871718.4,84518349.4,87.7,87.8,90.0,40.0,87.6,88.0,270.0,270.0,87.5,88.1,490.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-02T10:27:23.042942+07:00,10:27:01,10,88.2,82.1,94.3,88.1,87.4,17793.01,20330.0,87.7,70.0,0.0,0.0,0.0,200.0,-200.0,87871718.4,84518349.4,87.7,87.8,90.0,40.0,87.6,88.0,270.0,270.0,87.5,88.1,480.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-02T10:28:44.918181+07:00,10:28:38,10,88.2,82.1,94.3,88.1,87.4,17959.64,20520.0,87.7,100.0,0.0,0.0,0.0,200.0,-200.0,87871718.4,84518349.4,87.6,87.7,220.0,10.0,87.5,87.8,480.0,140.0,87.4,88.0,400.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-02T10:51:24.293774+07:00,10:51:20,10,88.2,82.1,94.3,88.1,87.4,19149.89,21880.0,87.5,10.0,0.0,0.0,0.0,200.0,-200.0,87871718.4,84518349.4,87.5,87.7,540.0,50.0,87.4,87.8,640.0,40.0,87.3,88.0,160.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-02T10:52:57.711504+07:00,10:52:54,10,88.2,82.1,94.3,88.1,87.4,19167.43,21900.0,87.7,10.0,0.0,0.0,0.0,200.0,-200.0,87871718.4,84518349.4,87.5,87.7,570.0,30.0,87.4,87.8,640.0,40.0,87.3,88.0,110.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-13T00:32:33.315221+07:00,14:45:07,10,83.2,77.4,89.0,83.6,82.0,67196.38,81250.0,82.3,30.0,0.0,0.0,1320.0,280.0,1040.0,87871718.4,84506802.3,82.3,82.4,70.0,250.0,82.2,82.5,170.0,10.0,82.1,82.7,310.0,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-19T11:59:11.345862+07:00,14:46:26,10,81.9,76.2,87.6,81.9,79.5,63441.21,78960.0,79.8,390.0,0.0,0.0,2500.2,6370.0,-3869.8,87871718.4,84491452.1,79.8,80.0,360.0,250.0,79.7,80.3,150.0,10.0,79.6,80.4,110.0,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-07-19T12:01:50.221035+07:00,14:46:26,10,81.9,76.2,87.6,81.9,79.5,63441.21,78960.0,79.8,390.0,0.0,0.0,2500.2,6370.0,-3869.8,87871718.4,84491452.1,79.8,80.0,360.0,250.0,79.7,80.3,150.0,10.0,79.6,80.4,110.0,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPL,2026-08-01T00:56:34.521495+07:00,14:46:26,10,79.5,74.0,85.0,80.5,77.4,38009.93,48090.0,79.6,850.0,0.0,0.0,11220.0,4790.0,6430.0,91995068.4,80158697.1,79.0,79.6,100.0,250.0,77.9,79.7,20.0,800.0,77.8,79.8,50.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
