Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
VRE,2026-07-02T09:43:29.833037+07:00,09:43:29,10,28.3,26.35,30.25,28.5,28.3,10813.515,38080.0,28.35,260.0,0.0,0.0,250.0,12360.0,-12110.0,114112102.0,86159798.0,28.35,28.4,11660.0,5190.0,28.3,28.45,8840.0,2310.0,28.25,28.5,2490.0,6020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-02T10:16:53.420637+07:00,10:16:51,10,28.3,26.35,30.25,28.5,28.2,24166.85,85270.0,28.25,100.0,0.0,0.0,470.0,16820.0,-16350.0,114112102.0,86159518.0,28.25,28.3,1820.0,1490.0,28.2,28.35,7260.0,6760.0,28.15,28.4,4550.0,7670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-02T10:20:10.351590+07:00,10:20:09,10,28.3,26.35,30.25,28.5,28.2,24525.665,86540.0,28.3,40.0,0.0,0.0,510.0,17080.0,-16570.0,114112102.0,86159488.0,28.25,28.3,1650.0,2630.0,28.2,28.35,7440.0,7060.0,28.15,28.4,4700.0,7570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-02T10:25:01.584594+07:00,10:25:01,10,28.3,26.35,30.25,28.5,28.2,25282.52,89220.0,28.2,10.0,0.0,0.0,510.0,17900.0,-17390.0,114112102.0,86159488.0,28.2,28.25,8080.0,1090.0,28.15,28.3,6540.0,2690.0,28.1,28.35,8680.0,7060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-02T10:27:23.042942+07:00,10:27:22,10,28.3,26.35,30.25,28.5,28.2,26058.895,91970.0,28.25,80.0,0.0,0.0,530.0,18330.0,-17800.0,114112102.0,86159478.0,28.25,28.3,2330.0,2460.0,28.2,28.35,10300.0,7110.0,28.15,28.4,6170.0,7580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-02T10:28:44.918181+07:00,10:28:43,10,28.3,26.35,30.25,28.5,28.2,26722.3,94320.0,28.25,10.0,0.0,0.0,530.0,18810.0,-18280.0,114112102.0,86159458.0,28.2,28.25,9190.0,320.0,28.15,28.3,7200.0,3270.0,28.1,28.35,8930.0,7110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-02T10:51:24.293774+07:00,10:51:22,10,28.3,26.35,30.25,28.5,28.2,32029.845,113110.0,28.3,120.0,0.0,0.0,2060.0,21220.0,-19160.0,114112102.0,86157358.0,28.3,28.35,1140.0,5070.0,28.25,28.4,6510.0,7580.0,28.2,28.45,18350.0,3850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-02T10:52:57.711504+07:00,10:52:54,10,28.3,26.35,30.25,28.5,28.2,32134.64,113480.0,28.35,50.0,0.0,0.0,2680.0,21220.0,-18540.0,114112102.0,86157358.0,28.3,28.35,1600.0,3450.0,28.25,28.4,6810.0,7580.0,28.2,28.45,25060.0,5220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-13T00:32:33.315221+07:00,14:46:33,10,26.9,25.05,28.75,27.15,26.3,127893.2,481130.0,26.35,390.0,0.0,0.0,73977.8,207800.0,-133822.2,114112102.0,86256234.9,26.35,26.4,5520.0,1200.0,26.3,26.45,9210.0,300.0,26.25,26.5,4000.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-19T11:59:11.345862+07:00,14:46:27,10,25.05,23.3,26.8,25.25,24.55,96907.48,391260.0,24.55,230.0,0.0,0.0,28330.0,226350.0,-198020.0,114112102.0,86588002.0,24.55,24.6,5560.0,6130.0,24.5,24.65,19200.0,1400.0,24.45,24.7,690.0,1040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRE,2026-07-19T12:01:50.221035+07:00,14:46:27,10,25.05,23.3,26.8,25.25,24.55,96907.48,391260.0,24.55,230.0,0.0,0.0,28330.0,226350.0,-198020.0,114112102.0,86588002.0,24.55,24.6,5560.0,6130.0,24.5,24.65,19200.0,1400.0,24.45,24.7,690.0,1040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
