t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1784081700,22.85,22.85,22.8,22.8,42000,2026-07-15,,,,,,,,
1784081760,22.8,22.8,22.8,22.8,11100,2026-07-15,,,,,,,,
1784081820,22.85,22.85,22.75,22.85,14800,2026-07-15,,,,,,,,
1784081880,22.85,22.85,22.8,22.8,18200,2026-07-15,,,,,,,,
1784081940,22.8,22.85,22.8,22.8,11500,2026-07-15,,,,,,,,
1784082000,22.85,22.85,22.8,22.85,23800,2026-07-15,,,,,,,,
1784082060,22.8,22.9,22.8,22.9,23700,2026-07-15,,,,,,,,
1784082120,22.9,22.95,22.9,22.9,28800,2026-07-15,,,,,,,,
1784082180,22.95,22.95,22.9,22.95,14800,2026-07-15,,,,,,,,
1784082240,22.95,22.95,22.9,22.9,23700,2026-07-15,,,,,,,,
1784082300,22.9,22.95,22.9,22.9,23200,2026-07-15,,,,,,,,
1784082360,22.95,23.0,22.9,23.0,39200,2026-07-15,,,,,,,,
1784082420,23.0,23.05,22.95,23.0,142700,2026-07-15,,,,,,,,
1784082480,23.0,23.05,23.0,23.0,28000,2026-07-15,,,,,,,,
1784082540,23.0,23.05,23.0,23.0,43600,2026-07-15,,,,,,,,
1784082600,23.05,23.05,23.0,23.0,98600,2026-07-15,,,,,,,,
1784082660,23.0,23.05,23.0,23.05,15600,2026-07-15,,,,,,,,
1784082720,23.05,23.05,22.95,23.0,111800,2026-07-15,,,,,,,,
1784082780,22.95,23.0,22.95,22.95,35700,2026-07-15,,,,,,,,
1784082840,22.95,23.0,22.95,22.95,20300,2026-07-15,,,,,,,,
1784082900,22.95,23.0,22.95,22.95,25200,2026-07-15,,,,,,,,
1784082960,22.95,23.0,22.95,22.95,3000,2026-07-15,,,,,,,,
1784083020,23.0,23.0,22.95,22.95,5000,2026-07-15,,,,,,,,
1784083080,22.95,23.0,22.95,22.95,60100,2026-07-15,,,,,,,,
1784083140,23.0,23.0,22.95,23.0,9400,2026-07-15,,,,,,,,
1784083200,22.95,22.95,22.95,22.95,39900,2026-07-15,,,,,,,,
1784083260,22.95,22.95,22.95,22.95,19200,2026-07-15,,,,,,,,
1784083320,22.95,22.95,22.95,22.95,44100,2026-07-15,,,,,,,,
1784083380,22.95,22.95,22.9,22.9,61200,2026-07-15,,,,,,,,
1784083440,22.9,22.95,22.9,22.9,2700,2026-07-15,,,,,,,,
1784083500,22.9,22.95,22.9,22.9,9400,2026-07-15,,,,,,,,
1784083560,22.95,22.95,22.9,22.9,34200,2026-07-15,,,,,,,,
1784083620,22.9,22.95,22.9,22.9,31500,2026-07-15,,,,,,,,
1784083680,22.9,22.95,22.9,22.9,58600,2026-07-15,,,,,,,,
1784083740,22.95,22.95,22.9,22.9,5300,2026-07-15,,,,,,,,
1784083800,22.9,22.95,22.9,22.9,3400,2026-07-15,,,,,,,,
1784083860,22.9,22.95,22.9,22.95,13900,2026-07-15,,,,,,,,
1784083920,22.9,22.95,22.9,22.9,42800,2026-07-15,,,,,,,,
1784083980,22.95,22.95,22.9,22.9,4800,2026-07-15,,,,,,,,
1784084040,22.9,22.95,22.9,22.95,12400,2026-07-15,,,,,,,,
1784084100,22.9,22.95,22.9,22.95,85300,2026-07-15,,,,,,,,
1784084160,22.95,23.0,22.95,23.0,24300,2026-07-15,,,,,,,,
1784084220,22.95,23.0,22.95,22.95,1700,2026-07-15,,,,,,,,
1784084280,22.95,23.0,22.95,22.95,33700,2026-07-15,,,,,,,,
1784084340,22.95,23.0,22.95,23.0,41500,2026-07-15,,,,,,,,
1784084400,22.95,23.0,22.95,23.0,20100,2026-07-15,,,,,,,,
1784084460,22.95,22.95,22.95,22.95,1900,2026-07-15,,,,,,,,
1784084520,22.95,22.95,22.95,22.95,2600,2026-07-15,,,,,,,,
1784084580,22.95,23.0,22.95,22.95,65000,2026-07-15,,,,,,,,
1784084640,22.95,23.0,22.95,22.95,35100,2026-07-15,,,,,,,,
1784084700,23.0,23.0,22.95,22.95,25000,2026-07-15,,,,,,,,
1784084760,23.0,23.0,22.95,23.0,13400,2026-07-15,,,,,,,,
1784084820,23.0,23.0,22.95,22.95,66600,2026-07-15,,,,,,,,
1784084880,22.95,23.0,22.95,22.95,99300,2026-07-15,,,,,,,,
1784084940,22.95,22.95,22.95,22.95,44900,2026-07-15,,,,,,,,
1784085000,22.95,23.0,22.95,22.95,36400,2026-07-15,,,,,,,,
1784085060,22.95,23.0,22.9,22.9,308200,2026-07-15,,,,,,,,
1784085120,22.9,22.95,22.9,22.9,225800,2026-07-15,,,,,,,,
1784085180,22.9,22.95,22.85,22.85,165500,2026-07-15,,,,,,,,
1784085240,22.85,22.85,22.85,22.85,180500,2026-07-15,,,,,,,,
1784085300,22.85,22.85,22.85,22.85,900,2026-07-15,,,,,,,,
1784085360,22.85,22.85,22.85,22.85,58900,2026-07-15,,,,,,,,
1784085420,22.85,22.9,22.8,22.8,60300,2026-07-15,,,,,,,,
1784085480,22.8,22.8,22.8,22.8,1700,2026-07-15,,,,,,,,
1784085540,22.85,22.85,22.8,22.8,12300,2026-07-15,,,,,,,,
1784085600,22.8,22.85,22.8,22.8,118000,2026-07-15,,,,,,,,
1784085660,22.85,22.85,22.85,22.85,6400,2026-07-15,,,,,,,,
