t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1785118500,36.3,36.3,36.2,36.25,18400,2026-07-27,,,,,,,,
1785118560,36.25,36.35,36.25,36.35,2700,2026-07-27,,,,,,,,
1785118620,36.25,36.35,36.25,36.35,8600,2026-07-27,,,,,,,,
1785118680,36.35,36.4,36.3,36.3,25400,2026-07-27,,,,,,,,
1785118740,36.3,36.35,36.25,36.3,1700,2026-07-27,,,,,,,,
1785118800,36.3,36.3,36.25,36.3,3600,2026-07-27,,,,,,,,
1785118860,36.3,36.3,36.25,36.25,9800,2026-07-27,,,,,,,,
1785118920,36.25,36.25,36.2,36.2,3500,2026-07-27,,,,,,,,
1785118980,36.2,36.2,36.2,36.2,1800,2026-07-27,,,,,,,,
1785119040,36.15,36.2,36.1,36.1,4100,2026-07-27,,,,,,,,
1785119100,36.2,36.25,36.2,36.25,4600,2026-07-27,,,,,,,,
1785119160,36.25,36.25,36.2,36.25,2900,2026-07-27,,,,,,,,
1785119220,36.25,36.25,36.25,36.25,100,2026-07-27,,,,,,,,
1785119280,36.25,36.3,36.25,36.3,3900,2026-07-27,,,,,,,,
1785119340,36.3,36.3,36.3,36.3,10700,2026-07-27,,,,,,,,
1785119400,36.35,36.35,36.35,36.35,900,2026-07-27,,,,,,,,
1785119460,36.35,36.35,36.3,36.3,14000,2026-07-27,,,,,,,,
1785119520,36.3,36.3,36.25,36.3,5900,2026-07-27,,,,,,,,
1785119580,36.3,36.35,36.3,36.3,2600,2026-07-27,,,,,,,,
1785119640,36.35,36.35,36.3,36.35,4800,2026-07-27,,,,,,,,
1785119700,36.3,36.35,36.3,36.3,2900,2026-07-27,,,,,,,,
1785119760,36.35,36.35,36.3,36.3,900,2026-07-27,,,,,,,,
1785119820,36.3,36.3,36.3,36.3,10300,2026-07-27,,,,,,,,
1785119880,36.25,36.25,36.25,36.25,300,2026-07-27,,,,,,,,
1785119940,36.25,36.3,36.25,36.3,3600,2026-07-27,,,,,,,,
1785120000,36.3,36.3,36.25,36.3,5300,2026-07-27,,,,,,,,
1785120060,36.25,36.3,36.25,36.3,11200,2026-07-27,,,,,,,,
1785120120,36.3,36.3,36.25,36.25,14600,2026-07-27,,,,,,,,
1785120180,36.25,36.25,36.25,36.25,4700,2026-07-27,,,,,,,,
1785120240,36.25,36.3,36.25,36.25,1200,2026-07-27,,,,,,,,
1785120300,36.25,36.3,36.25,36.25,1200,2026-07-27,,,,,,,,
1785120360,36.3,36.35,36.25,36.3,18400,2026-07-27,,,,,,,,
1785120420,36.3,36.35,36.3,36.35,4600,2026-07-27,,,,,,,,
1785120480,36.3,36.35,36.3,36.35,4300,2026-07-27,,,,,,,,
1785120540,36.35,36.4,36.3,36.3,6000,2026-07-27,,,,,,,,
1785120600,36.3,36.3,36.3,36.3,200,2026-07-27,,,,,,,,
1785120660,36.3,36.3,36.25,36.25,14100,2026-07-27,,,,,,,,
1785120720,36.25,36.25,36.2,36.25,33800,2026-07-27,,,,,,,,
1785120780,36.2,36.2,36.2,36.2,20000,2026-07-27,,,,,,,,
1785120840,36.2,36.2,36.15,36.15,1700,2026-07-27,,,,,,,,
1785120900,36.15,36.15,36.15,36.15,2900,2026-07-27,,,,,,,,
1785120960,36.15,36.15,36.15,36.15,4700,2026-07-27,,,,,,,,
1785121020,36.15,36.2,36.15,36.2,10200,2026-07-27,,,,,,,,
1785121080,36.2,36.2,36.15,36.15,2200,2026-07-27,,,,,,,,
1785121140,36.15,36.15,36.15,36.15,300,2026-07-27,,,,,,,,
1785121200,36.1,36.15,36.1,36.1,4700,2026-07-27,,,,,,,,
1785121260,36.1,36.1,36.1,36.1,13000,2026-07-27,,,,,,,,
1785121320,36.1,36.1,36.05,36.1,1500,2026-07-27,,,,,,,,
1785121380,36.1,36.1,36.05,36.1,8000,2026-07-27,,,,,,,,
1785121440,36.1,36.1,36.1,36.1,1900,2026-07-27,,,,,,,,
1785121500,36.05,36.05,36.05,36.05,3100,2026-07-27,,,,,,,,
1785121560,36.1,36.1,36.05,36.05,300,2026-07-27,,,,,,,,
1785121620,36.05,36.05,36.05,36.05,4200,2026-07-27,,,,,,,,
1785121680,36.05,36.05,36.05,36.05,5200,2026-07-27,,,,,,,,
1785121740,36.05,36.05,36.05,36.05,1300,2026-07-27,,,,,,,,
1785121800,36.05,36.1,36.05,36.05,20400,2026-07-27,,,,,,,,
1785121860,36.05,36.05,36.05,36.05,3500,2026-07-27,,,,,,,,
1785121920,36.05,36.05,36.05,36.05,1300,2026-07-27,,,,,,,,
1785121980,36.05,36.05,36.05,36.05,24600,2026-07-27,,,,,,,,
1785122040,36.05,36.05,36.05,36.05,5100,2026-07-27,,,,,,,,
1785122100,36.05,36.05,36.0,36.05,10900,2026-07-27,,,,,,,,
1785122160,36.05,36.05,36.0,36.05,3300,2026-07-27,,,,,,,,
1785122220,36.0,36.05,36.0,36.0,3800,2026-07-27,,,,,,,,
1785122280,36.05,36.05,36.05,36.05,500,2026-07-27,,,,,,,,
1785122340,36.0,36.0,36.0,36.0,44000,2026-07-27,,,,,,,,
1785122400,36.0,36.05,36.0,36.0,18500,2026-07-27,,,,,,,,
1785122460,36.05,36.05,36.05,36.05,3000,2026-07-27,,,,,,,,
1785122520,36.0,36.05,36.0,36.05,800,2026-07-27,,,,,,,,
1785122580,36.05,36.05,36.05,36.05,800,2026-07-27,,,,,,,,
1785122640,36.0,36.05,36.0,36.0,4000,2026-07-27,,,,,,,,
1785122700,36.05,36.05,36.0,36.0,2200,2026-07-27,,,,,,,,
1785122760,36.05,36.05,36.0,36.05,5100,2026-07-27,,,,,,,,
1785122820,36.05,36.05,36.0,36.0,4300,2026-07-27,,,,,,,,
1785122880,36.0,36.05,36.0,36.0,22000,2026-07-27,,,,,,,,
1785122940,36.0,36.05,36.0,36.0,300,2026-07-27,,,,,,,,
1785123000,36.0,36.0,35.95,36.0,55100,2026-07-27,,,,,,,,
1785123060,36.0,36.0,35.95,36.0,10600,2026-07-27,,,,,,,,
1785123120,35.95,36.0,35.9,35.9,5600,2026-07-27,,,,,,,,
1785123180,35.9,35.9,35.9,35.9,1600,2026-07-27,,,,,,,,
1785123240,36.0,36.0,35.9,35.9,15300,2026-07-27,,,,,,,,
1785123300,35.9,36.0,35.9,36.0,1800,2026-07-27,,,,,,,,
1785123360,36.0,36.0,36.0,36.0,2500,2026-07-27,,,,,,,,
1785123420,35.95,36.0,35.9,36.0,1900,2026-07-27,,,,,,,,
1785123480,36.0,36.0,35.9,36.0,3800,2026-07-27,,,,,,,,
1785123540,36.0,36.0,35.95,36.0,1400,2026-07-27,,,,,,,,
1785123600,36.0,36.0,35.95,35.95,8200,2026-07-27,,,,,,,,
1785123660,35.95,35.95,35.9,35.95,4000,2026-07-27,,,,,,,,
1785123720,35.9,35.95,35.9,35.9,500,2026-07-27,,,,,,,,
1785123780,35.9,35.9,35.9,35.9,900,2026-07-27,,,,,,,,
1785123840,35.95,36.0,35.9,35.9,33900,2026-07-27,,,,,,,,
1785123900,35.85,35.9,35.85,35.9,4700,2026-07-27,,,,,,,,
1785123960,35.9,35.9,35.85,35.9,12900,2026-07-27,,,,,,,,
1785124020,35.9,35.9,35.9,35.9,7400,2026-07-27,,,,,,,,
1785124080,35.85,35.9,35.85,35.9,6100,2026-07-27,,,,,,,,
1785124140,35.9,35.9,35.9,35.9,1500,2026-07-27,,,,,,,,
1785124200,35.9,35.9,35.9,35.9,1500,2026-07-27,,,,,,,,
1785124260,35.9,35.9,35.85,35.9,3300,2026-07-27,,,,,,,,
1785124320,35.9,35.9,35.85,35.85,2200,2026-07-27,,,,,,,,
