t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1787105700,27.15,27.4,27.15,27.4,106800,2026-08-19,,,,,,,,
1787105760,27.4,27.45,27.3,27.4,71400,2026-08-19,,,,,,,,
1787105820,27.45,27.45,27.4,27.45,54700,2026-08-19,,,,,,,,
1787105880,27.45,27.45,27.3,27.3,68900,2026-08-19,,,,,,,,
1787105940,27.3,27.35,27.3,27.35,36400,2026-08-19,,,,,,,,
1787106000,27.35,27.35,27.3,27.35,14800,2026-08-19,,,,,,,,
1787106060,27.3,27.35,27.3,27.35,57800,2026-08-19,,,,,,,,
1787106120,27.3,27.3,27.2,27.2,51800,2026-08-19,,,,,,,,
1787106180,27.2,27.2,27.15,27.15,64900,2026-08-19,,,,,,,,
1787106240,27.15,27.2,27.15,27.15,17600,2026-08-19,,,,,,,,
1787106300,27.15,27.15,27.15,27.15,21500,2026-08-19,,,,,,,,
1787106360,27.15,27.15,27.1,27.15,10700,2026-08-19,,,,,,,,
1787106420,27.15,27.15,27.1,27.15,12700,2026-08-19,,,,,,,,
1787106480,27.1,27.15,27.1,27.1,26800,2026-08-19,,,,,,,,
1787106540,27.1,27.1,27.0,27.0,161300,2026-08-19,,,,,,,,
1787106600,27.0,27.0,26.9,26.95,116100,2026-08-19,,,,,,,,
1787106660,26.95,27.05,26.95,27.0,48900,2026-08-19,,,,,,,,
1787106720,27.05,27.1,27.0,27.05,6500,2026-08-19,,,,,,,,
1787106780,27.05,27.05,27.05,27.05,4300,2026-08-19,,,,,,,,
1787106840,27.05,27.05,26.95,26.95,23100,2026-08-19,,,,,,,,
1787106900,26.95,27.0,26.95,26.95,23400,2026-08-19,,,,,,,,
1787106960,26.95,27.0,26.95,26.95,25300,2026-08-19,,,,,,,,
1787107020,26.95,27.0,26.9,26.95,61000,2026-08-19,,,,,,,,
1787107080,26.95,26.95,26.9,26.95,25500,2026-08-19,,,,,,,,
1787107140,26.95,26.95,26.9,26.9,7100,2026-08-19,,,,,,,,
1787107200,26.95,26.95,26.95,26.95,15800,2026-08-19,,,,,,,,
1787107260,26.95,26.95,26.9,26.95,9800,2026-08-19,,,,,,,,
1787107320,26.9,26.9,26.9,26.9,100200,2026-08-19,,,,,,,,
1787107380,26.9,26.9,26.9,26.9,13000,2026-08-19,,,,,,,,
1787107440,26.9,26.9,26.85,26.85,9400,2026-08-19,,,,,,,,
1787107500,26.85,26.9,26.8,26.8,116800,2026-08-19,,,,,,,,
1787107560,26.8,26.8,26.8,26.8,96600,2026-08-19,,,,,,,,
1787107620,26.8,26.95,26.8,26.95,72300,2026-08-19,,,,,,,,
1787107680,26.95,27.05,26.95,27.05,62000,2026-08-19,,,,,,,,
1787107740,27.05,27.15,27.05,27.15,81500,2026-08-19,,,,,,,,
1787107800,27.15,27.15,27.05,27.05,44200,2026-08-19,,,,,,,,
1787107860,27.05,27.05,27.0,27.05,23100,2026-08-19,,,,,,,,
1787107920,27.05,27.1,27.05,27.1,2600,2026-08-19,,,,,,,,
1787107980,27.1,27.15,27.1,27.15,19200,2026-08-19,,,,,,,,
1787108040,27.15,27.15,27.1,27.1,20600,2026-08-19,,,,,,,,
1787108100,27.1,27.15,27.05,27.1,27500,2026-08-19,,,,,,,,
1787108160,27.1,27.1,26.95,27.0,78000,2026-08-19,,,,,,,,
1787108220,27.0,27.0,27.0,27.0,6900,2026-08-19,,,,,,,,
1787108280,27.05,27.05,27.0,27.05,1900,2026-08-19,,,,,,,,
1787108340,27.05,27.05,27.0,27.0,5300,2026-08-19,,,,,,,,
1787108400,27.05,27.05,27.0,27.0,16400,2026-08-19,,,,,,,,
1787108460,27.0,27.05,26.95,27.0,16100,2026-08-19,,,,,,,,
1787108520,27.0,27.0,27.0,27.0,3600,2026-08-19,,,,,,,,
1787108580,27.0,27.0,26.95,27.0,25500,2026-08-19,,,,,,,,
1787108640,27.0,27.0,26.95,26.95,6000,2026-08-19,,,,,,,,
1787108700,27.0,27.0,27.0,27.0,21600,2026-08-19,,,,,,,,
1787108760,27.0,27.0,27.0,27.0,11600,2026-08-19,,,,,,,,
1787108820,27.05,27.05,27.0,27.0,13200,2026-08-19,,,,,,,,
1787108880,27.0,27.0,27.0,27.0,3400,2026-08-19,,,,,,,,
1787108940,27.0,27.05,27.0,27.05,23600,2026-08-19,,,,,,,,
1787109000,27.0,27.0,27.0,27.0,27300,2026-08-19,,,,,,,,
1787109060,27.0,27.0,26.95,26.95,12600,2026-08-19,,,,,,,,
1787109120,27.0,27.0,27.0,27.0,24100,2026-08-19,,,,,,,,
1787109180,26.95,27.0,26.95,27.0,12800,2026-08-19,,,,,,,,
1787109240,27.0,27.0,26.85,26.9,185600,2026-08-19,,,,,,,,
1787109300,27.0,27.05,26.95,27.05,9900,2026-08-19,,,,,,,,
1787109360,27.05,27.1,27.05,27.1,31400,2026-08-19,,,,,,,,
1787109420,27.05,27.1,27.05,27.1,19900,2026-08-19,,,,,,,,
1787109480,27.1,27.1,27.05,27.05,7500,2026-08-19,,,,,,,,
1787109540,27.05,27.1,27.05,27.05,3900,2026-08-19,,,,,,,,
1787109600,27.05,27.05,27.05,27.05,1800,2026-08-19,,,,,,,,
1787109660,27.05,27.05,27.05,27.05,6500,2026-08-19,,,,,,,,
1787109720,27.05,27.05,27.05,27.05,20200,2026-08-19,,,,,,,,
1787109780,27.05,27.05,27.0,27.0,24800,2026-08-19,,,,,,,,
1787109840,27.0,27.0,27.0,27.0,16400,2026-08-19,,,,,,,,
1787109900,27.0,27.0,27.0,27.0,1000,2026-08-19,,,,,,,,
1787109960,27.0,27.0,27.0,27.0,1900,2026-08-19,,,,,,,,
1787110020,27.0,27.05,27.0,27.0,11200,2026-08-19,,,,,,,,
1787110080,27.0,27.0,27.0,27.0,3500,2026-08-19,,,,,,,,
1787110140,27.0,27.0,27.0,27.0,15300,2026-08-19,,,,,,,,
1787110200,27.0,27.0,26.95,27.0,2500,2026-08-19,,,,,,,,
1787110260,27.0,27.0,27.0,27.0,1700,2026-08-19,,,,,,,,
1787110320,27.0,27.0,26.95,27.0,21200,2026-08-19,,,,,,,,
1787110380,27.0,27.0,27.0,27.0,2400,2026-08-19,,,,,,,,
1787110440,27.05,27.05,27.0,27.0,12900,2026-08-19,,,,,,,,
1787110500,27.0,27.0,27.0,27.0,8600,2026-08-19,,,,,,,,
1787110560,27.0,27.05,27.0,27.0,18700,2026-08-19,,,,,,,,
1787110620,27.05,27.05,27.0,27.0,29300,2026-08-19,,,,,,,,
1787110680,27.0,27.0,27.0,27.0,1500,2026-08-19,,,,,,,,
1787110740,27.0,27.05,27.0,27.05,33000,2026-08-19,,,,,,,,
1787110800,27.05,27.05,27.05,27.05,2500,2026-08-19,,,,,,,,
1787110860,27.05,27.05,27.05,27.05,3500,2026-08-19,,,,,,,,
1787110920,27.0,27.05,27.0,27.05,16800,2026-08-19,,,,,,,,
1787110980,27.05,27.05,27.05,27.05,3300,2026-08-19,,,,,,,,
1787111040,27.05,27.05,27.05,27.05,11000,2026-08-19,,,,,,,,
1787111100,27.05,27.05,27.05,27.05,17200,2026-08-19,,,,,,,,
1787111160,27.0,27.0,27.0,27.0,2900,2026-08-19,,,,,,,,
1787111220,27.0,27.0,27.0,27.0,44300,2026-08-19,,,,,,,,
1787111280,27.0,27.0,27.0,27.0,2400,2026-08-19,,,,,,,,
1787111340,26.95,26.95,26.95,26.95,5000,2026-08-19,,,,,,,,
1787111400,26.95,27.0,26.95,27.0,41300,2026-08-19,,,,,,,,
1787111460,27.0,27.0,27.0,27.0,11800,2026-08-19,,,,,,,,
1787111520,27.0,27.0,26.95,26.95,12400,2026-08-19,,,,,,,,
1787111580,26.95,27.0,26.95,27.0,11300,2026-08-19,,,,,,,,
1787111640,27.0,27.0,26.95,26.95,12200,2026-08-19,,,,,,,,
1787111700,26.95,26.95,26.95,26.95,11200,2026-08-19,,,,,,,,
1787111760,26.95,26.95,26.95,26.95,6300,2026-08-19,,,,,,,,
1787111820,26.95,26.95,26.95,26.95,5500,2026-08-19,,,,,,,,
1787111880,26.95,26.95,26.95,26.95,16300,2026-08-19,,,,,,,,
1787111940,26.95,26.95,26.9,26.95,7600,2026-08-19,,,,,,,,
1787112000,26.95,26.95,26.9,26.95,18100,2026-08-19,,,,,,,,
1787112060,26.95,26.95,26.95,26.95,8300,2026-08-19,,,,,,,,
1787112120,26.95,26.95,26.9,26.95,4700,2026-08-19,,,,,,,,
1787112180,26.95,26.95,26.9,26.9,44300,2026-08-19,,,,,,,,
1787112240,26.9,26.9,26.85,26.9,77300,2026-08-19,,,,,,,,
1787112300,26.9,26.9,26.9,26.9,7500,2026-08-19,,,,,,,,
1787112360,26.85,26.9,26.85,26.85,91600,2026-08-19,,,,,,,,
1787112420,26.85,26.85,26.85,26.85,8000,2026-08-19,,,,,,,,
1787112480,26.85,26.85,26.8,26.85,11500,2026-08-19,,,,,,,,
1787112540,26.85,26.85,26.8,26.85,17500,2026-08-19,,,,,,,,
1787112600,26.85,26.85,26.8,26.8,40500,2026-08-19,,,,,,,,
1787112660,26.8,26.85,26.8,26.85,13900,2026-08-19,,,,,,,,
1787112720,26.85,26.85,26.85,26.85,47600,2026-08-19,,,,,,,,
1787112780,26.85,26.85,26.85,26.85,6700,2026-08-19,,,,,,,,
1787112840,26.85,26.85,26.85,26.85,24800,2026-08-19,,,,,,,,
1787112900,26.85,26.9,26.85,26.85,30500,2026-08-19,,,,,,,,
1787112960,26.85,26.9,26.8,26.85,20500,2026-08-19,,,,,,,,
1787113020,26.85,26.9,26.85,26.85,13600,2026-08-19,,,,,,,,
1787113080,26.85,26.9,26.85,26.9,14200,2026-08-19,,,,,,,,
1787113140,26.9,26.9,26.85,26.85,17200,2026-08-19,,,,,,,,
1787113200,26.9,26.9,26.9,26.9,6100,2026-08-19,,,,,,,,
1787113260,26.9,26.9,26.9,26.9,5200,2026-08-19,,,,,,,,
1787113320,26.9,26.9,26.85,26.9,4600,2026-08-19,,,,,,,,
1787113380,26.9,26.9,26.85,26.9,25500,2026-08-19,,,,,,,,
1787113440,26.85,26.9,26.85,26.9,6600,2026-08-19,,,,,,,,
1787113500,26.85,26.9,26.85,26.85,23300,2026-08-19,,,,,,,,
1787113560,26.9,26.9,26.85,26.85,2500,2026-08-19,,,,,,,,
1787113620,26.85,26.85,26.85,26.85,3100,2026-08-19,,,,,,,,
