t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1781848800,33.95,33.95,33.9,33.95,11400,2026-06-19,,,,,,,,
1781848860,33.9,33.9,33.9,33.9,281400,2026-06-19,,,,,,,,
1781848920,33.85,33.85,33.85,33.85,11200,2026-06-19,,,,,,,,
1781848980,33.85,33.9,33.85,33.9,4600,2026-06-19,,,,,,,,
1781849040,33.85,33.9,33.85,33.9,98200,2026-06-19,,,,,,,,
1781849100,33.9,33.9,33.85,33.9,14200,2026-06-19,,,,,,,,
1781849160,33.9,33.9,33.85,33.85,2200,2026-06-19,,,,,,,,
1781849220,33.85,33.9,33.85,33.85,9200,2026-06-19,,,,,,,,
1781849280,33.85,33.9,33.85,33.85,3600,2026-06-19,,,,,,,,
1781849340,33.85,33.85,33.85,33.85,1700,2026-06-19,,,,,,,,
1781849400,33.85,33.85,33.85,33.85,1100,2026-06-19,,,,,,,,
1781849460,33.85,33.9,33.85,33.9,5500,2026-06-19,,,,,,,,
1781849520,33.9,33.9,33.85,33.85,9900,2026-06-19,,,,,,,,
1781849580,33.85,33.9,33.85,33.9,9500,2026-06-19,,,,,,,,
1781849640,33.9,33.9,33.85,33.85,4100,2026-06-19,,,,,,,,
1781849700,33.9,33.9,33.85,33.9,10100,2026-06-19,,,,,,,,
1781849760,33.9,33.9,33.85,33.85,2000,2026-06-19,,,,,,,,
1781849820,33.85,33.9,33.85,33.85,3200,2026-06-19,,,,,,,,
1781849880,33.85,33.85,33.85,33.85,4800,2026-06-19,,,,,,,,
1781849940,33.85,33.9,33.85,33.85,5800,2026-06-19,,,,,,,,
1781850000,33.85,33.9,33.85,33.85,3300,2026-06-19,,,,,,,,
1781850060,33.85,33.9,33.85,33.85,7400,2026-06-19,,,,,,,,
1781850120,33.85,33.85,33.85,33.85,600,2026-06-19,,,,,,,,
1781850180,33.9,33.9,33.85,33.9,13800,2026-06-19,,,,,,,,
1781850240,33.85,33.9,33.85,33.85,4600,2026-06-19,,,,,,,,
1781850300,33.85,33.85,33.85,33.85,1900,2026-06-19,,,,,,,,
1781850360,33.85,33.9,33.85,33.9,11400,2026-06-19,,,,,,,,
1781850420,33.85,33.85,33.85,33.85,2700,2026-06-19,,,,,,,,
1781850480,33.85,33.9,33.85,33.85,26100,2026-06-19,,,,,,,,
1781850540,33.9,33.9,33.85,33.9,88500,2026-06-19,,,,,,,,
1781850600,33.9,33.9,33.9,33.9,64100,2026-06-19,,,,,,,,
1781850660,33.9,33.95,33.9,33.9,13000,2026-06-19,,,,,,,,
1781850720,33.9,33.9,33.9,33.9,27100,2026-06-19,,,,,,,,
1781850780,33.9,33.9,33.85,33.85,29600,2026-06-19,,,,,,,,
1781850840,33.85,33.85,33.85,33.85,1100,2026-06-19,,,,,,,,
1781850900,33.85,33.85,33.85,33.85,31000,2026-06-19,,,,,,,,
1781850960,33.85,33.85,33.85,33.85,37100,2026-06-19,,,,,,,,
1781851020,33.85,33.9,33.85,33.9,900,2026-06-19,,,,,,,,
1781851080,33.85,33.85,33.85,33.85,24000,2026-06-19,,,,,,,,
1781851140,33.85,33.85,33.85,33.85,57400,2026-06-19,,,,,,,,
1781851200,33.85,33.85,33.85,33.85,27600,2026-06-19,,,,,,,,
1781851260,33.85,33.85,33.8,33.8,147400,2026-06-19,,,,,,,,
1781851320,33.8,33.85,33.8,33.8,9500,2026-06-19,,,,,,,,
1781851380,33.8,33.85,33.8,33.85,62800,2026-06-19,,,,,,,,
1781851440,33.85,33.85,33.8,33.8,19600,2026-06-19,,,,,,,,
1781851500,33.8,33.85,33.8,33.85,47400,2026-06-19,,,,,,,,
1781851560,33.8,33.85,33.8,33.85,3400,2026-06-19,,,,,,,,
1781851620,33.85,33.85,33.8,33.85,4400,2026-06-19,,,,,,,,
1781851680,33.85,33.85,33.8,33.8,31800,2026-06-19,,,,,,,,
1781851740,33.85,33.85,33.8,33.85,26500,2026-06-19,,,,,,,,
1781851800,33.85,33.85,33.8,33.8,1600,2026-06-19,,,,,,,,
1781851860,33.8,33.85,33.8,33.85,60700,2026-06-19,,,,,,,,
1781851920,33.8,33.85,33.8,33.85,10300,2026-06-19,,,,,,,,
1781851980,33.8,33.8,33.8,33.8,10600,2026-06-19,,,,,,,,
1781852040,33.8,33.85,33.8,33.85,2000,2026-06-19,,,,,,,,
1781852100,33.8,33.85,33.8,33.85,36900,2026-06-19,,,,,,,,
1781852160,33.8,33.8,33.8,33.8,1700,2026-06-19,,,,,,,,
1781852220,33.8,33.8,33.75,33.8,151800,2026-06-19,,,,,,,,
1781852280,33.8,33.8,33.75,33.75,7800,2026-06-19,,,,,,,,
1781852340,33.75,33.8,33.75,33.75,58200,2026-06-19,,,,,,,,
1781852400,33.8,33.8,33.75,33.75,6800,2026-06-19,,,,,,,,
1781852460,33.75,33.8,33.75,33.75,18300,2026-06-19,,,,,,,,
1781852520,33.75,33.8,33.75,33.8,8500,2026-06-19,,,,,,,,
1781852580,33.8,33.8,33.75,33.8,103000,2026-06-19,,,,,,,,
1781852640,33.75,33.8,33.75,33.75,13800,2026-06-19,,,,,,,,
1781852700,33.75,33.75,33.75,33.75,600,2026-06-19,,,,,,,,
1781852760,33.8,33.8,33.7,33.75,120100,2026-06-19,,,,,,,,
1781852820,33.75,33.75,33.7,33.7,5000,2026-06-19,,,,,,,,
1781852880,33.75,33.75,33.7,33.75,13400,2026-06-19,,,,,,,,
1781852940,33.75,33.75,33.7,33.75,22400,2026-06-19,,,,,,,,
1781853000,33.75,33.75,33.7,33.75,15300,2026-06-19,,,,,,,,
1781853060,33.7,33.75,33.7,33.75,1100,2026-06-19,,,,,,,,
1781853120,33.7,33.75,33.7,33.75,17300,2026-06-19,,,,,,,,
1781853180,33.75,33.75,33.7,33.75,4600,2026-06-19,,,,,,,,
1781853240,33.75,33.75,33.7,33.7,4500,2026-06-19,,,,,,,,
1781853300,33.7,33.75,33.7,33.7,10700,2026-06-19,,,,,,,,
1781853360,33.7,33.75,33.7,33.75,5700,2026-06-19,,,,,,,,
1781853420,33.75,33.75,33.7,33.7,83800,2026-06-19,,,,,,,,
1781853480,33.75,33.75,33.7,33.75,35200,2026-06-19,,,,,,,,
1781853540,33.75,33.75,33.7,33.7,62800,2026-06-19,,,,,,,,
1781853600,33.7,33.75,33.7,33.7,12200,2026-06-19,,,,,,,,
