t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1787796900,72.6,72.6,72.5,72.5,100800,2026-08-27,,,,,,,,
1787796960,72.5,72.6,72.5,72.6,16000,2026-08-27,,,,,,,,
1787797020,72.6,72.7,72.5,72.5,23900,2026-08-27,,,,,,,,
1787797080,72.5,72.5,72.4,72.5,6400,2026-08-27,,,,,,,,
1787797140,72.5,72.6,72.5,72.6,17900,2026-08-27,,,,,,,,
1787797200,72.6,72.7,72.5,72.5,23200,2026-08-27,,,,,,,,
1787797260,72.5,72.6,72.3,72.4,37300,2026-08-27,,,,,,,,
1787797320,72.4,72.4,72.3,72.3,17800,2026-08-27,,,,,,,,
1787797380,72.4,72.4,72.2,72.3,26900,2026-08-27,,,,,,,,
1787797440,72.3,72.4,72.2,72.3,17600,2026-08-27,,,,,,,,
1787797500,72.2,72.3,72.2,72.3,23000,2026-08-27,,,,,,,,
1787797560,72.2,72.3,72.2,72.3,11100,2026-08-27,,,,,,,,
1787797620,72.3,72.5,72.2,72.2,58500,2026-08-27,,,,,,,,
1787797680,72.3,72.3,72.2,72.3,55200,2026-08-27,,,,,,,,
1787797740,72.3,72.4,72.3,72.4,1200,2026-08-27,,,,,,,,
1787797800,72.4,72.5,72.4,72.4,3600,2026-08-27,,,,,,,,
1787797860,72.4,72.5,72.4,72.4,38800,2026-08-27,,,,,,,,
1787797920,72.5,72.6,72.4,72.5,20500,2026-08-27,,,,,,,,
1787797980,72.5,72.6,72.5,72.5,4700,2026-08-27,,,,,,,,
1787798040,72.6,72.6,72.5,72.5,5200,2026-08-27,,,,,,,,
1787798100,72.5,72.6,72.3,72.4,40600,2026-08-27,,,,,,,,
1787798160,72.4,72.4,72.3,72.3,17100,2026-08-27,,,,,,,,
1787798220,72.3,72.4,72.2,72.2,16200,2026-08-27,,,,,,,,
1787798280,72.2,72.3,72.2,72.2,14700,2026-08-27,,,,,,,,
1787798340,72.2,72.4,72.2,72.3,18700,2026-08-27,,,,,,,,
1787798400,72.3,72.4,72.2,72.2,11400,2026-08-27,,,,,,,,
1787798460,72.3,72.3,72.2,72.3,5600,2026-08-27,,,,,,,,
1787798520,72.2,72.3,72.2,72.2,6000,2026-08-27,,,,,,,,
1787798580,72.2,72.3,72.2,72.2,13500,2026-08-27,,,,,,,,
1787798640,72.3,72.3,72.2,72.2,14200,2026-08-27,,,,,,,,
1787798700,72.2,72.3,72.2,72.2,8800,2026-08-27,,,,,,,,
1787798760,72.3,72.3,72.2,72.2,17200,2026-08-27,,,,,,,,
1787798820,72.3,72.3,72.2,72.2,4700,2026-08-27,,,,,,,,
1787798880,72.3,72.4,72.2,72.3,22400,2026-08-27,,,,,,,,
1787798940,72.4,72.4,72.3,72.3,5800,2026-08-27,,,,,,,,
1787799000,72.3,72.4,72.3,72.4,11200,2026-08-27,,,,,,,,
1787799060,72.4,72.4,72.4,72.4,500,2026-08-27,,,,,,,,
1787799120,72.3,72.4,72.3,72.4,700,2026-08-27,,,,,,,,
1787799180,72.4,72.4,72.3,72.3,9200,2026-08-27,,,,,,,,
1787799240,72.3,72.4,72.3,72.4,8000,2026-08-27,,,,,,,,
1787799300,72.4,72.4,72.3,72.3,16800,2026-08-27,,,,,,,,
1787799360,72.3,72.3,72.3,72.3,5100,2026-08-27,,,,,,,,
1787799420,72.3,72.3,72.2,72.3,15500,2026-08-27,,,,,,,,
1787799480,72.3,72.3,72.2,72.2,10500,2026-08-27,,,,,,,,
1787799540,72.3,72.3,72.3,72.3,2400,2026-08-27,,,,,,,,
1787799600,72.3,72.3,72.2,72.3,6300,2026-08-27,,,,,,,,
1787799660,72.2,72.3,72.2,72.3,13200,2026-08-27,,,,,,,,
1787799720,72.3,72.4,72.3,72.3,14100,2026-08-27,,,,,,,,
1787799780,72.4,72.4,72.3,72.4,5600,2026-08-27,,,,,,,,
1787799840,72.3,72.4,72.3,72.4,8900,2026-08-27,,,,,,,,
1787799900,72.4,72.4,72.3,72.4,5900,2026-08-27,,,,,,,,
1787799960,72.4,72.4,72.3,72.3,22900,2026-08-27,,,,,,,,
1787800020,72.4,72.4,72.4,72.4,1900,2026-08-27,,,,,,,,
1787800080,72.4,72.4,72.4,72.4,2200,2026-08-27,,,,,,,,
1787800140,72.4,72.4,72.3,72.3,2500,2026-08-27,,,,,,,,
1787800200,72.3,72.4,72.3,72.4,9000,2026-08-27,,,,,,,,
1787800260,72.4,72.4,72.3,72.3,9900,2026-08-27,,,,,,,,
1787800320,72.3,72.4,72.2,72.2,106900,2026-08-27,,,,,,,,
1787800380,72.3,72.3,72.2,72.3,14600,2026-08-27,,,,,,,,
1787800440,72.3,72.4,72.2,72.3,25400,2026-08-27,,,,,,,,
1787800500,72.4,72.4,72.3,72.4,4100,2026-08-27,,,,,,,,
1787800560,72.4,72.4,72.3,72.3,4200,2026-08-27,,,,,,,,
1787800620,72.4,72.4,72.3,72.3,10200,2026-08-27,,,,,,,,
1787800680,72.3,72.4,72.3,72.3,2100,2026-08-27,,,,,,,,
1787800740,72.3,72.4,72.3,72.3,13100,2026-08-27,,,,,,,,
1787800800,72.4,72.4,72.2,72.4,4800,2026-08-27,,,,,,,,
1787800860,72.4,72.4,72.2,72.3,9200,2026-08-27,,,,,,,,
1787800920,72.4,72.4,72.3,72.3,1800,2026-08-27,,,,,,,,
1787800980,72.4,72.4,72.3,72.4,3900,2026-08-27,,,,,,,,
1787801040,72.4,72.4,72.3,72.3,6100,2026-08-27,,,,,,,,
1787801100,72.3,72.4,72.3,72.4,2200,2026-08-27,,,,,,,,
1787801160,72.4,72.4,72.3,72.3,800,2026-08-27,,,,,,,,
1787801220,72.4,72.4,72.3,72.4,700,2026-08-27,,,,,,,,
1787801280,72.4,72.4,72.3,72.3,1600,2026-08-27,,,,,,,,
1787801340,72.3,72.3,72.2,72.2,12700,2026-08-27,,,,,,,,
1787801400,72.3,72.3,72.2,72.3,30500,2026-08-27,,,,,,,,
1787801460,72.2,72.3,72.2,72.3,14000,2026-08-27,,,,,,,,
1787801520,72.3,72.3,72.2,72.3,2000,2026-08-27,,,,,,,,
1787801580,72.3,72.4,72.3,72.4,15200,2026-08-27,,,,,,,,
1787801640,72.3,72.4,72.3,72.3,7600,2026-08-27,,,,,,,,
1787801700,72.4,72.4,72.2,72.2,7400,2026-08-27,,,,,,,,
1787801760,72.2,72.3,72.2,72.2,1500,2026-08-27,,,,,,,,
1787801820,72.3,72.4,72.2,72.4,3600,2026-08-27,,,,,,,,
1787801880,72.3,72.4,72.3,72.3,5300,2026-08-27,,,,,,,,
1787801940,72.3,72.4,72.3,72.3,3100,2026-08-27,,,,,,,,
1787802000,72.3,72.4,72.3,72.3,8200,2026-08-27,,,,,,,,
1787802060,72.3,72.4,72.3,72.4,5000,2026-08-27,,,,,,,,
1787802120,72.4,72.4,72.3,72.3,6300,2026-08-27,,,,,,,,
1787802180,72.3,72.4,72.3,72.4,13000,2026-08-27,,,,,,,,
1787802240,72.4,72.4,72.3,72.4,16200,2026-08-27,,,,,,,,
1787802300,72.3,72.4,72.3,72.4,1900,2026-08-27,,,,,,,,
1787802360,72.3,72.4,72.3,72.4,12900,2026-08-27,,,,,,,,
1787802420,72.4,72.4,72.3,72.3,3300,2026-08-27,,,,,,,,
1787802480,72.4,72.4,72.3,72.4,5800,2026-08-27,,,,,,,,
1787802540,72.4,72.4,72.3,72.4,4600,2026-08-27,,,,,,,,
1787802600,72.4,72.4,72.3,72.4,3400,2026-08-27,,,,,,,,
1787802660,72.4,72.4,72.3,72.4,3800,2026-08-27,,,,,,,,
1787802720,72.4,72.5,72.4,72.5,30900,2026-08-27,,,,,,,,
1787802780,72.4,72.4,72.4,72.4,700,2026-08-27,,,,,,,,
1787802840,72.5,72.5,72.4,72.4,4900,2026-08-27,,,,,,,,
1787802900,72.5,72.5,72.5,72.5,1900,2026-08-27,,,,,,,,
1787802960,72.5,72.5,72.4,72.5,63400,2026-08-27,,,,,,,,
1787803020,72.5,72.5,72.4,72.4,13100,2026-08-27,,,,,,,,
1787803080,72.4,72.5,72.4,72.5,9000,2026-08-27,,,,,,,,
1787803140,72.6,72.6,72.5,72.5,1300,2026-08-27,,,,,,,,
1787803200,72.6,72.6,72.5,72.5,9000,2026-08-27,,,,,,,,
1787803260,72.5,72.6,72.4,72.6,29500,2026-08-27,,,,,,,,
1787803320,72.5,72.6,72.5,72.5,13000,2026-08-27,,,,,,,,
1787803380,72.6,72.6,72.6,72.6,20000,2026-08-27,,,,,,,,
1787803440,72.6,72.6,72.5,72.6,1100,2026-08-27,,,,,,,,
1787803500,72.6,72.6,72.5,72.6,10600,2026-08-27,,,,,,,,
1787803560,72.6,72.6,72.5,72.6,2100,2026-08-27,,,,,,,,
1787803620,72.5,72.6,72.5,72.6,2600,2026-08-27,,,,,,,,
1787803680,72.6,72.6,72.5,72.5,11000,2026-08-27,,,,,,,,
1787803740,72.6,72.6,72.5,72.6,4100,2026-08-27,,,,,,,,
1787803800,72.5,72.6,72.5,72.6,4300,2026-08-27,,,,,,,,
1787803860,72.6,72.6,72.5,72.6,3000,2026-08-27,,,,,,,,
1787803920,72.6,72.6,72.5,72.5,400,2026-08-27,,,,,,,,
1787803980,72.6,72.6,72.5,72.6,1100,2026-08-27,,,,,,,,
1787804040,72.6,72.6,72.5,72.5,6600,2026-08-27,,,,,,,,
1787804100,72.6,72.6,72.5,72.5,2500,2026-08-27,,,,,,,,
1787804160,72.5,72.6,72.5,72.6,1700,2026-08-27,,,,,,,,
1787804220,72.5,72.6,72.5,72.5,1200,2026-08-27,,,,,,,,
1787804280,72.5,72.6,72.5,72.5,4800,2026-08-27,,,,,,,,
1787804340,72.5,72.6,72.5,72.6,3900,2026-08-27,,,,,,,,
1787804400,72.5,72.6,72.5,72.5,800,2026-08-27,,,,,,,,
1787804460,72.5,72.5,72.5,72.5,9900,2026-08-27,,,,,,,,
1787804520,72.6,72.6,72.5,72.6,1200,2026-08-27,,,,,,,,
1787804580,72.5,72.6,72.5,72.6,1300,2026-08-27,,,,,,,,
1787804640,72.6,72.6,72.6,72.6,11000,2026-08-27,,,,,,,,
1787804700,72.6,72.6,72.5,72.6,14400,2026-08-27,,,,,,,,
1787804760,72.6,72.6,72.6,72.6,34500,2026-08-27,,,,,,,,
1787804820,72.6,72.6,72.6,72.6,34300,2026-08-27,,,,,,,,
1787804880,72.6,72.6,72.6,72.6,1200,2026-08-27,,,,,,,,
1787804940,72.6,72.6,72.5,72.6,21600,2026-08-27,,,,,,,,
1787810400,72.6,72.6,72.4,72.4,53500,2026-08-27,,,,,,,,
1787810460,72.4,72.5,72.4,72.5,11300,2026-08-27,,,,,,,,
1787810520,72.4,72.5,72.4,72.4,5400,2026-08-27,,,,,,,,
1787810580,72.5,72.5,72.4,72.5,1500,2026-08-27,,,,,,,,
1787810640,72.5,72.5,72.4,72.4,80100,2026-08-27,,,,,,,,
1787810700,72.5,72.5,72.4,72.4,6900,2026-08-27,,,,,,,,
1787810760,72.5,72.5,72.4,72.5,6400,2026-08-27,,,,,,,,
1787810820,72.5,72.5,72.4,72.4,5300,2026-08-27,,,,,,,,
1787810880,72.5,72.5,72.4,72.5,13600,2026-08-27,,,,,,,,
1787810940,72.5,72.5,72.3,72.4,47100,2026-08-27,,,,,,,,
1787811000,72.3,72.4,72.3,72.3,4200,2026-08-27,,,,,,,,
1787811060,72.3,72.4,72.3,72.3,6500,2026-08-27,,,,,,,,
1787811120,72.4,72.4,72.3,72.3,8400,2026-08-27,,,,,,,,
1787811180,72.3,72.4,72.3,72.3,23900,2026-08-27,,,,,,,,
1787811240,72.4,72.4,72.3,72.4,16600,2026-08-27,,,,,,,,
1787811300,72.4,72.4,72.4,72.4,4700,2026-08-27,,,,,,,,
1787811360,72.4,72.4,72.3,72.3,2000,2026-08-27,,,,,,,,
1787811420,72.3,72.4,72.3,72.4,1800,2026-08-27,,,,,,,,
1787811480,72.4,72.4,72.3,72.3,32300,2026-08-27,,,,,,,,
1787811540,72.3,72.4,72.2,72.2,56000,2026-08-27,,,,,,,,
1787811600,72.2,72.3,72.2,72.2,22000,2026-08-27,,,,,,,,
1787811660,72.2,72.3,72.2,72.2,6100,2026-08-27,,,,,,,,
1787811720,72.3,72.3,72.2,72.2,12400,2026-08-27,,,,,,,,
1787811780,72.2,72.4,72.2,72.3,51900,2026-08-27,,,,,,,,
1787811840,72.3,72.4,72.3,72.3,15400,2026-08-27,,,,,,,,
1787811900,72.3,72.4,72.3,72.4,2300,2026-08-27,,,,,,,,
1787811960,72.3,72.4,72.3,72.3,3400,2026-08-27,,,,,,,,
1787812020,72.4,72.4,72.3,72.4,10200,2026-08-27,,,,,,,,
1787812080,72.3,72.4,72.3,72.3,3700,2026-08-27,,,,,,,,
1787812140,72.3,72.4,72.3,72.4,28900,2026-08-27,,,,,,,,
1787812200,72.4,72.4,72.3,72.4,7500,2026-08-27,,,,,,,,
1787812260,72.3,72.4,72.3,72.3,9100,2026-08-27,,,,,,,,
1787812320,72.3,72.5,72.3,72.5,52800,2026-08-27,,,,,,,,
1787812380,72.4,72.5,72.4,72.4,4700,2026-08-27,,,,,,,,
1787812440,72.4,72.5,72.4,72.5,2300,2026-08-27,,,,,,,,
1787812500,72.4,72.5,72.4,72.4,7000,2026-08-27,,,,,,,,
1787812560,72.5,72.5,72.4,72.4,1800,2026-08-27,,,,,,,,
1787812620,72.4,72.5,72.4,72.4,3700,2026-08-27,,,,,,,,
1787812680,72.4,72.5,72.4,72.5,9900,2026-08-27,,,,,,,,
1787812740,72.4,72.5,72.4,72.4,38700,2026-08-27,,,,,,,,
1787812800,72.5,72.5,72.3,72.3,4600,2026-08-27,,,,,,,,
1787812860,72.3,72.4,72.3,72.4,9100,2026-08-27,,,,,,,,
1787812920,72.3,72.4,72.3,72.3,1700,2026-08-27,,,,,,,,
1787812980,72.3,72.5,72.3,72.4,7800,2026-08-27,,,,,,,,
1787813040,72.4,72.5,72.4,72.4,26500,2026-08-27,,,,,,,,
1787813100,72.4,72.5,72.3,72.3,18900,2026-08-27,,,,,,,,
1787813160,72.3,72.4,72.3,72.4,15800,2026-08-27,,,,,,,,
1787813220,72.4,72.5,72.4,72.4,31600,2026-08-27,,,,,,,,
1787813280,72.4,72.4,72.4,72.4,2900,2026-08-27,,,,,,,,
1787813340,72.4,72.5,72.4,72.4,12300,2026-08-27,,,,,,,,
1787813400,72.4,72.5,72.4,72.5,19700,2026-08-27,,,,,,,,
1787813460,72.4,72.4,72.3,72.3,119200,2026-08-27,,,,,,,,
1787813520,72.2,72.4,72.2,72.3,15500,2026-08-27,,,,,,,,
1787813580,72.4,72.4,72.2,72.3,4900,2026-08-27,,,,,,,,
1787813640,72.3,72.4,72.2,72.2,9100,2026-08-27,,,,,,,,
1787813700,72.3,72.3,72.2,72.3,11500,2026-08-27,,,,,,,,
1787813760,72.2,72.4,72.2,72.3,14000,2026-08-27,,,,,,,,
1787813820,72.3,72.4,72.3,72.3,15400,2026-08-27,,,,,,,,
1787813880,72.3,72.4,72.3,72.3,31300,2026-08-27,,,,,,,,
1787813940,72.3,72.4,72.3,72.4,4900,2026-08-27,,,,,,,,
1787814000,72.4,72.4,72.3,72.4,1400,2026-08-27,,,,,,,,
1787814060,72.3,72.4,72.3,72.3,3400,2026-08-27,,,,,,,,
1787814120,72.3,72.4,72.3,72.3,800,2026-08-27,,,,,,,,
1787814180,72.3,72.4,72.3,72.3,3800,2026-08-27,,,,,,,,
1787814240,72.3,72.4,72.3,72.3,11600,2026-08-27,,,,,,,,
1787814300,72.3,72.4,72.3,72.3,5700,2026-08-27,,,,,,,,
1787814360,72.4,72.4,72.3,72.3,6900,2026-08-27,,,,,,,,
1787814420,72.3,72.4,72.3,72.4,20800,2026-08-27,,,,,,,,
1787814480,72.3,72.4,72.3,72.4,23700,2026-08-27,,,,,,,,
1787814540,72.4,72.4,72.3,72.4,9900,2026-08-27,,,,,,,,
1787814600,72.3,72.4,72.3,72.3,41200,2026-08-27,,,,,,,,
1787814660,72.3,72.4,72.3,72.4,14100,2026-08-27,,,,,,,,
1787814720,72.4,72.4,72.3,72.3,23000,2026-08-27,,,,,,,,
1787814780,72.4,72.4,72.3,72.4,10100,2026-08-27,,,,,,,,
1787814840,72.3,72.4,72.3,72.4,28400,2026-08-27,,,,,,,,
1787814900,72.3,72.4,72.3,72.3,38800,2026-08-27,,,,,,,,
1787814960,72.4,72.4,72.3,72.3,6400,2026-08-27,,,,,,,,
1787815020,72.3,72.4,72.3,72.4,28300,2026-08-27,,,,,,,,
1787815080,72.4,72.4,72.3,72.4,5600,2026-08-27,,,,,,,,
1787815140,72.4,72.4,72.3,72.4,12100,2026-08-27,,,,,,,,
1787815200,72.3,72.4,72.3,72.4,2700,2026-08-27,,,,,,,,
1787815260,72.4,72.4,72.3,72.4,7100,2026-08-27,,,,,,,,
1787815320,72.3,72.4,72.3,72.3,41200,2026-08-27,,,,,,,,
1787815380,72.4,72.4,72.3,72.4,10100,2026-08-27,,,,,,,,
1787815440,72.4,72.4,72.3,72.4,13500,2026-08-27,,,,,,,,
1787815500,72.3,72.4,72.3,72.3,21500,2026-08-27,,,,,,,,
1787815560,72.4,72.4,72.3,72.4,22200,2026-08-27,,,,,,,,
1787815620,72.4,72.4,72.3,72.3,17300,2026-08-27,,,,,,,,
1787815680,72.3,72.4,72.3,72.4,10900,2026-08-27,,,,,,,,
1787815740,72.4,72.5,72.3,72.4,112500,2026-08-27,,,,,,,,
1787816700,72.2,72.2,72.2,72.2,240800,2026-08-27,,,,,,,,
1787883300,72.2,72.5,72.2,72.4,112500,2026-08-28,,,,,,,,
1787883360,72.4,72.5,72.3,72.4,27200,2026-08-28,,,,,,,,
1787883420,72.4,72.7,72.4,72.7,67400,2026-08-28,,,,,,,,
1787883480,72.7,72.9,72.6,72.9,116000,2026-08-28,,,,,,,,
1787883540,73.0,73.4,72.8,73.3,328500,2026-08-28,,,,,,,,
1787883600,73.3,73.4,73.3,73.3,96400,2026-08-28,,,,,,,,
1787883660,73.3,73.4,73.3,73.4,85200,2026-08-28,,,,,,,,
1787883720,73.4,73.6,73.4,73.6,176000,2026-08-28,,,,,,,,
1787883780,73.6,73.8,73.6,73.7,132200,2026-08-28,,,,,,,,
1787883840,73.7,73.7,73.6,73.6,88500,2026-08-28,,,,,,,,
1787883900,73.6,73.7,73.5,73.6,86400,2026-08-28,,,,,,,,
1787883960,73.6,73.7,73.5,73.6,162200,2026-08-28,,,,,,,,
1787884020,73.6,73.6,73.4,73.5,59900,2026-08-28,,,,,,,,
1787884080,73.5,73.5,73.4,73.4,14400,2026-08-28,,,,,,,,
1787884140,73.4,73.5,73.3,73.4,50800,2026-08-28,,,,,,,,
1787884200,73.4,73.5,73.3,73.3,34400,2026-08-28,,,,,,,,
1787884260,73.4,73.5,73.4,73.4,20600,2026-08-28,,,,,,,,
1787884320,73.4,73.4,73.4,73.4,28800,2026-08-28,,,,,,,,
1787884380,73.4,73.4,73.3,73.4,20600,2026-08-28,,,,,,,,
1787884440,73.4,73.4,73.3,73.4,29500,2026-08-28,,,,,,,,
1787884500,73.3,73.5,73.3,73.4,55700,2026-08-28,,,,,,,,
1787884560,73.5,73.5,73.4,73.5,27900,2026-08-28,,,,,,,,
1787884620,73.4,73.5,73.4,73.5,29200,2026-08-28,,,,,,,,
1787884680,73.5,73.5,73.4,73.4,19900,2026-08-28,,,,,,,,
1787884740,73.5,73.5,73.4,73.5,57300,2026-08-28,,,,,,,,
1787884800,73.5,73.5,73.4,73.5,22500,2026-08-28,,,,,,,,
1787884860,73.4,73.5,73.4,73.5,14100,2026-08-28,,,,,,,,
1787884920,73.4,73.5,73.4,73.4,32900,2026-08-28,,,,,,,,
1787884980,73.5,73.8,73.4,73.7,439100,2026-08-28,,,,,,,,
1787885040,73.7,73.8,73.6,73.8,101100,2026-08-28,,,,,,,,
1787885100,73.7,73.8,73.7,73.7,74700,2026-08-28,,,,,,,,
1787885160,73.7,73.8,73.6,73.7,44800,2026-08-28,,,,,,,,
1787885220,73.6,73.7,73.6,73.7,22400,2026-08-28,,,,,,,,
1787885280,73.6,73.8,73.6,73.7,58000,2026-08-28,,,,,,,,
1787885340,73.7,73.9,73.7,73.8,234200,2026-08-28,,,,,,,,
1787885400,73.9,73.9,73.8,73.9,179700,2026-08-28,,,,,,,,
1787885460,74.0,74.0,73.9,74.0,32000,2026-08-28,,,,,,,,
1787885520,74.0,74.0,73.9,74.0,64700,2026-08-28,,,,,,,,
1787885580,73.9,74.0,73.8,73.9,212300,2026-08-28,,,,,,,,
1787885640,73.9,73.9,73.7,73.8,94100,2026-08-28,,,,,,,,
1787885700,73.9,73.9,73.7,73.8,113000,2026-08-28,,,,,,,,
1787885760,73.8,73.9,73.7,73.8,35400,2026-08-28,,,,,,,,
1787885820,73.8,73.8,73.6,73.8,53300,2026-08-28,,,,,,,,
1787885880,73.7,73.8,73.6,73.6,24300,2026-08-28,,,,,,,,
1787885940,73.6,73.7,73.5,73.6,44200,2026-08-28,,,,,,,,
1787886000,73.5,73.6,73.5,73.6,55000,2026-08-28,,,,,,,,
1787886060,73.6,73.7,73.6,73.7,26700,2026-08-28,,,,,,,,
1787886120,73.7,73.7,73.6,73.6,32200,2026-08-28,,,,,,,,
1787886180,73.7,73.7,73.6,73.7,17600,2026-08-28,,,,,,,,
1787886240,73.6,73.7,73.6,73.6,37100,2026-08-28,,,,,,,,
1787886300,73.7,73.7,73.5,73.7,46100,2026-08-28,,,,,,,,
1787886360,73.7,73.7,73.5,73.6,22000,2026-08-28,,,,,,,,
1787886420,73.6,73.6,73.5,73.6,9800,2026-08-28,,,,,,,,
1787886480,73.5,73.6,73.5,73.6,10700,2026-08-28,,,,,,,,
1787886540,73.5,73.6,73.5,73.6,13600,2026-08-28,,,,,,,,
1787886600,73.6,73.6,73.5,73.6,15900,2026-08-28,,,,,,,,
1787886660,73.5,73.6,73.5,73.5,50200,2026-08-28,,,,,,,,
1787886720,73.5,73.6,73.4,73.5,63700,2026-08-28,,,,,,,,
1787886780,73.5,73.5,73.4,73.5,17800,2026-08-28,,,,,,,,
1787886840,73.4,73.5,73.4,73.5,46700,2026-08-28,,,,,,,,
1787886900,73.5,73.5,73.3,73.5,20700,2026-08-28,,,,,,,,
1787886960,73.5,73.5,73.4,73.4,18300,2026-08-28,,,,,,,,
1787887020,73.5,73.5,73.4,73.5,13300,2026-08-28,,,,,,,,
1787887080,73.5,73.6,73.4,73.5,64300,2026-08-28,,,,,,,,
1787887140,73.6,73.6,73.5,73.5,17200,2026-08-28,,,,,,,,
1787887200,73.6,73.6,73.5,73.6,24400,2026-08-28,,,,,,,,
1787887260,73.6,73.6,73.5,73.6,13100,2026-08-28,,,,,,,,
1787887320,73.6,73.6,73.5,73.6,31400,2026-08-28,,,,,,,,
1787887380,73.5,73.7,73.5,73.7,19700,2026-08-28,,,,,,,,
1787887440,73.7,73.7,73.6,73.7,20800,2026-08-28,,,,,,,,
1787887500,73.7,73.7,73.6,73.7,20400,2026-08-28,,,,,,,,
1787887560,73.6,73.7,73.6,73.7,17400,2026-08-28,,,,,,,,
1787887620,73.6,73.7,73.6,73.6,24900,2026-08-28,,,,,,,,
1787887680,73.6,73.7,73.6,73.7,22900,2026-08-28,,,,,,,,
1787887740,73.6,73.8,73.6,73.7,39400,2026-08-28,,,,,,,,
1787887800,73.7,73.7,73.6,73.6,41100,2026-08-28,,,,,,,,
1787887860,73.6,73.8,73.6,73.8,75600,2026-08-28,,,,,,,,
1787887920,73.8,73.8,73.7,73.8,76700,2026-08-28,,,,,,,,
1787887980,73.7,73.9,73.7,73.7,112800,2026-08-28,,,,,,,,
1787888040,73.8,73.9,73.7,73.8,30400,2026-08-28,,,,,,,,
1787888100,73.7,73.9,73.7,73.8,48600,2026-08-28,,,,,,,,
1787888160,73.9,73.9,73.7,73.8,19600,2026-08-28,,,,,,,,
1787888220,73.8,73.9,73.7,73.9,24400,2026-08-28,,,,,,,,
1787888280,73.8,73.9,73.7,73.9,20800,2026-08-28,,,,,,,,
1787888340,73.7,73.9,73.7,73.9,14700,2026-08-28,,,,,,,,
1787888400,73.8,73.9,73.8,73.9,25300,2026-08-28,,,,,,,,
1787888460,73.8,73.9,73.8,73.9,22200,2026-08-28,,,,,,,,
1787888520,73.8,73.9,73.8,73.8,21900,2026-08-28,,,,,,,,
1787888580,73.8,73.9,73.8,73.9,45400,2026-08-28,,,,,,,,
1787888640,73.9,73.9,73.8,73.9,37800,2026-08-28,,,,,,,,
1787888700,73.8,73.9,73.8,73.9,26600,2026-08-28,,,,,,,,
1787888760,73.8,73.9,73.8,73.9,23500,2026-08-28,,,,,,,,
1787888820,73.9,73.9,73.8,73.8,24800,2026-08-28,,,,,,,,
1787888880,73.9,73.9,73.8,73.9,25800,2026-08-28,,,,,,,,
1787888940,73.9,73.9,73.8,73.9,30200,2026-08-28,,,,,,,,
1787889000,73.9,73.9,73.8,73.9,31500,2026-08-28,,,,,,,,
1787889060,73.8,73.9,73.8,73.8,44300,2026-08-28,,,,,,,,
1787889120,73.8,73.9,73.8,73.9,59300,2026-08-28,,,,,,,,
1787889180,73.8,73.9,73.8,73.8,18500,2026-08-28,,,,,,,,
1787889240,73.8,73.9,73.7,73.9,16900,2026-08-28,,,,,,,,
1787889300,73.9,73.9,73.8,73.9,14300,2026-08-28,,,,,,,,
1787889360,73.9,73.9,73.8,73.8,15100,2026-08-28,,,,,,,,
1787889420,73.9,73.9,73.8,73.9,10800,2026-08-28,,,,,,,,
1787889480,73.8,73.9,73.7,73.9,29200,2026-08-28,,,,,,,,
1787889540,73.8,73.9,73.8,73.9,19700,2026-08-28,,,,,,,,
1787889600,73.8,73.9,73.7,73.8,57300,2026-08-28,,,,,,,,
1787889660,73.9,73.9,73.7,73.9,24800,2026-08-28,,,,,,,,
1787889720,73.9,73.9,73.7,73.9,22000,2026-08-28,,,,,,,,
1787889780,73.9,73.9,73.7,73.9,28400,2026-08-28,,,,,,,,
1787889840,73.9,73.9,73.8,73.8,13800,2026-08-28,,,,,,,,
1787889900,73.8,73.9,73.8,73.9,30200,2026-08-28,,,,,,,,
1787889960,73.8,73.9,73.8,73.8,27500,2026-08-28,,,,,,,,
1787890020,73.8,73.8,73.6,73.7,42400,2026-08-28,,,,,,,,
1787890080,73.7,73.8,73.6,73.6,19200,2026-08-28,,,,,,,,
1787890140,73.7,73.8,73.6,73.7,19500,2026-08-28,,,,,,,,
1787890200,73.7,73.7,73.6,73.7,46800,2026-08-28,,,,,,,,
1787890260,73.6,73.8,73.6,73.8,14600,2026-08-28,,,,,,,,
1787890320,73.8,73.8,73.6,73.8,21000,2026-08-28,,,,,,,,
