t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1784613600,70.8,71.4,70.7,70.7,9900,2026-07-21,,,,,,,,
1784613660,70.8,70.8,70.6,70.7,2300,2026-07-21,,,,,,,,
1784613720,70.7,71.1,70.6,71.1,6600,2026-07-21,,,,,,,,
1784613780,70.7,71.0,70.7,71.0,3200,2026-07-21,,,,,,,,
1784613840,71.1,71.1,70.7,70.7,3400,2026-07-21,,,,,,,,
1784613900,70.7,70.8,70.7,70.7,2300,2026-07-21,,,,,,,,
1784613960,70.7,70.7,70.7,70.7,3500,2026-07-21,,,,,,,,
1784614020,70.7,70.8,70.6,70.6,2700,2026-07-21,,,,,,,,
1784614080,70.7,71.0,70.7,70.8,3300,2026-07-21,,,,,,,,
1784614140,70.8,70.9,70.7,70.7,2000,2026-07-21,,,,,,,,
1784614200,70.8,71.0,70.7,71.0,4600,2026-07-21,,,,,,,,
1784614260,71.0,71.0,70.7,70.8,4200,2026-07-21,,,,,,,,
1784614320,70.8,70.8,70.7,70.7,3100,2026-07-21,,,,,,,,
1784614380,70.7,70.9,70.7,70.9,4500,2026-07-21,,,,,,,,
1784614440,70.7,70.9,70.7,70.9,3300,2026-07-21,,,,,,,,
1784614500,70.8,70.9,70.8,70.9,5000,2026-07-21,,,,,,,,
1784614560,71.0,71.0,70.8,70.8,2600,2026-07-21,,,,,,,,
1784614620,70.8,70.9,70.8,70.8,3000,2026-07-21,,,,,,,,
1784614680,70.8,70.9,70.8,70.8,2700,2026-07-21,,,,,,,,
1784614740,70.8,70.8,70.7,70.7,16600,2026-07-21,,,,,,,,
1784614800,70.8,70.8,70.7,70.8,3000,2026-07-21,,,,,,,,
1784614860,70.7,70.8,70.6,70.7,4200,2026-07-21,,,,,,,,
1784614920,70.7,70.7,70.6,70.7,3800,2026-07-21,,,,,,,,
1784614980,70.7,70.7,70.6,70.6,4700,2026-07-21,,,,,,,,
1784615040,70.6,70.7,70.5,70.5,12400,2026-07-21,,,,,,,,
1784615100,70.6,70.6,70.5,70.5,11200,2026-07-21,,,,,,,,
1784615160,70.5,70.5,70.5,70.5,10300,2026-07-21,,,,,,,,
1784615220,70.5,70.5,70.4,70.4,15600,2026-07-21,,,,,,,,
1784615280,70.4,70.5,70.3,70.5,11900,2026-07-21,,,,,,,,
1784615340,70.4,70.4,70.3,70.4,5800,2026-07-21,,,,,,,,
1784615400,70.4,70.5,70.4,70.5,8000,2026-07-21,,,,,,,,
1784615460,70.6,70.7,70.5,70.7,9000,2026-07-21,,,,,,,,
1784615520,70.6,70.7,70.5,70.6,2600,2026-07-21,,,,,,,,
1784615580,70.5,70.5,70.3,70.3,13500,2026-07-21,,,,,,,,
1784615640,70.3,70.3,70.3,70.3,5800,2026-07-21,,,,,,,,
1784615700,70.3,70.4,70.3,70.3,6700,2026-07-21,,,,,,,,
1784615760,70.3,70.3,70.1,70.2,20200,2026-07-21,,,,,,,,
1784615820,70.2,70.2,70.0,70.1,21100,2026-07-21,,,,,,,,
1784615880,70.2,70.2,70.1,70.1,10900,2026-07-21,,,,,,,,
1784615940,70.1,70.1,69.8,69.8,76300,2026-07-21,,,,,,,,
1784616000,69.7,69.7,69.5,69.7,10400,2026-07-21,,,,,,,,
1784616060,69.6,69.6,69.1,69.4,40300,2026-07-21,,,,,,,,
1784616120,69.3,69.3,69.1,69.2,21000,2026-07-21,,,,,,,,
1784616180,69.2,69.4,69.1,69.2,24700,2026-07-21,,,,,,,,
1784616240,69.2,69.2,68.5,68.6,87300,2026-07-21,,,,,,,,
1784616300,68.7,68.7,68.3,68.4,49200,2026-07-21,,,,,,,,
1784616360,68.3,68.5,68.2,68.3,63600,2026-07-21,,,,,,,,
1784616420,68.3,68.4,68.1,68.2,131700,2026-07-21,,,,,,,,
1784616480,68.1,68.2,68.0,68.0,306900,2026-07-21,,,,,,,,
1784616540,68.0,68.0,68.0,68.0,12700,2026-07-21,,,,,,,,
1784616600,68.0,68.0,68.0,68.0,9600,2026-07-21,,,,,,,,
1784616660,68.0,68.0,68.0,68.0,12100,2026-07-21,,,,,,,,
1784616720,68.0,68.0,68.0,68.0,14900,2026-07-21,,,,,,,,
1784616780,68.0,68.0,68.0,68.0,15500,2026-07-21,,,,,,,,
1784616840,68.0,68.0,68.0,68.0,12000,2026-07-21,,,,,,,,
1784616900,68.0,68.0,68.0,68.0,9700,2026-07-21,,,,,,,,
1784616960,68.0,68.0,68.0,68.0,12500,2026-07-21,,,,,,,,
