t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1781848800,35.0,35.1,35.0,35.0,5300,2026-06-19,,,,,,,,
1781848860,35.0,35.0,35.0,35.0,15800,2026-06-19,,,,,,,,
1781848920,35.0,35.0,35.0,35.0,8600,2026-06-19,,,,,,,,
1781848980,34.95,35.0,34.95,35.0,800,2026-06-19,,,,,,,,
1781849040,35.05,35.05,35.05,35.05,700,2026-06-19,,,,,,,,
1781849160,35.0,35.0,35.0,35.0,1000,2026-06-19,,,,,,,,
1781849220,35.05,35.05,35.0,35.0,900,2026-06-19,,,,,,,,
1781849280,35.05,35.05,35.0,35.0,7600,2026-06-19,,,,,,,,
1781849340,35.0,35.05,34.95,35.05,14900,2026-06-19,,,,,,,,
1781849400,35.0,35.0,35.0,35.0,800,2026-06-19,,,,,,,,
1781849460,35.0,35.05,35.0,35.05,1100,2026-06-19,,,,,,,,
1781849520,35.05,35.05,35.0,35.05,2200,2026-06-19,,,,,,,,
1781849580,35.05,35.05,35.0,35.05,1100,2026-06-19,,,,,,,,
1781849640,35.05,35.05,35.05,35.05,5800,2026-06-19,,,,,,,,
1781849700,35.1,35.1,35.1,35.1,1800,2026-06-19,,,,,,,,
1781849760,35.05,35.05,35.0,35.0,1600,2026-06-19,,,,,,,,
1781849820,35.0,35.0,35.0,35.0,200,2026-06-19,,,,,,,,
1781849880,35.05,35.05,35.05,35.05,500,2026-06-19,,,,,,,,
1781850000,35.05,35.05,35.05,35.05,800,2026-06-19,,,,,,,,
1781850060,35.0,35.0,35.0,35.0,100,2026-06-19,,,,,,,,
1781850120,35.0,35.0,35.0,35.0,22500,2026-06-19,,,,,,,,
1781850180,35.0,35.05,35.0,35.05,20200,2026-06-19,,,,,,,,
1781850240,35.05,35.05,35.0,35.0,4900,2026-06-19,,,,,,,,
1781850300,35.0,35.0,35.0,35.0,5100,2026-06-19,,,,,,,,
1781850360,35.0,35.0,35.0,35.0,5000,2026-06-19,,,,,,,,
1781850420,35.0,35.1,35.0,35.0,7600,2026-06-19,,,,,,,,
1781850480,35.0,35.0,34.95,35.0,10100,2026-06-19,,,,,,,,
1781850540,35.0,35.0,35.0,35.0,3800,2026-06-19,,,,,,,,
1781850600,35.05,35.05,34.95,35.0,3100,2026-06-19,,,,,,,,
1781850660,35.0,35.05,35.0,35.05,22500,2026-06-19,,,,,,,,
1781850720,35.05,35.05,35.0,35.0,9800,2026-06-19,,,,,,,,
1781850780,35.0,35.0,35.0,35.0,7000,2026-06-19,,,,,,,,
1781850840,35.0,35.0,35.0,35.0,200,2026-06-19,,,,,,,,
1781850900,35.0,35.0,34.85,34.9,63300,2026-06-19,,,,,,,,
1781850960,34.9,34.9,34.85,34.85,20500,2026-06-19,,,,,,,,
1781851020,34.85,34.85,34.75,34.8,59300,2026-06-19,,,,,,,,
1781851080,34.8,34.85,34.75,34.85,16700,2026-06-19,,,,,,,,
1781851140,34.8,34.9,34.8,34.9,10900,2026-06-19,,,,,,,,
1781851200,34.9,34.9,34.9,34.9,3600,2026-06-19,,,,,,,,
1781851260,34.9,34.9,34.8,34.9,23700,2026-06-19,,,,,,,,
1781851320,34.9,34.9,34.85,34.9,12200,2026-06-19,,,,,,,,
1781851380,34.9,34.9,34.85,34.85,3600,2026-06-19,,,,,,,,
1781851440,34.9,34.9,34.85,34.9,22800,2026-06-19,,,,,,,,
1781851500,34.85,34.9,34.8,34.9,32300,2026-06-19,,,,,,,,
1781851560,34.9,34.9,34.9,34.9,2300,2026-06-19,,,,,,,,
1781851620,34.9,34.95,34.85,34.95,5400,2026-06-19,,,,,,,,
1781851680,34.95,34.95,34.9,34.95,5000,2026-06-19,,,,,,,,
1781851740,34.95,34.95,34.9,34.95,13000,2026-06-19,,,,,,,,
1781851800,34.9,34.9,34.9,34.9,7000,2026-06-19,,,,,,,,
1781851860,34.85,34.9,34.85,34.85,14100,2026-06-19,,,,,,,,
1781851920,34.85,34.85,34.85,34.85,17600,2026-06-19,,,,,,,,
1781851980,34.9,34.95,34.85,34.85,19500,2026-06-19,,,,,,,,
1781852040,34.9,34.95,34.85,34.9,3500,2026-06-19,,,,,,,,
1781852100,34.95,34.95,34.9,34.95,15400,2026-06-19,,,,,,,,
1781852220,34.95,34.95,34.95,34.95,3200,2026-06-19,,,,,,,,
1781852280,34.95,35.0,34.95,35.0,10500,2026-06-19,,,,,,,,
1781852340,34.95,34.95,34.9,34.95,40800,2026-06-19,,,,,,,,
1781852400,35.0,35.0,35.0,35.0,1500,2026-06-19,,,,,,,,
1781852460,35.0,35.05,35.0,35.05,17800,2026-06-19,,,,,,,,
1781852520,35.0,35.0,35.0,35.0,2200,2026-06-19,,,,,,,,
1781852580,34.95,34.95,34.95,34.95,10000,2026-06-19,,,,,,,,
1781852640,34.95,34.95,34.95,34.95,9700,2026-06-19,,,,,,,,
1781852700,34.95,34.95,34.95,34.95,3700,2026-06-19,,,,,,,,
1781852760,34.95,34.95,34.9,34.95,6000,2026-06-19,,,,,,,,
1781852820,34.95,34.95,34.85,34.85,25500,2026-06-19,,,,,,,,
1781852880,34.85,34.9,34.85,34.9,12800,2026-06-19,,,,,,,,
1781852940,34.9,34.9,34.8,34.85,11000,2026-06-19,,,,,,,,
