t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1781848800,25.1,25.15,25.1,25.1,126100,2026-06-19,,,,,,,,
1781848860,25.1,25.1,25.05,25.05,400,2026-06-19,,,,,,,,
1781848920,25.1,25.1,25.1,25.1,600,2026-06-19,,,,,,,,
1781848980,25.1,25.1,25.05,25.1,10200,2026-06-19,,,,,,,,
1781849040,25.1,25.1,25.05,25.05,13300,2026-06-19,,,,,,,,
1781849100,25.05,25.05,25.05,25.05,5100,2026-06-19,,,,,,,,
1781849160,25.05,25.1,25.05,25.05,17200,2026-06-19,,,,,,,,
1781849220,25.05,25.05,25.05,25.05,4300,2026-06-19,,,,,,,,
1781849280,25.05,25.05,25.05,25.05,3600,2026-06-19,,,,,,,,
1781849340,25.05,25.1,25.05,25.1,1100,2026-06-19,,,,,,,,
1781849400,25.05,25.1,25.05,25.1,1500,2026-06-19,,,,,,,,
1781849460,25.05,25.05,25.05,25.05,40400,2026-06-19,,,,,,,,
1781849520,25.05,25.05,25.05,25.05,2700,2026-06-19,,,,,,,,
1781849580,25.05,25.05,25.05,25.05,217000,2026-06-19,,,,,,,,
1781849640,25.05,25.05,25.05,25.05,200,2026-06-19,,,,,,,,
1781849700,25.05,25.05,25.05,25.05,100,2026-06-19,,,,,,,,
1781849760,25.05,25.1,25.05,25.1,28900,2026-06-19,,,,,,,,
1781849820,25.05,25.05,25.05,25.05,122800,2026-06-19,,,,,,,,
1781849880,25.05,25.05,25.05,25.05,334700,2026-06-19,,,,,,,,
1781849940,25.05,25.05,25.05,25.05,164900,2026-06-19,,,,,,,,
1781850000,25.0,25.05,25.0,25.05,31300,2026-06-19,,,,,,,,
1781850060,25.05,25.05,25.05,25.05,6400,2026-06-19,,,,,,,,
1781850120,25.05,25.05,25.05,25.05,4900,2026-06-19,,,,,,,,
1781850180,25.05,25.05,25.0,25.05,61600,2026-06-19,,,,,,,,
1781850240,25.05,25.05,25.05,25.05,141800,2026-06-19,,,,,,,,
1781850300,25.05,25.05,25.05,25.05,6900,2026-06-19,,,,,,,,
1781850360,25.05,25.05,25.05,25.05,5500,2026-06-19,,,,,,,,
1781850420,25.05,25.05,25.05,25.05,160800,2026-06-19,,,,,,,,
1781850480,25.05,25.05,25.05,25.05,1600,2026-06-19,,,,,,,,
1781850540,25.05,25.05,25.05,25.05,58500,2026-06-19,,,,,,,,
1781850600,25.0,25.05,25.0,25.05,1700,2026-06-19,,,,,,,,
1781850660,25.1,25.1,25.05,25.05,15600,2026-06-19,,,,,,,,
1781850720,25.05,25.05,25.05,25.05,14000,2026-06-19,,,,,,,,
1781850780,25.05,25.1,25.05,25.1,3200,2026-06-19,,,,,,,,
1781850840,25.1,25.1,25.1,25.1,100,2026-06-19,,,,,,,,
1781850900,25.05,25.05,25.05,25.05,15300,2026-06-19,,,,,,,,
1781850960,25.05,25.05,25.05,25.05,2800,2026-06-19,,,,,,,,
1781851020,25.05,25.05,25.05,25.05,31800,2026-06-19,,,,,,,,
1781851080,25.05,25.05,25.05,25.05,4900,2026-06-19,,,,,,,,
1781851140,25.05,25.05,25.0,25.0,1376700,2026-06-19,,,,,,,,
1781851200,25.0,25.05,25.0,25.05,38300,2026-06-19,,,,,,,,
1781851260,25.0,25.05,25.0,25.05,18300,2026-06-19,,,,,,,,
1781851320,25.05,25.05,25.0,25.0,30300,2026-06-19,,,,,,,,
1781851380,25.0,25.0,25.0,25.0,9100,2026-06-19,,,,,,,,
1781851440,25.0,25.0,25.0,25.0,44600,2026-06-19,,,,,,,,
1781851500,25.0,25.0,25.0,25.0,116000,2026-06-19,,,,,,,,
1781851560,25.0,25.05,25.0,25.05,14000,2026-06-19,,,,,,,,
1781851620,25.05,25.05,25.05,25.05,900,2026-06-19,,,,,,,,
1781851680,25.05,25.05,25.05,25.05,1100,2026-06-19,,,,,,,,
1781851740,25.0,25.05,25.0,25.05,125100,2026-06-19,,,,,,,,
1781851800,25.05,25.1,25.05,25.1,23100,2026-06-19,,,,,,,,
