t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1783304100,23.4,23.45,23.4,23.45,348500,2026-07-06,,,,,,,,
1783304160,23.45,23.5,23.4,23.5,347900,2026-07-06,,,,,,,,
1783304220,23.5,23.6,23.5,23.6,690500,2026-07-06,,,,,,,,
1783304280,23.55,23.6,23.5,23.55,229000,2026-07-06,,,,,,,,
1783304340,23.5,23.55,23.5,23.5,506400,2026-07-06,,,,,,,,
1783304400,23.5,23.5,23.45,23.5,131400,2026-07-06,,,,,,,,
1783304460,23.5,23.55,23.5,23.55,155100,2026-07-06,,,,,,,,
1783304520,23.5,23.55,23.5,23.5,106900,2026-07-06,,,,,,,,
1783304580,23.5,23.55,23.5,23.55,147800,2026-07-06,,,,,,,,
1783304640,23.55,23.55,23.5,23.55,62000,2026-07-06,,,,,,,,
1783304700,23.55,23.55,23.5,23.5,71100,2026-07-06,,,,,,,,
1783304760,23.5,23.55,23.5,23.55,35800,2026-07-06,,,,,,,,
1783304820,23.55,23.55,23.5,23.5,257400,2026-07-06,,,,,,,,
1783304880,23.5,23.55,23.5,23.5,286000,2026-07-06,,,,,,,,
1783304940,23.5,23.5,23.45,23.45,46200,2026-07-06,,,,,,,,
1783305000,23.45,23.5,23.45,23.5,17900,2026-07-06,,,,,,,,
1783305060,23.5,23.5,23.45,23.5,13800,2026-07-06,,,,,,,,
1783305120,23.5,23.5,23.5,23.5,137600,2026-07-06,,,,,,,,
1783305180,23.5,23.5,23.45,23.5,181400,2026-07-06,,,,,,,,
1783305240,23.5,23.5,23.5,23.5,132500,2026-07-06,,,,,,,,
1783305300,23.5,23.5,23.45,23.5,53400,2026-07-06,,,,,,,,
1783305360,23.45,23.5,23.45,23.5,57600,2026-07-06,,,,,,,,
1783305420,23.5,23.5,23.45,23.5,12500,2026-07-06,,,,,,,,
1783305480,23.5,23.5,23.45,23.5,14800,2026-07-06,,,,,,,,
1783305540,23.5,23.5,23.45,23.45,209000,2026-07-06,,,,,,,,
1783305600,23.5,23.55,23.5,23.5,23900,2026-07-06,,,,,,,,
1783305660,23.5,23.55,23.5,23.5,25300,2026-07-06,,,,,,,,
1783305720,23.5,23.55,23.5,23.5,46100,2026-07-06,,,,,,,,
1783305780,23.5,23.55,23.5,23.5,110000,2026-07-06,,,,,,,,
1783305840,23.5,23.55,23.5,23.5,72700,2026-07-06,,,,,,,,
1783305900,23.5,23.5,23.45,23.5,36000,2026-07-06,,,,,,,,
1783305960,23.45,23.5,23.45,23.45,28300,2026-07-06,,,,,,,,
1783306020,23.45,23.5,23.45,23.45,90600,2026-07-06,,,,,,,,
1783306080,23.5,23.5,23.45,23.45,29200,2026-07-06,,,,,,,,
1783306140,23.45,23.5,23.45,23.45,140000,2026-07-06,,,,,,,,
1783306200,23.45,23.5,23.45,23.45,260900,2026-07-06,,,,,,,,
1783306260,23.4,23.45,23.4,23.4,31700,2026-07-06,,,,,,,,
1783306320,23.4,23.45,23.4,23.4,35700,2026-07-06,,,,,,,,
1783306380,23.4,23.4,23.4,23.4,45500,2026-07-06,,,,,,,,
1783306440,23.4,23.45,23.4,23.4,27600,2026-07-06,,,,,,,,
1783306500,23.4,23.45,23.4,23.4,51800,2026-07-06,,,,,,,,
1783306560,23.4,23.45,23.4,23.45,322100,2026-07-06,,,,,,,,
1783306620,23.4,23.4,23.35,23.35,140000,2026-07-06,,,,,,,,
1783306680,23.35,23.4,23.35,23.35,51100,2026-07-06,,,,,,,,
1783306740,23.35,23.4,23.35,23.35,61800,2026-07-06,,,,,,,,
1783306800,23.4,23.4,23.35,23.35,30000,2026-07-06,,,,,,,,
1783306860,23.35,23.35,23.35,23.35,27600,2026-07-06,,,,,,,,
1783306920,23.35,23.35,23.35,23.35,25100,2026-07-06,,,,,,,,
1783306980,23.35,23.35,23.35,23.35,29500,2026-07-06,,,,,,,,
1783307040,23.4,23.4,23.35,23.35,25000,2026-07-06,,,,,,,,
1783307100,23.35,23.4,23.35,23.35,30900,2026-07-06,,,,,,,,
1783307160,23.4,23.4,23.35,23.35,25300,2026-07-06,,,,,,,,
1783307220,23.35,23.4,23.35,23.4,31700,2026-07-06,,,,,,,,
1783307280,23.35,23.35,23.35,23.35,26700,2026-07-06,,,,,,,,
1783307340,23.35,23.4,23.35,23.35,33400,2026-07-06,,,,,,,,
1783307400,23.35,23.4,23.35,23.35,14400,2026-07-06,,,,,,,,
1783307460,23.35,23.4,23.35,23.35,22700,2026-07-06,,,,,,,,
1783307520,23.35,23.4,23.35,23.35,26400,2026-07-06,,,,,,,,
1783307580,23.4,23.4,23.35,23.4,19400,2026-07-06,,,,,,,,
1783307640,23.4,23.4,23.35,23.4,13200,2026-07-06,,,,,,,,
1783307700,23.4,23.4,23.35,23.35,4900,2026-07-06,,,,,,,,
1783307760,23.35,23.4,23.35,23.35,31000,2026-07-06,,,,,,,,
1783307820,23.4,23.4,23.35,23.4,110000,2026-07-06,,,,,,,,
1783307880,23.4,23.4,23.35,23.4,7800,2026-07-06,,,,,,,,
1783307940,23.4,23.4,23.35,23.4,4700,2026-07-06,,,,,,,,
1783308000,23.35,23.4,23.35,23.4,76000,2026-07-06,,,,,,,,
1783308060,23.4,23.4,23.35,23.4,11800,2026-07-06,,,,,,,,
1783308120,23.4,23.4,23.35,23.4,126500,2026-07-06,,,,,,,,
1783308180,23.4,23.45,23.4,23.45,9200,2026-07-06,,,,,,,,
1783308240,23.45,23.45,23.4,23.4,18900,2026-07-06,,,,,,,,
1783308300,23.4,23.4,23.4,23.4,7800,2026-07-06,,,,,,,,
1783308360,23.4,23.45,23.4,23.45,15200,2026-07-06,,,,,,,,
1783308420,23.45,23.45,23.4,23.4,4200,2026-07-06,,,,,,,,
