t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1785982500,53.2,53.2,53.0,53.0,11000,2026-08-06,,,,,,,,
1785982560,53.0,53.0,52.8,52.8,2700,2026-08-06,,,,,,,,
1785982620,52.8,52.8,52.8,52.8,3300,2026-08-06,,,,,,,,
1785982680,52.8,52.8,52.7,52.8,8000,2026-08-06,,,,,,,,
1785982740,52.8,52.8,52.8,52.8,5100,2026-08-06,,,,,,,,
1785982800,52.9,52.9,52.9,52.9,100,2026-08-06,,,,,,,,
1785982860,52.9,52.9,52.8,52.8,2300,2026-08-06,,,,,,,,
1785982920,52.9,52.9,52.9,52.9,2000,2026-08-06,,,,,,,,
1785982980,53.0,53.0,53.0,53.0,5400,2026-08-06,,,,,,,,
1785983040,53.0,53.0,52.9,52.9,300,2026-08-06,,,,,,,,
1785983100,52.9,52.9,52.9,52.9,1400,2026-08-06,,,,,,,,
1785983160,52.9,52.9,52.9,52.9,15400,2026-08-06,,,,,,,,
1785983220,52.9,52.9,52.8,52.9,8900,2026-08-06,,,,,,,,
1785983280,52.8,52.9,52.8,52.9,13700,2026-08-06,,,,,,,,
1785983340,52.9,52.9,52.7,52.7,300,2026-08-06,,,,,,,,
1785983400,52.7,52.7,52.7,52.7,1000,2026-08-06,,,,,,,,
1785983520,52.7,52.7,52.7,52.7,800,2026-08-06,,,,,,,,
1785983580,52.7,52.7,52.7,52.7,8700,2026-08-06,,,,,,,,
1785983640,52.7,52.7,52.6,52.7,4400,2026-08-06,,,,,,,,
1785983700,52.7,52.7,52.6,52.6,14700,2026-08-06,,,,,,,,
1785983760,52.6,52.6,52.5,52.5,28200,2026-08-06,,,,,,,,
1785983820,52.6,52.7,52.6,52.6,4200,2026-08-06,,,,,,,,
1785983940,52.7,52.7,52.7,52.7,600,2026-08-06,,,,,,,,
1785984000,52.7,52.7,52.6,52.7,2300,2026-08-06,,,,,,,,
1785984060,52.7,52.8,52.7,52.8,13700,2026-08-06,,,,,,,,
1785984180,52.8,52.8,52.8,52.8,100,2026-08-06,,,,,,,,
1785984240,52.9,52.9,52.9,52.9,100,2026-08-06,,,,,,,,
1785984300,52.9,52.9,52.9,52.9,300,2026-08-06,,,,,,,,
1785984360,52.9,52.9,52.9,52.9,300,2026-08-06,,,,,,,,
1785984420,52.9,52.9,52.8,52.8,5900,2026-08-06,,,,,,,,
1785984540,52.8,52.8,52.5,52.8,101000,2026-08-06,,,,,,,,
1785984600,52.6,52.6,52.6,52.6,2300,2026-08-06,,,,,,,,
1785984660,52.5,52.6,52.5,52.6,25100,2026-08-06,,,,,,,,
1785984720,52.6,52.7,52.6,52.7,28600,2026-08-06,,,,,,,,
1785984780,52.7,52.7,52.6,52.6,2100,2026-08-06,,,,,,,,
1785984840,52.7,52.7,52.7,52.7,700,2026-08-06,,,,,,,,
1785984900,52.6,52.7,52.6,52.7,400,2026-08-06,,,,,,,,
1785984960,52.7,52.7,52.7,52.7,1900,2026-08-06,,,,,,,,
1785985020,52.7,52.7,52.7,52.7,500,2026-08-06,,,,,,,,
1785985080,52.7,52.7,52.7,52.7,2100,2026-08-06,,,,,,,,
1785985140,52.7,52.7,52.7,52.7,500,2026-08-06,,,,,,,,
1785985200,52.7,52.8,52.7,52.8,13300,2026-08-06,,,,,,,,
1785985260,52.8,52.9,52.8,52.9,5000,2026-08-06,,,,,,,,
1785985380,52.9,52.9,52.9,52.9,4500,2026-08-06,,,,,,,,
1785985500,52.9,52.9,52.9,52.9,15700,2026-08-06,,,,,,,,
1785985620,53.0,53.0,53.0,53.0,1400,2026-08-06,,,,,,,,
1785985680,53.0,53.0,53.0,53.0,300,2026-08-06,,,,,,,,
1785985740,53.0,53.0,53.0,53.0,1000,2026-08-06,,,,,,,,
1785985800,53.0,53.0,53.0,53.0,1100,2026-08-06,,,,,,,,
1785985980,53.1,53.1,53.1,53.1,200,2026-08-06,,,,,,,,
1785986040,53.1,53.2,53.1,53.2,1500,2026-08-06,,,,,,,,
1785986100,53.2,53.2,53.2,53.2,6300,2026-08-06,,,,,,,,
1785986160,53.1,53.1,53.1,53.1,11400,2026-08-06,,,,,,,,
1785986220,53.2,53.2,53.2,53.2,10000,2026-08-06,,,,,,,,
1785986280,53.3,53.3,53.2,53.2,4900,2026-08-06,,,,,,,,
1785986340,53.2,53.3,53.2,53.3,4200,2026-08-06,,,,,,,,
1785986400,53.3,53.3,53.3,53.3,5500,2026-08-06,,,,,,,,
1785986460,53.3,53.3,53.2,53.2,6500,2026-08-06,,,,,,,,
1785986520,53.2,53.2,53.1,53.1,7600,2026-08-06,,,,,,,,
1785986580,53.1,53.2,53.1,53.2,6200,2026-08-06,,,,,,,,
1785986640,53.2,53.2,53.2,53.2,900,2026-08-06,,,,,,,,
1785986700,53.2,53.2,53.2,53.2,17100,2026-08-06,,,,,,,,
1785986760,53.2,53.2,52.8,52.8,50800,2026-08-06,,,,,,,,
1785986820,52.8,52.8,52.8,52.8,3700,2026-08-06,,,,,,,,
1785986940,52.9,52.9,52.9,52.9,1800,2026-08-06,,,,,,,,
1785987000,52.9,52.9,52.8,52.9,5000,2026-08-06,,,,,,,,
1785987060,52.9,52.9,52.9,52.9,3200,2026-08-06,,,,,,,,
1785987120,53.0,53.0,53.0,53.0,3600,2026-08-06,,,,,,,,
1785987180,53.0,53.0,53.0,53.0,1500,2026-08-06,,,,,,,,
1785987240,53.0,53.0,53.0,53.0,300,2026-08-06,,,,,,,,
1785987300,53.0,53.0,52.8,52.8,46600,2026-08-06,,,,,,,,
