t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1787192100,20.0,20.05,20.0,20.05,168900,2026-08-20,,,,,,,,
1787192160,20.05,20.1,20.05,20.1,80100,2026-08-20,,,,,,,,
1787192220,20.1,20.2,20.05,20.2,160100,2026-08-20,,,,,,,,
1787192280,20.2,20.2,20.15,20.2,14300,2026-08-20,,,,,,,,
1787192340,20.15,20.2,20.15,20.15,60800,2026-08-20,,,,,,,,
1787192400,20.15,20.15,20.1,20.1,53700,2026-08-20,,,,,,,,
1787192460,20.15,20.15,20.1,20.1,7700,2026-08-20,,,,,,,,
1787192520,20.1,20.15,20.1,20.15,22600,2026-08-20,,,,,,,,
1787192580,20.1,20.15,20.05,20.1,15300,2026-08-20,,,,,,,,
1787192640,20.1,20.1,20.1,20.1,2500,2026-08-20,,,,,,,,
1787192700,20.1,20.1,20.05,20.1,18300,2026-08-20,,,,,,,,
1787192760,20.1,20.1,20.05,20.05,64800,2026-08-20,,,,,,,,
1787192820,20.05,20.1,20.05,20.1,15000,2026-08-20,,,,,,,,
1787192880,20.1,20.1,20.05,20.1,34400,2026-08-20,,,,,,,,
1787192940,20.1,20.1,20.05,20.1,46600,2026-08-20,,,,,,,,
1787193000,20.1,20.15,20.1,20.15,101500,2026-08-20,,,,,,,,
1787193060,20.15,20.15,20.15,20.15,55300,2026-08-20,,,,,,,,
1787193120,20.15,20.15,20.1,20.15,6600,2026-08-20,,,,,,,,
1787193180,20.15,20.15,20.1,20.15,59500,2026-08-20,,,,,,,,
1787193240,20.1,20.15,20.1,20.15,154700,2026-08-20,,,,,,,,
1787193300,20.15,20.2,20.15,20.2,23000,2026-08-20,,,,,,,,
1787193360,20.2,20.2,20.15,20.2,10900,2026-08-20,,,,,,,,
1787193420,20.2,20.2,20.15,20.2,4700,2026-08-20,,,,,,,,
1787193480,20.2,20.2,20.15,20.2,73200,2026-08-20,,,,,,,,
1787193540,20.2,20.2,20.15,20.15,25700,2026-08-20,,,,,,,,
1787193600,20.2,20.2,20.15,20.2,20800,2026-08-20,,,,,,,,
1787193660,20.15,20.15,20.15,20.15,16400,2026-08-20,,,,,,,,
1787193720,20.15,20.15,20.15,20.15,56800,2026-08-20,,,,,,,,
1787193780,20.15,20.15,20.1,20.15,24000,2026-08-20,,,,,,,,
1787193840,20.1,20.15,20.1,20.15,14000,2026-08-20,,,,,,,,
1787193900,20.15,20.2,20.1,20.2,22100,2026-08-20,,,,,,,,
1787193960,20.15,20.2,20.15,20.15,4700,2026-08-20,,,,,,,,
1787194020,20.15,20.15,20.15,20.15,20500,2026-08-20,,,,,,,,
1787194080,20.15,20.2,20.15,20.15,9400,2026-08-20,,,,,,,,
1787194140,20.15,20.15,20.1,20.15,20300,2026-08-20,,,,,,,,
1787194200,20.15,20.15,20.1,20.1,14300,2026-08-20,,,,,,,,
1787194260,20.15,20.15,20.1,20.1,11100,2026-08-20,,,,,,,,
1787194320,20.15,20.15,20.15,20.15,1600,2026-08-20,,,,,,,,
1787194380,20.15,20.15,20.1,20.15,5000,2026-08-20,,,,,,,,
1787194440,20.15,20.15,20.1,20.1,86700,2026-08-20,,,,,,,,
1787194500,20.1,20.15,20.1,20.15,13400,2026-08-20,,,,,,,,
1787194560,20.15,20.15,20.15,20.15,10300,2026-08-20,,,,,,,,
1787194620,20.15,20.15,20.15,20.15,17300,2026-08-20,,,,,,,,
1787194680,20.15,20.15,20.15,20.15,16300,2026-08-20,,,,,,,,
1787194740,20.15,20.15,20.15,20.15,24700,2026-08-20,,,,,,,,
1787194800,20.15,20.15,20.15,20.15,18300,2026-08-20,,,,,,,,
1787194860,20.15,20.15,20.1,20.15,7900,2026-08-20,,,,,,,,
1787194920,20.15,20.15,20.15,20.15,15700,2026-08-20,,,,,,,,
1787194980,20.15,20.15,20.15,20.15,1500,2026-08-20,,,,,,,,
1787195040,20.15,20.15,20.1,20.15,18600,2026-08-20,,,,,,,,
1787195100,20.15,20.15,20.15,20.15,4300,2026-08-20,,,,,,,,
1787195160,20.1,20.15,20.1,20.15,18500,2026-08-20,,,,,,,,
1787195220,20.15,20.15,20.1,20.15,2800,2026-08-20,,,,,,,,
1787195280,20.15,20.15,20.15,20.15,27500,2026-08-20,,,,,,,,
1787195340,20.15,20.15,20.1,20.15,36800,2026-08-20,,,,,,,,
1787195400,20.15,20.15,20.1,20.15,81400,2026-08-20,,,,,,,,
1787195460,20.15,20.2,20.15,20.2,1100,2026-08-20,,,,,,,,
1787195520,20.15,20.15,20.15,20.15,52500,2026-08-20,,,,,,,,
1787195580,20.15,20.15,20.15,20.15,7800,2026-08-20,,,,,,,,
1787195640,20.15,20.15,20.15,20.15,3400,2026-08-20,,,,,,,,
1787195700,20.15,20.15,20.15,20.15,1000,2026-08-20,,,,,,,,
1787195760,20.15,20.15,20.1,20.15,6300,2026-08-20,,,,,,,,
1787195820,20.15,20.15,20.15,20.15,6900,2026-08-20,,,,,,,,
1787195880,20.15,20.15,20.1,20.15,53500,2026-08-20,,,,,,,,
