t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3
1783476900,68.4,68.6,68.4,68.4,138100,2026-07-08,,,,,,,,
1783476960,68.4,68.7,68.4,68.6,31600,2026-07-08,,,,,,,,
1783477020,68.7,68.9,68.7,68.7,30000,2026-07-08,,,,,,,,
1783477080,68.7,69.0,68.7,69.0,14700,2026-07-08,,,,,,,,
1783477140,69.0,69.0,68.9,68.9,27600,2026-07-08,,,,,,,,
1783477200,68.9,69.0,68.8,68.8,47900,2026-07-08,,,,,,,,
1783477260,68.8,68.8,68.7,68.7,29600,2026-07-08,,,,,,,,
1783477320,68.7,68.7,68.6,68.6,31500,2026-07-08,,,,,,,,
1783477380,68.6,68.6,68.5,68.6,37400,2026-07-08,,,,,,,,
1783477440,68.5,68.6,68.5,68.6,11300,2026-07-08,,,,,,,,
1783477500,68.5,68.6,68.5,68.6,7000,2026-07-08,,,,,,,,
1783477560,68.6,68.6,68.5,68.6,13000,2026-07-08,,,,,,,,
1783477620,68.6,68.6,68.5,68.6,64800,2026-07-08,,,,,,,,
1783477680,68.5,68.6,68.5,68.6,21000,2026-07-08,,,,,,,,
1783477740,68.6,68.6,68.4,68.5,27400,2026-07-08,,,,,,,,
1783477800,68.5,68.5,68.5,68.5,17000,2026-07-08,,,,,,,,
1783477860,68.5,68.6,68.5,68.6,11300,2026-07-08,,,,,,,,
1783477920,68.6,68.6,68.5,68.5,11700,2026-07-08,,,,,,,,
1783477980,68.5,68.6,68.5,68.5,28000,2026-07-08,,,,,,,,
1783478040,68.5,68.6,68.5,68.6,24700,2026-07-08,,,,,,,,
1783478100,68.5,68.6,68.5,68.5,16500,2026-07-08,,,,,,,,
1783478160,68.5,68.5,68.4,68.4,23800,2026-07-08,,,,,,,,
1783478220,68.4,68.4,68.3,68.4,68500,2026-07-08,,,,,,,,
1783478280,68.4,68.4,68.3,68.4,10100,2026-07-08,,,,,,,,
1783478340,68.3,68.4,68.3,68.4,5000,2026-07-08,,,,,,,,
1783478400,68.3,68.4,68.2,68.3,84800,2026-07-08,,,,,,,,
1783478460,68.3,68.3,68.1,68.1,76200,2026-07-08,,,,,,,,
1783478520,68.1,68.1,67.8,67.9,228900,2026-07-08,,,,,,,,
1783478580,67.9,67.9,67.6,67.7,101300,2026-07-08,,,,,,,,
1783478640,67.6,67.7,67.6,67.7,66900,2026-07-08,,,,,,,,
1783478700,67.7,67.7,67.5,67.6,116500,2026-07-08,,,,,,,,
1783478760,67.6,67.7,67.5,67.5,42400,2026-07-08,,,,,,,,
1783478820,67.6,67.6,67.5,67.6,47200,2026-07-08,,,,,,,,
1783478880,67.6,67.8,67.6,67.7,97300,2026-07-08,,,,,,,,
1783478940,67.8,67.9,67.7,67.8,35500,2026-07-08,,,,,,,,
1783479000,67.8,67.9,67.7,67.8,32400,2026-07-08,,,,,,,,
1783479060,67.7,67.8,67.7,67.8,20500,2026-07-08,,,,,,,,
1783479120,67.9,67.9,67.8,67.8,17000,2026-07-08,,,,,,,,
1783479180,67.8,67.9,67.8,67.8,12300,2026-07-08,,,,,,,,
1783479240,67.8,67.9,67.8,67.9,94300,2026-07-08,,,,,,,,
1783479300,67.8,67.9,67.8,67.9,18400,2026-07-08,,,,,,,,
1783479360,67.9,67.9,67.8,67.9,16500,2026-07-08,,,,,,,,
1783479420,67.8,67.9,67.8,67.8,51100,2026-07-08,,,,,,,,
1783479480,67.8,67.8,67.6,67.7,71100,2026-07-08,,,,,,,,
1783479540,67.7,67.7,67.6,67.7,65900,2026-07-08,,,,,,,,
1783479600,67.6,67.7,67.6,67.7,13600,2026-07-08,,,,,,,,
1783479660,67.7,67.7,67.6,67.6,47400,2026-07-08,,,,,,,,
1783479720,67.6,67.7,67.6,67.6,33500,2026-07-08,,,,,,,,
1783479780,67.6,67.7,67.6,67.6,122100,2026-07-08,,,,,,,,
1783479840,67.6,67.7,67.5,67.6,116900,2026-07-08,,,,,,,,
1783479900,67.6,67.6,67.5,67.6,21500,2026-07-08,,,,,,,,
1783479960,67.6,67.6,67.5,67.5,23400,2026-07-08,,,,,,,,
1783480020,67.5,67.6,67.5,67.6,31900,2026-07-08,,,,,,,,
1783480080,67.5,67.6,67.5,67.5,19700,2026-07-08,,,,,,,,
1783480140,67.5,67.7,67.5,67.6,166100,2026-07-08,,,,,,,,
1783480200,67.7,67.7,67.6,67.7,16500,2026-07-08,,,,,,,,
1783480260,67.6,67.7,67.6,67.6,38900,2026-07-08,,,,,,,,
1783480320,67.6,67.7,67.6,67.6,9100,2026-07-08,,,,,,,,
1783480380,67.6,67.7,67.6,67.7,19100,2026-07-08,,,,,,,,
1783480440,67.7,67.7,67.6,67.6,57500,2026-07-08,,,,,,,,
1783480500,67.6,67.7,67.6,67.6,23700,2026-07-08,,,,,,,,
1783480560,67.6,67.7,67.6,67.7,11500,2026-07-08,,,,,,,,
1783480620,67.6,67.7,67.6,67.7,14900,2026-07-08,,,,,,,,
1783480680,67.7,67.7,67.6,67.7,27500,2026-07-08,,,,,,,,
1783480740,67.7,67.7,67.6,67.7,12400,2026-07-08,,,,,,,,
1783480800,67.7,67.7,67.6,67.7,48700,2026-07-08,,,,,,,,
1783480860,67.7,67.8,67.7,67.8,37600,2026-07-08,,,,,,,,
1783480920,67.8,67.8,67.7,67.7,11700,2026-07-08,,,,,,,,
1783480980,67.7,67.9,67.7,67.9,32600,2026-07-08,,,,,,,,
1783481040,67.8,67.9,67.8,67.8,22500,2026-07-08,,,,,,,,
1783481100,67.8,67.8,67.7,67.8,20700,2026-07-08,,,,,,,,
1783481160,67.8,67.8,67.7,67.7,19300,2026-07-08,,,,,,,,
1783481220,67.7,67.7,67.6,67.7,28700,2026-07-08,,,,,,,,
1783481280,67.6,67.7,67.6,67.6,36800,2026-07-08,,,,,,,,
1783481340,67.6,67.6,67.5,67.5,182300,2026-07-08,,,,,,,,
1783481400,67.6,67.6,67.5,67.6,29500,2026-07-08,,,,,,,,
1783481460,67.6,67.7,67.5,67.5,18200,2026-07-08,,,,,,,,
1783481520,67.6,67.7,67.5,67.7,61900,2026-07-08,,,,,,,,
1783481580,67.7,67.8,67.7,67.8,69500,2026-07-08,,,,,,,,
1783481640,67.8,67.9,67.8,67.9,37100,2026-07-08,,,,,,,,
1783481700,67.8,68.0,67.8,67.9,29000,2026-07-08,,,,,,,,
1783481760,67.9,67.9,67.7,67.7,289700,2026-07-08,,,,,,,,
1783481820,67.7,67.8,67.7,67.7,40000,2026-07-08,,,,,,,,
1783481880,67.7,67.8,67.7,67.7,13900,2026-07-08,,,,,,,,
1783481940,67.7,67.8,67.7,67.8,16900,2026-07-08,,,,,,,,
1783482000,67.8,67.8,67.7,67.8,26500,2026-07-08,,,,,,,,
1783482060,67.9,67.9,67.8,67.8,7500,2026-07-08,,,,,,,,
1783482120,67.8,67.9,67.8,67.8,12800,2026-07-08,,,,,,,,
1783482180,67.9,67.9,67.8,67.8,50300,2026-07-08,,,,,,,,
1783482240,67.8,67.9,67.8,67.9,15300,2026-07-08,,,,,,,,
1783482300,67.8,67.9,67.8,67.9,7700,2026-07-08,,,,,,,,
1783482360,67.8,67.9,67.8,67.9,11900,2026-07-08,,,,,,,,
1783482420,67.8,67.9,67.7,67.7,60400,2026-07-08,,,,,,,,
1783482480,67.8,67.9,67.7,67.9,24800,2026-07-08,,,,,,,,
1783482540,67.8,67.9,67.8,67.8,51500,2026-07-08,,,,,,,,
1783482600,67.8,68.0,67.8,68.0,73300,2026-07-08,,,,,,,,
1783482660,68.0,68.0,67.9,67.9,21600,2026-07-08,,,,,,,,
1783482720,67.9,68.0,67.9,68.0,46700,2026-07-08,,,,,,,,
1783482780,68.0,68.0,67.9,68.0,11800,2026-07-08,,,,,,,,
1783482840,68.0,68.0,67.9,68.0,23200,2026-07-08,,,,,,,,
1783482900,68.0,68.0,67.9,68.0,19000,2026-07-08,,,,,,,,
1783482960,68.0,68.0,67.9,67.9,61800,2026-07-08,,,,,,,,
1783483020,67.9,68.0,67.9,68.0,29000,2026-07-08,,,,,,,,
1783483080,67.9,68.0,67.9,67.9,25700,2026-07-08,,,,,,,,
1783483140,68.0,68.0,67.9,67.9,43000,2026-07-08,,,,,,,,
1783483200,67.9,68.0,67.9,67.9,69700,2026-07-08,,,,,,,,
1783483260,67.9,67.9,67.8,67.8,13300,2026-07-08,,,,,,,,
1783483320,67.8,67.9,67.8,67.8,10300,2026-07-08,,,,,,,,
1783483380,67.8,67.9,67.8,67.8,22900,2026-07-08,,,,,,,,
1783483440,67.8,67.9,67.7,67.8,33100,2026-07-08,,,,,,,,
1783483500,67.8,67.9,67.8,67.8,18200,2026-07-08,,,,,,,,
1783483560,67.8,67.8,67.7,67.8,24600,2026-07-08,,,,,,,,
1783483620,67.7,67.8,67.7,67.8,25600,2026-07-08,,,,,,,,
1783483680,67.7,67.8,67.7,67.7,118900,2026-07-08,,,,,,,,
1783483740,67.8,67.8,67.8,67.8,29200,2026-07-08,,,,,,,,
1783483800,67.8,67.9,67.8,67.8,24100,2026-07-08,,,,,,,,
1783483860,67.8,67.8,67.7,67.7,16200,2026-07-08,,,,,,,,
1783483920,67.7,67.8,67.7,67.7,18600,2026-07-08,,,,,,,,
1783483980,67.7,67.8,67.7,67.8,22700,2026-07-08,,,,,,,,
1783484040,67.7,67.8,67.7,67.7,30000,2026-07-08,,,,,,,,
1783484100,67.7,67.8,67.7,67.7,8600,2026-07-08,,,,,,,,
1783484160,67.7,67.8,67.7,67.8,60900,2026-07-08,,,,,,,,
1783484220,67.8,67.8,67.7,67.7,33700,2026-07-08,,,,,,,,
1783484280,67.7,67.8,67.7,67.8,39300,2026-07-08,,,,,,,,
1783484340,67.8,67.8,67.7,67.8,15300,2026-07-08,,,,,,,,
1783484400,67.7,67.8,67.7,67.7,20100,2026-07-08,,,,,,,,
1783484460,67.7,67.8,67.7,67.7,15100,2026-07-08,,,,,,,,
1783484520,67.7,67.9,67.7,67.8,56300,2026-07-08,,,,,,,,
1783484580,67.8,67.9,67.8,67.8,20900,2026-07-08,,,,,,,,
1783484640,67.8,67.9,67.8,67.8,15000,2026-07-08,,,,,,,,
